config,dataset_info,groupdro_config,start_time,epoch,train_loss,train_acc,learning_rate,test_overall_acc,test_balanced_acc,test_worst_group_acc,test_best_group_acc,test_worst_group_bal_acc,test_per_group_bal_acc,test_per_group_acc,test_per_group_loss,test_per_class_acc,test_per_group_per_class_acc,test_per_group_counts,test_overall_auroc,test_per_group_sensitivity,test_per_group_specificity,test_per_group_f1,test_per_group_auroc,groupdro_weights,groupdro_pi
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,1,0.8295000501774252,0.6963149326447818,0.0005,0.7791825933548956,0.7699490607796408,0.7054409005628518,0.8169811320754717,0.738172974413646,"[0.738172974413646, 0.7389937106918238, 0.7437784070110036]","[0.7054409005628518, 0.8169811320754717, 0.7874251497005988]","[0.5354792207171948, 0.4132622772441158, 0.39952351497382665]","[0.7886953664147223, 0.6983240223463687]","[[0.6950959488272921, 0.78125], [0.8364779874213837, 0.6415094339622641], [0.798760133524082, 0.6887966804979253]]","[533, 530, 2338]",0.8253299540845643,"[0.78125, 0.6415094339622641, 0.6887966804979253]","[0.6950959488272921, 0.8364779874213837, 0.798760133524082]","[0.3891050583657587, 0.4121212121212121, 0.40048250904704463]","[0.793027052238806, 0.8380602033147423, 0.8333936843188352]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,2,0.5913613832736132,0.7084504957997941,0.0005,0.7021464275213173,0.7205353451625749,0.6529080675422139,0.8226415094339623,0.728561433901919,"[0.728561433901919, 0.7672955974842768, 0.7625554783854429]","[0.6529080675422139, 0.8226415094339623, 0.6860564585115483]","[0.5382489221236942, 0.35725799688261073, 0.50057111132549]","[0.6871508379888268, 0.8296089385474861]","[[0.6289978678038379, 0.828125], [0.8364779874213837, 0.6981132075471698], [0.6661897949451597, 0.8589211618257261]]","[533, 530, 2338]",0.8297172556485531,"[0.828125, 0.6981132075471698, 0.8589211618257261]","[0.6289978678038379, 0.8364779874213837, 0.6661897949451597]","[0.3642611683848797, 0.4404761904761904, 0.3606271777003484]","[0.8080357142857143, 0.8531308096989835, 0.8377112531832672]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,3,0.5387596361106434,0.7029746929198764,0.0005,0.7039106145251397,0.6864083416888529,0.6341463414634146,0.7194183062446535,0.7313932569296375,"[0.7313932569296375, 0.7861635220125787, 0.7609546932290152]","[0.6341463414634146, 0.7056603773584905, 0.7194183062446535]","[0.5419233235762949, 0.5150095662137247, 0.45880398306365455]","[0.6887939533355242, 0.8324022346368715]","[[0.603411513859275, 0.859375], [0.6855345911949685, 0.8867924528301887], [0.7086313781592751, 0.8132780082987552]]","[533, 530, 2338]",0.8345213026691904,"[0.859375, 0.8867924528301887, 0.8132780082987552]","[0.603411513859275, 0.6855345911949685, 0.7086313781592751]","[0.360655737704918, 0.376, 0.3740458015267175]","[0.8110007995735609, 0.8568094616510423, 0.8386452094179196]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,4,0.48691644613843743,0.6967589166878208,0.0005,0.7009703028521024,0.676725141626448,0.6285178236397748,0.7224123182207014,0.7349413646055437,"[0.7349413646055437, 0.7714884696016772, 0.7607874913183623]","[0.6285178236397748, 0.6792452830188679, 0.7224123182207014]","[0.5512932289084227, 0.5194689628228827, 0.4396687222508155]","[0.6855077226421294, 0.8324022346368715]","[[0.5948827292110874, 0.875], [0.6561844863731656, 0.8867924528301887], [0.7124463519313304, 0.8091286307053942]]","[533, 530, 2338]",0.8315017339915587,"[0.875, 0.8867924528301887, 0.8091286307053942]","[0.5948827292110874, 0.6561844863731656, 0.7124463519313304]","[0.3612903225806452, 0.356060606060606, 0.3753609239653513]","[0.8109008528784649, 0.857046794035046, 0.8361164041893477]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,5,0.3209356637559947,0.6914311084712735,0.0005,0.67480152896207,0.6771148226094752,0.6566604127579737,0.7018867924528301,0.7306936300639659,"[0.7306936300639659, 0.7840670859538784, 0.764345231381721]","[0.6566604127579737, 0.7018867924528301, 0.6727972626176218]","[0.48922159202313, 0.49881078054038985, 0.4986733582485834]","[0.6516595465001643, 0.8715083798882681]","[[0.6332622601279317, 0.828125], [0.6813417190775681, 0.8867924528301887], [0.6490224129709108, 0.8796680497925311]]","[533, 530, 2338]",0.8277666298878091,"[0.828125, 0.8867924528301887, 0.8796680497925311]","[0.6332622601279317, 0.6813417190775681, 0.6490224129709108]","[0.36678200692041524, 0.373015873015873, 0.35660218671152233]","[0.8123001066098081, 0.8468810569202168, 0.834792639949978]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,6,-0.06674887448112622,0.6944649992688479,0.0005,0.6909732431637754,0.7030223578068524,0.6191369606003753,0.809433962264151,0.736357276119403,"[0.736357276119403, 0.7767295597484276, 0.7649645710034292]","[0.6191369606003753, 0.809433962264151, 0.6804961505560307]","[0.5959348857899041, 0.3582277219654676, 0.5013290985220115]","[0.6717055537298718, 0.8547486033519553]","[[0.582089552238806, 0.890625], [0.8176100628930818, 0.7358490566037735], [0.6585598474010491, 0.8713692946058091]]","[533, 530, 2338]",0.8236056009120667,"[0.890625, 0.7358490566037735, 0.8713692946058091]","[0.582089552238806, 0.8176100628930818, 0.6585598474010491]","[0.359621451104101, 0.4357541899441341, 0.3598971722365038]","[0.8061367270788913, 0.8454966180135279, 0.8323865154132459]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,7,-0.34637909625935737,0.7179961521297018,0.0005,0.7259629520729197,0.7112162671920285,0.6285178236397748,0.7660377358490567,0.7349413646055437,"[0.7349413646055437, 0.7945492662473794, 0.7553964664003309]","[0.6285178236397748, 0.7660377358490567, 0.739093242087254]","[0.5840315051153162, 0.414144934924706, 0.44849339560000107]","[0.7170555372987184, 0.8016759776536313]","[[0.5948827292110874, 0.875], [0.7589098532494759, 0.8301886792452831], [0.7348593228421555, 0.7759336099585062]]","[533, 530, 2338]",0.8302065184864245,"[0.875, 0.8301886792452831, 0.7759336099585062]","[0.5948827292110874, 0.7589098532494759, 0.7348593228421555]","[0.3612903225806452, 0.41509433962264153, 0.3800813008130081]","[0.8099013859275053, 0.8445077330801787, 0.8342445342783704]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,8,-0.549577681763701,0.724211928388221,0.0005,0.7021464275213173,0.6793045839665899,0.5947467166979362,0.7224123182207014,0.7224980010660981,"[0.7224980010660981, 0.7861635220125787, 0.7681325030620705]","[0.5947467166979362, 0.720754716981132, 0.7224123182207014]","[0.5876895558319665, 0.492119310905208, 0.5132569576221437]","[0.6855077226421294, 0.8435754189944135]","[[0.5543710021321961, 0.890625], [0.7044025157232704, 0.8679245283018868], [0.7105388650453028, 0.8257261410788381]]","[533, 530, 2338]",0.8257026383475582,"[0.890625, 0.8679245283018868, 0.8257261410788381]","[0.5543710021321961, 0.7044025157232704, 0.7105388650453028]","[0.34545454545454546, 0.3833333333333333, 0.38013371537726837]","[0.8046208688699361, 0.8331553340453306, 0.8336113436108094]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,9,-0.7456495547384593,0.7307976912742926,0.0005,0.6853866509850044,0.6823429931729669,0.6060037523452158,0.7528301886792453,0.7288945895522387,"[0.7288945895522387, 0.7955974842767295, 0.7729289223688454]","[0.6060037523452158, 0.7528301886792453, 0.6881950384944396]","[0.6959208008321264, 0.4594159466618637, 0.5724902619373522]","[0.6628327308577062, 0.8770949720670391]","[[0.5671641791044776, 0.890625], [0.7421383647798742, 0.8490566037735849], [0.6661897949451597, 0.8796680497925311]]","[533, 530, 2338]",0.8248420681589947,"[0.890625, 0.8490566037735849, 0.8796680497925311]","[0.5671641791044776, 0.7421383647798742, 0.6661897949451597]","[0.3518518518518518, 0.40723981900452494, 0.367736339982654]","[0.8075026652452025, 0.838376646493414, 0.834701618791516]",,
"{""use_nhanes"": true, ""num_classes"": 2, ""feature_mode"": ""expanded"", ""stratified_batching"": true, ""train_frac"": 0.8, ""use_post_pandemic"": true, ""data_split_seed"": 100, ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 200, ""early_stopping_patience"": 50, ""lr"": 0.0005, ""weight_decay"": 0.001, ""optimizer"": ""adamw"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-06, ""latent_dim"": 128, ""head_hidden"": 64, ""common_encoder"": false, ""groups"": [{""name"": ""survey_only"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 15, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""exam"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 18, ""hidden_dim"": 128, ""dropout"": 0.2}, {""name"": ""vitals_labs"", ""encoder"": ""mlp_tabular_deep"", ""input_dim"": 25, ""hidden_dim"": 128, ""dropout"": 0.15}], ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 8, ""sep_method"": ""classifier"", ""log_interval"": 20, ""save_every"": 10, ""lambda_fit"": 0.005, ""lambda_sep"": 0.005, ""groupdro_enabled"": false, ""seed"": 7, ""run_dir"": ""runs/ablation_deep_A_noG_s7"", ""run_name"": ""abl_A_noG""}","{""num_groups"": 3, ""num_classes"": 2, ""train_total"": 13604, ""test_total"": 3401, ""train_group_counts"": [2133, 2118, 9353], ""test_group_counts"": [533, 530, 2338], ""train_class_counts"": [12174, 1430], ""test_class_counts"": [3043, 358], ""train_group_class_counts"": [[1876, 257], [1908, 210], [8390, 963]], ""test_group_class_counts"": [[469, 64], [477, 53], [2097, 241]], ""group_proportions"": [0.15679211996471626, 0.15568950308732726, 0.6875183769479565], ""group_names"": [""survey_only"", ""exam"", ""vitals_labs""], ""group_feature_counts"": {""0"": 15, ""1"": 18, ""2"": 25}, ""max_features"": 25, ""feature_mode"": ""expanded""}",,2026-04-05T07:51:12.498960,10,-0.8170878395263976,0.7301317152494295,0.0005,0.728903263745957,0.7175091153164459,0.626641651031895,0.7867924528301887,0.7338752665245203,"[0.7338752665245203, 0.789308176100629, 0.764577731079966]","[0.626641651031895, 0.7867924528301887, 0.739093242087254]","[0.6002899886407727, 0.39781529246917313, 0.4498585840962808]","[0.7193558987840947, 0.8100558659217877]","[[0.5927505330490405, 0.875], [0.7861635220125787, 0.7924528301886793], [0.7324749642346209, 0.7966804979253111]]","[533, 530, 2338]",0.8307260733949333,"[0.875, 0.7924528301886793, 0.7966804979253111]","[0.5927505330490405, 0.7861635220125787, 0.7324749642346209]","[0.3601286173633441, 0.4263959390862944, 0.386317907444668]","[0.800872867803838, 0.8303073454372849, 0.8371433603032984]",,
