method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.70169,0.59664,0.48819,0.27883,0.20935
ERM,42,g1,530,0.74906,0.59174,0.4292,0.23939,0.18982
ERM,42,g2,2338,0.70359,0.57587,0.4848,0.25011,0.23469
ERM,1337,g0,533,0.66417,0.56944,0.50787,0.27883,0.22903
ERM,1337,g1,530,0.72264,0.58798,0.45335,0.23939,0.21396
ERM,1337,g2,2338,0.67665,0.56307,0.50649,0.25011,0.25637
ERM,7,g0,533,0.70732,0.59013,0.47709,0.27883,0.19826
ERM,7,g1,530,0.75283,0.59161,0.39675,0.23939,0.15736
ERM,7,g2,2338,0.72412,0.58766,0.45494,0.25011,0.20483
PerGroupOnly,42,g0,533,0.65291,0.56088,0.54534,0.27883,0.26651
PerGroupOnly,42,g1,530,0.69623,0.56768,0.53734,0.23939,0.29796
PerGroupOnly,42,g2,2338,0.69247,0.56966,0.5055,0.25011,0.25539
PerGroupOnly,1337,g0,533,0.69794,0.57818,0.52418,0.27883,0.24534
PerGroupOnly,1337,g1,530,0.73585,0.55834,0.50344,0.23939,0.26405
PerGroupOnly,1337,g2,2338,0.73909,0.59772,0.46416,0.25011,0.21405
PerGroupOnly,7,g0,533,0.70544,0.58634,0.54544,0.27883,0.2666
PerGroupOnly,7,g1,530,0.70755,0.56555,0.54519,0.23939,0.30581
PerGroupOnly,7,g2,2338,0.65868,0.54824,0.5773,0.25011,0.32719
Shared_GDRO,42,g0,533,0.74109,0.60744,0.43978,0.27883,0.16095
Shared_GDRO,42,g1,530,0.79245,0.62528,0.36692,0.23939,0.12753
Shared_GDRO,42,g2,2338,0.76647,0.61102,0.40931,0.25011,0.1592
Shared_GDRO,1337,g0,533,0.72045,0.60057,0.44724,0.27883,0.16841
Shared_GDRO,1337,g1,530,0.77736,0.62474,0.36149,0.23939,0.12211
Shared_GDRO,1337,g2,2338,0.73097,0.58997,0.42171,0.25011,0.1716
Shared_GDRO,7,g0,533,0.7242,0.59879,0.4552,0.27883,0.17637
Shared_GDRO,7,g1,530,0.77736,0.62775,0.38871,0.23939,0.14932
Shared_GDRO,7,g2,2338,0.73567,0.59622,0.44489,0.25011,0.19478
GroupDRO,42,g0,533,0.71107,0.59075,0.45333,0.27883,0.1745
GroupDRO,42,g1,530,0.78113,0.62498,0.39031,0.23939,0.15093
GroupDRO,42,g2,2338,0.70231,0.57936,0.47994,0.25011,0.22983
GroupDRO,1337,g0,533,0.74484,0.60788,0.43155,0.27883,0.15271
GroupDRO,1337,g1,530,0.75849,0.61151,0.43091,0.23939,0.19152
GroupDRO,1337,g2,2338,0.75192,0.60693,0.47486,0.25011,0.22475
GroupDRO,7,g0,533,0.73734,0.60693,0.51163,0.27883,0.23279
GroupDRO,7,g1,530,0.8566,0.6265,0.34474,0.23939,0.10536
GroupDRO,7,g2,2338,0.69846,0.58071,0.53802,0.25011,0.2879
Shared_Anchors,42,g0,533,0.71107,0.59075,0.48578,0.27883,0.20695
Shared_Anchors,42,g1,530,0.75849,0.60558,0.41293,0.23939,0.17354
Shared_Anchors,42,g2,2338,0.72198,0.59015,0.48085,0.25011,0.23074
Shared_Anchors,1337,g0,533,0.75047,0.61255,0.43201,0.27883,0.15317
Shared_Anchors,1337,g1,530,0.80566,0.62664,0.37552,0.23939,0.13613
Shared_Anchors,1337,g2,2338,0.76433,0.6071,0.42429,0.25011,0.17418
Shared_Anchors,7,g0,533,0.7561,0.60597,0.43743,0.27883,0.15859
