method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
Reweigh,0,g1,1288068,209,0.7033492922782898,0.6329979879275653,1.0436196327209473,0.6846005644225315,0.3590190682984158
Reweigh,0,g2,1288068,44,0.6136363744735718,0.3873544973544974,2.2139549255371094,0.7652611750550569,1.4486937504820525
Reweigh,0,g3,1288068,141,0.6382978558540344,0.4941934261627356,1.7645889520645142,0.7791703665225083,0.9854185855420059
Reweigh,0,g6,1288068,10700,0.7022429704666138,0.620195492725306,0.7179672122001648,0.5871916648544888,0.13077554734567598
Reweigh,1,g1,1288068,209,0.7081339955329895,0.5907338175603504,1.0656993389129639,0.6846005644225315,0.3810987744904324
Reweigh,1,g2,1288068,44,0.6363636255264282,0.3979786422578184,2.1684560775756836,0.7652611750550569,1.4031949025206267
Reweigh,1,g3,1288068,141,0.609929084777832,0.48422840996476924,1.629284143447876,0.7791703665225083,0.8501137769253677
Reweigh,1,g6,1288068,10700,0.7082242965698242,0.6005647221347417,0.7028062343597412,0.5871916648544888,0.1156145695052524
Reweigh,7,g1,1288068,209,0.7320573925971985,0.6386561572519827,1.0540013313293457,0.6846005644225315,0.3694007669068142
Reweigh,7,g2,1288068,44,0.6136363744735718,0.3782467532467533,2.1612660884857178,0.7652611750550569,1.396004913430661
Reweigh,7,g3,1288068,141,0.6382978558540344,0.5130621693121693,1.607081651687622,0.7791703665225083,0.8279112851651138
Reweigh,7,g6,1288068,10700,0.702149510383606,0.5807902132770592,0.7287471890449524,0.5871916648544888,0.14155552419046358
Reweigh,11,g1,1288068,209,0.7320573925971985,0.6255395785473212,0.9619280099868774,0.6846005644225315,0.27732744556434596
Reweigh,11,g2,1288068,44,0.6136363744735718,0.37324675324675327,2.202937126159668,0.7652611750550569,1.437675951104611
Reweigh,11,g3,1288068,141,0.5744680762290955,0.4025897337156278,1.5940428972244263,0.7791703665225083,0.814872530701918
Reweigh,11,g6,1288068,10700,0.7075700759887695,0.5737037387369387,0.7203658223152161,0.5871916648544888,0.13317415746072725
Reweigh,22,g1,1288068,209,0.679425835609436,0.5650927635628242,1.136560320854187,0.6846005644225315,0.45195975643165553
Reweigh,22,g2,1288068,44,0.6363636255264282,0.3932467532467533,2.266753911972046,0.7652611750550569,1.501492736916989
Reweigh,22,g3,1288068,141,0.631205677986145,0.46413753907360045,1.6030693054199219,0.7791703665225083,0.8238989388974136
Reweigh,22,g6,1288068,10700,0.7099999785423279,0.6294887425690479,0.716537594795227,0.5871916648544888,0.12934592994073824
Reweigh,33,g1,1288068,209,0.7081339955329895,0.6051906898104753,1.003456473350525,0.6846005644225315,0.3188559089279934
Reweigh,33,g2,1288068,44,0.5681818127632141,0.352311320754717,2.2439329624176025,0.7652611750550569,1.4786717873625457
Reweigh,33,g3,1288068,141,0.5957446694374084,0.47348239546026916,1.6127140522003174,0.7791703665225083,0.8335436856778091
Reweigh,33,g6,1288068,10700,0.7147663831710815,0.615206551554413,0.6972184181213379,0.5871916648544888,0.11002675326684908
Reweigh,42,g1,1288068,209,0.7129186391830444,0.6268222047460336,1.0740615129470825,0.6846005644225315,0.38946094852455104
Reweigh,42,g2,1288068,44,0.6363636255264282,0.39122914122914126,2.1161272525787354,0.7652611750550569,1.3508660775236785
Reweigh,42,g3,1288068,141,0.6241135001182556,0.4869388544891641,1.7269933223724365,0.7791703665225083,0.9478229558499283
Reweigh,42,g6,1288068,10700,0.706728994846344,0.5838515568788379,0.7214202284812927,0.5871916648544888,0.1342285636268039
Reweigh,1337,g1,1288068,209,0.7177033424377441,0.6037364647381331,0.9828581809997559,0.6846005644225315,0.2982576165772244
Reweigh,1337,g2,1288068,44,0.6136363744735718,0.3817452830188679,2.135084390640259,0.7652611750550569,1.369823215585202
Reweigh,1337,g3,1288068,141,0.631205677986145,0.4844431958830044,1.5942703485488892,0.7791703665225083,0.8150999820263809
