method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
Reweigh,0,g1,232196,209,0.6698564291000366,0.5162395933805836,1.095493197441101,0.684601,0.410892
Reweigh,0,g2,232196,37,0.6216216087341309,0.3983333333333333,2.0764756202697754,0.70244,1.374036
Reweigh,0,g3,232196,128,0.625,0.5037835842539615,1.6212238073349,0.76738,0.853844
Reweigh,0,g4,232196,14665,0.6841459274291992,0.5718155740320088,1.098055362701416,0.623811,0.474244
Reweigh,0,g5,232196,14,0.5714285969734192,0.3125,2.1608786582946777,0.897371,1.263508
Reweigh,0,g6,232196,10579,0.7328670024871826,0.6529104556208647,0.6387894153594971,0.587192,0.051597
Reweigh,1,g1,232196,209,0.6889951825141907,0.5329977065337943,1.108621597290039,0.684601,0.424021
Reweigh,1,g2,232196,37,0.6216216087341309,0.2756410256410256,2.0757949352264404,0.70244,1.373355
Reweigh,1,g3,232196,128,0.6171875,0.4696502361275088,1.5151159763336182,0.76738,0.747736
Reweigh,1,g4,232196,14665,0.6863279938697815,0.5920000910631461,1.0926973819732666,0.623811,0.468886
Reweigh,1,g5,232196,14,0.6428571939468384,0.3666666666666666,1.7891435623168943,0.897371,0.891773
Reweigh,1,g6,232196,10579,0.7225635647773743,0.652002967448891,0.6622980237007141,0.587192,0.075106
Reweigh,42,g1,232196,209,0.6889951825141907,0.5867512332628612,1.0800861120224,0.684601,0.395485
Reweigh,42,g2,232196,37,0.6216216087341309,0.29,2.0782501697540283,0.70244,1.37581
Reweigh,42,g3,232196,128,0.6484375,0.488196435599033,1.5176639556884766,0.76738,0.750284
Reweigh,42,g4,232196,14665,0.6887146234512329,0.5877596896469603,1.1251662969589231,0.623811,0.501355
Reweigh,42,g5,232196,14,0.6428571939468384,0.3666666666666666,2.120795965194702,0.897371,1.223425
Reweigh,42,g6,232196,10579,0.7302202582359314,0.6430909401107474,0.6625632643699646,0.587192,0.075371
Reweigh,7,g1,232196,209,0.6555023789405823,0.4862892280732656,1.2042243480682373,0.684601,0.519623
Reweigh,7,g2,232196,37,0.5945945978164673,0.3876208378088077,2.333967685699463,0.70244,1.631528
Reweigh,7,g3,232196,128,0.65625,0.5328972959407742,1.626359462738037,0.76738,0.858979
Reweigh,7,g4,232196,14665,0.6758950352668762,0.583450715116546,1.1595985889434814,0.623811,0.535788
Reweigh,7,g5,232196,14,0.6428571939468384,0.3666666666666666,1.8902537822723389,0.897371,0.992883
Reweigh,7,g6,232196,10579,0.7216182947158813,0.6417225848717634,0.6766505241394043,0.587192,0.089459
Reweigh,1337,g1,232196,209,0.6459329724311829,0.4991203327116639,1.2008453607559204,0.684601,0.516244
Reweigh,1337,g2,232196,37,0.5945945978164673,0.2652218782249742,2.0568747520446777,0.70244,1.354435
Reweigh,1337,g3,232196,128,0.6171875,0.4849927239249228,1.5504519939422607,0.76738,0.783072
Reweigh,1337,g4,232196,14665,0.6816229224205017,0.5936464533535937,1.0604052543640137,0.623811,0.436594
Reweigh,1337,g5,232196,14,0.5714285969734192,0.3125,1.6933743953704834,0.897371,0.796003
Reweigh,1337,g6,232196,10579,0.7239814400672913,0.6457007313508117,0.6503796577453613,0.587192,0.063188
Reweigh,2024,g1,232196,209,0.6411483287811279,0.449132202463315,1.2219973802566528,0.684601,0.537396
Reweigh,2024,g2,232196,37,0.5945945978164673,0.2836734693877551,2.095928907394409,0.70244,1.393489
Reweigh,2024,g3,232196,128,0.6875,0.549866040924947,1.573861837387085,0.76738,0.806482
Reweigh,2024,g4,232196,14665,0.6877599954605103,0.5673902915562187,1.1685847043991089,0.623811,0.544774
Reweigh,2024,g5,232196,14,0.6428571939468384,0.3666666666666666,2.1594133377075195,0.897371,1.262042
Reweigh,2024,g6,232196,10579,0.723603367805481,0.650961951748135,0.678812563419342,0.587192,0.091621
Reweigh,31337,g1,232196,209,0.684210479259491,0.5615902992356481,1.1448423862457275,0.684601,0.460241
Reweigh,31337,g2,232196,37,0.6216216087341309,0.29,2.02029800415039,0.70244,1.317858
Reweigh,31337,g3,232196,128,0.609375,0.4477035330261136,1.6008869409561155,0.76738,0.833507
Reweigh,31337,g4,232196,14665,0.6887146234512329,0.5828439262033853,1.144563913345337,0.623811,0.520753
Reweigh,31337,g5,232196,14,0.6428571939468384,0.3666666666666666,2.0372226238250732,0.897371,1.139852
Reweigh,31337,g6,232196,10579,0.7236979007720947,0.6699203746273278,0.6549804210662842,0.587192,0.067788
Reweigh,11,g1,232196,209,0.6746411323547363,0.5596497492277543,1.2431389093399048,0.684601,0.558538
Reweigh,11,g2,232196,37,0.6486486792564392,0.3071895424836601,2.088374614715576,0.70244,1.385935
Reweigh,11,g3,232196,128,0.625,0.4470848779793233,1.7897533178329468,0.76738,1.022373
Reweigh,11,g4,232196,14665,0.6782134771347046,0.5737138232557731,1.1762974262237549,0.623811,0.552486
Reweigh,11,g5,232196,14,0.6428571939468384,0.3666666666666666,1.7681353092193604,0.897371,0.870764
Reweigh,11,g6,232196,10579,0.7108421921730042,0.6190249279495657,0.7103230357170105,0.587192,0.123131
Reweigh,22,g1,232196,209,0.6507176756858826,0.505627777057527,1.1773370504379272,0.684601,0.492736
Reweigh,22,g2,232196,37,0.5945945978164673,0.2652218782249742,1.9823122024536133,0.70244,1.279872
Reweigh,22,g3,232196,128,0.609375,0.4228327228327228,1.6591686010360718,0.76738,0.891789
Reweigh,22,g4,232196,14665,0.6810092329978943,0.5897260937778886,1.1134629249572754,0.623811,0.489652
Reweigh,22,g5,232196,14,0.7142857313156128,0.4142857142857142,1.7655658721923828,0.897371,0.868195
Reweigh,22,g6,232196,10579,0.7148123383522034,0.6527150266421535,0.6855870485305786,0.587192,0.098395
Reweigh,33,g1,232196,209,0.6937798857688904,0.5815587449933244,1.0754280090332031,0.684601,0.390827
Reweigh,33,g2,232196,37,0.4864864945411682,0.2277562862669245,2.4836585521698,0.70244,1.781219
Reweigh,33,g3,232196,128,0.65625,0.4973057644110275,1.6492228507995603,0.76738,0.881843
Reweigh,33,g4,232196,14665,0.6872826814651489,0.5835396821726181,1.11555814743042,0.623811,0.491747
Reweigh,33,g5,232196,14,0.6428571939468384,0.3666666666666666,2.047868013381958,0.897371,1.150497
Reweigh,33,g6,232196,10579,0.720862090587616,0.6444590563080741,0.6642982363700867,0.587192,0.077106
FlexMoE,0,g1,231308,209,0.7081339359283447,0.5341433736615213,0.6333109736442566,0.684601,-0.05129
FlexMoE,0,g2,231308,37,0.6756756901741028,0.3012971698113207,0.8095322847366333,0.70244,0.107092
FlexMoE,0,g3,231308,128,0.7421875,0.5118908403776261,0.8007689118385315,0.76738,0.033389
FlexMoE,0,g4,231308,14665,0.7261506915092468,0.5448518324457612,0.645095705986023,0.623811,0.021285
FlexMoE,0,g5,231308,14,0.5714285969734192,0.325,0.8997299075126648,0.897371,0.002359
FlexMoE,0,g6,231308,10579,0.7637772560119629,0.6794759976971962,0.5548130869865417,0.587192,-0.032379
FlexMoE,1,g1,231308,209,0.7129186391830444,0.4628822901849218,0.673194169998169,0.684601,-0.011407
FlexMoE,1,g2,231308,37,0.6486486792564392,0.2863485016648169,1.2127729654312134,0.70244,0.510333
FlexMoE,1,g3,231308,128,0.75,0.6014062134559912,0.6069640517234802,0.76738,-0.160416
FlexMoE,1,g4,231308,14665,0.7171496748924255,0.4151285433570814,0.6732817888259888,0.623811,0.049471
FlexMoE,1,g5,231308,14,0.7142857313156128,0.4142857142857142,0.7328921556472778,0.897371,-0.164479
FlexMoE,1,g6,231308,10579,0.7529066801071167,0.5599888556029461,0.6002829074859619,0.587192,0.013091
FlexMoE,42,g1,231308,209,0.6746411323547363,0.4813510534051935,0.7935359477996826,0.684601,0.108935
FlexMoE,42,g2,231308,37,0.5945945978164673,0.2689473684210526,1.5026838779449463,0.70244,0.800244
FlexMoE,42,g3,231308,128,0.71875,0.5859675229741019,0.6747928857803345,0.76738,-0.092587
FlexMoE,42,g4,231308,14665,0.7226048707962036,0.4425353895152097,0.6554069519042969,0.623811,0.031596
FlexMoE,42,g5,231308,14,0.7142857313156128,0.5267857142857143,0.9780263304710388,0.897371,0.080655
FlexMoE,42,g6,231308,10579,0.7723792195320129,0.7024594724982005,0.5346519351005554,0.587192,-0.05254
FlexMoE,7,g1,231308,209,0.7129186391830444,0.3689867487618793,0.6729543805122375,0.684601,-0.011647
FlexMoE,7,g2,231308,37,0.6216216087341309,0.4411764705882353,0.9470842480659484,0.70244,0.244644
FlexMoE,7,g3,231308,128,0.7265625,0.4899793388429752,0.7573341131210327,0.76738,-0.010046
FlexMoE,7,g4,231308,14665,0.7172178626060486,0.4175497406879747,0.7034785151481628,0.623811,0.079668
FlexMoE,7,g5,231308,14,0.7142857313156128,0.4142857142857142,0.7206772565841675,0.897371,-0.176694
FlexMoE,7,g6,231308,10579,0.7563096284866333,0.680987126680147,0.5724835991859436,0.587192,-0.014708
FlexMoE,1337,g1,231308,209,0.703349232673645,0.4795792304058719,0.854945719242096,0.684601,0.170345
FlexMoE,1337,g2,231308,37,0.6216216087341309,0.2794117647058823,0.9533987045288086,0.70244,0.250959
FlexMoE,1337,g3,231308,128,0.71875,0.5211279461279461,0.9131152629852296,0.76738,0.145735
FlexMoE,1337,g4,231308,14665,0.7461302876472473,0.56463256916412,0.6143372654914856,0.623811,-0.009474
FlexMoE,1337,g5,231308,14,0.6428571939468384,0.3666666666666666,0.8598813414573669,0.897371,-0.03749
FlexMoE,1337,g6,231308,10579,0.7382550239562988,0.6204497439552553,0.6023086905479431,0.587192,0.015117
FlexMoE,2024,g1,231308,209,0.703349232673645,0.4701776576893784,0.6734346151351929,0.684601,-0.011166
FlexMoE,2024,g2,231308,37,0.5945945978164673,0.2689473684210526,0.724266529083252,0.70244,0.021827
FlexMoE,2024,g3,231308,128,0.7890625,0.5782983810192043,0.6088235378265381,0.76738,-0.158556
FlexMoE,2024,g4,231308,14665,0.7341970801353455,0.5143618667890689,0.6558923125267029,0.623811,0.032081
FlexMoE,2024,g5,231308,14,0.7142857313156128,0.4142857142857142,0.7077932953834534,0.897371,-0.189578
FlexMoE,2024,g6,231308,10579,0.7552698850631714,0.6741858787715806,0.5647786855697632,0.587192,-0.022413
FlexMoE,31337,g1,231308,209,0.6698564291000366,0.4329638090308724,1.0860016345977783,0.684601,0.401401
FlexMoE,31337,g2,231308,37,0.7027027010917664,0.4703703703703703,0.8508772850036621,0.70244,0.148437
FlexMoE,31337,g3,231308,128,0.75,0.5758243544192991,0.6366269588470459,0.76738,-0.130753
FlexMoE,31337,g4,231308,14665,0.7496079206466675,0.5800162847092003,0.6178072690963745,0.623811,-0.006004
FlexMoE,31337,g5,231308,14,0.7142857313156128,0.4142857142857142,0.9961028695106506,0.897371,0.098732
FlexMoE,31337,g6,231308,10579,0.7597126364707947,0.6195526110412106,0.5638346672058105,0.587192,-0.023357
FlexMoE,11,g1,231308,209,0.6937798857688904,0.3642490035661841,0.7329574823379517,0.684601,0.048356
FlexMoE,11,g2,231308,37,0.6216216087341309,0.2756410256410256,0.8239414691925049,0.70244,0.121501
FlexMoE,11,g3,231308,128,0.734375,0.6289531941808981,0.7399946451187134,0.76738,-0.027385
FlexMoE,11,g4,231308,14665,0.7455847263336182,0.5354702761550959,0.6268080472946167,0.623811,0.002997
