method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,305,53506,0.7213114754098361,0.7127724531691596,0.5225806326132084,0.468332,0.05424863261320839
Reweigh,42,g1,295,53506,0.7694915254237288,0.7413708521180695,0.5334860707197133,0.498132,0.035354070719713304
Reweigh,42,g2,125,53506,0.872,0.4655797101449276,0.5305689330867481,0.341179,0.18938993308674812
Reweigh,42,g3,200,53506,0.715,0.5232512074759702,0.9087432268233263,0.597641,0.31110222682332633
Reweigh,1337,g0,305,53506,0.760655737704918,0.755533086541848,0.5337195981199627,0.468332,0.0653875981199627
Reweigh,1337,g1,295,53506,0.8,0.7706490887359956,0.5641982649802231,0.498132,0.06606626498022306
Reweigh,1337,g2,125,53506,0.848,0.4584226866257394,0.6058181180150999,0.341179,0.2646391180150999
Reweigh,1337,g3,200,53506,0.705,0.5196545005366344,1.2429249473747856,0.597641,0.6452839473747857
Reweigh,7,g0,305,53506,0.7540983606557377,0.7472902998275823,0.5182374438270927,0.468332,0.049905443827092666
Reweigh,7,g1,295,53506,0.7728813559322034,0.7553712840883672,0.5317817192777233,0.498132,0.03364971927772331
Reweigh,7,g2,125,53506,0.848,0.45863526570048313,0.5056918083797209,0.341179,0.16451280837972093
Reweigh,7,g3,200,53506,0.72,0.5474274132730015,0.7845852638379438,0.597641,0.18694426383794382
Reweigh,2024,g0,305,53506,0.7770491803278688,0.774507712669627,0.48930356209156806,0.468332,0.02097156209156803
Reweigh,2024,g1,295,53506,0.7728813559322034,0.7566806709056573,0.5663501258076749,0.498132,0.06821812580767483
Reweigh,2024,g2,125,53506,0.888,0.4702050570459452,0.6021217576279283,0.341179,0.2609427576279283
Reweigh,2024,g3,200,53506,0.725,0.552964953143729,1.2403041516144184,0.597641,0.6426631516144184
Reweigh,31337,g0,305,53506,0.7540983606557377,0.7499428500714042,0.537455133186867,0.468332,0.06912313318686697
Reweigh,31337,g1,295,53506,0.7762711864406779,0.7491494761779495,0.5444448618897063,0.498132,0.04631286188970629
Reweigh,31337,g2,125,53506,0.888,0.470108695652174,0.4195248296224454,0.341179,0.0783458296224454
Reweigh,31337,g3,200,53506,0.725,0.5488809502960147,0.9240784752829941,0.597641,0.32643747528299416
Reweigh,11,g0,305,53506,0.7475409836065574,0.7398085286965095,0.5283162306120965,0.468332,0.05998423061209651
Reweigh,11,g1,295,53506,0.7864406779661017,0.7628202013529131,0.5106025817433087,0.498132,0.012470581743308728
Reweigh,11,g2,125,53506,0.912,0.47695035460992913,0.44361084231742826,0.341179,0.10243184231742825
Reweigh,11,g3,200,53506,0.715,0.5556247512526958,0.9660448216181783,0.597641,0.3684038216181783
Reweigh,22,g0,305,53506,0.7213114754098361,0.7162486994463799,0.5447429325398188,0.468332,0.07641093253981873
Reweigh,22,g1,295,53506,0.7661016949152543,0.7337339587540391,0.5576990327663657,0.498132,0.05956703276636566
Reweigh,22,g2,125,53506,0.848,0.45831990113905,0.6070691554142409,0.341179,0.2658901554142409
Reweigh,22,g3,200,53506,0.72,0.5645408006462773,0.9347390124620018,0.597641,0.3370980124620018
Reweigh,33,g0,305,53506,0.740983606557377,0.737201961340931,0.518370845443884,0.468332,0.050038845443883984
Reweigh,33,g1,295,53506,0.7491525423728813,0.722373993371045,0.5680599105718025,0.498132,0.06992791057180248
Reweigh,33,g2,125,53506,0.872,0.46483795150915397,0.5360843298267062,0.341179,0.19490532982670616
Reweigh,33,g3,200,53506,0.705,0.4863113006396589,1.229979845741877,0.597641,0.6323388457418769
Reweigh,44,g0,305,53506,0.7245901639344262,0.7191430288359891,0.5491935569664147,0.468332,0.08086155696641467
Reweigh,44,g1,295,53506,0.7728813559322034,0.7436055198153952,0.5599377796428783,0.498132,0.061805779642878256
Reweigh,44,g2,125,53506,0.856,0.460638998682477,0.7447661290741401,0.341179,0.40358712907414007
Reweigh,44,g3,200,53506,0.695,0.5344164637648008,1.5552633326915526,0.597641,0.9576223326915526
Reweigh,55,g0,305,53506,0.780327868852459,0.7764639730334322,0.5264464230767831,0.468332,0.058114423076783106
Reweigh,55,g1,295,53506,0.8101694915254237,0.7859396494403469,0.4943161004996401,0.498132,-0.0038158995003599316
Reweigh,55,g2,125,53506,0.88,0.46778959810874704,0.5960844292314141,0.341179,0.2549054292314141
Reweigh,55,g3,200,53506,0.705,0.5502846645374031,1.1374230402101966,0.597641,0.5397820402101966
FlexMoE,42,g0,305,537250,0.7967213114754098,0.7958167930196495,0.5381481644947523,0.468332,0.06981616449475231
FlexMoE,42,g1,295,537250,0.7864406779661017,0.7615276985219381,0.575624798335356,0.498132,0.07749279833535594
FlexMoE,42,g2,125,537250,0.92,0.47916666666666674,0.8223043964964641,0.341179,0.48112539649646413
FlexMoE,42,g3,200,537250,0.725,0.47550406865595624,0.8256795190704815,0.597641,0.22803851907048156
FlexMoE,1337,g0,305,537250,0.7901639344262295,0.7858501586889914,0.5132602107621439,0.468332,0.04492821076214387
FlexMoE,1337,g1,295,537250,0.8,0.7683399828596872,0.5513275189932941,0.498132,0.05319551899329411
FlexMoE,1337,g2,125,537250,0.92,0.5456560283687943,0.6312227958554861,0.341179,0.2900437958554861
FlexMoE,1337,g3,200,537250,0.715,0.5071767188820353,1.0492205174867653,0.597641,0.4515795174867653
FlexMoE,7,g0,305,537250,0.7770491803278688,0.7742830371449585,0.5485404371892266,0.468332,0.0802084371892266
FlexMoE,7,g1,295,537250,0.8101694915254237,0.7840617285350471,0.5326404290883733,0.498132,0.03450842908837326
FlexMoE,7,g2,125,537250,0.88,0.4678923835954363,0.4482563365914793,0.341179,0.10707733659147928
FlexMoE,7,g3,200,537250,0.735,0.5495163849195575,0.9983739178752967,0.597641,0.40073291787529675
FlexMoE,2024,g0,305,537250,0.7278688524590164,0.7247146386747209,0.6328845319876789,0.468332,0.16455253198767889
FlexMoE,2024,g1,295,537250,0.7932203389830509,0.7549595284055644,0.5519285061085889,0.498132,0.05379650610858888
FlexMoE,2024,g2,125,537250,0.872,0.4656760715386988,1.3188581731862112,0.341179,0.9776791731862112
FlexMoE,2024,g3,200,537250,0.725,0.5558889452478252,1.7212630203564436,0.597641,1.1236220203564438
FlexMoE,31337,g0,305,537250,0.7770491803278688,0.7725708965596373,0.5194782916454552,0.468332,0.0511462916454552
FlexMoE,31337,g1,295,537250,0.7898305084745763,0.7627134632792109,0.5549899735630064,0.498132,0.05685797356300637
FlexMoE,31337,g2,125,537250,0.904,0.47463768115942034,0.9218193899143011,0.341179,0.5806403899143011
FlexMoE,31337,g3,200,537250,0.73,0.5205704075972846,0.947042247302754,0.597641,0.349401247302754
FlexMoE,11,g0,305,537250,0.7147540983606557,0.7114732848203902,0.5816121771565226,0.468332,0.11328017715652255
FlexMoE,11,g1,295,537250,0.7830508474576271,0.7596351697528421,0.5961297302305604,0.498132,0.09799773023056035
FlexMoE,11,g2,125,537250,0.92,0.47916666666666674,0.4766398866015897,0.341179,0.13546088660158967
FlexMoE,11,g3,200,537250,0.725,0.46277622874637797,0.7360793318309072,0.597641,0.13843833183090726
FlexMoE,22,g0,305,537250,0.7704918032786885,0.7690219864875875,0.543803931702478,0.468332,0.07547193170247796
FlexMoE,22,g1,295,537250,0.7898305084745763,0.7689705982799205,0.6219728386850428,0.498132,0.12384083868504281
FlexMoE,22,g2,125,537250,0.896,0.4724213691026828,1.085719506809443,0.341179,0.744540506809443
FlexMoE,22,g3,200,537250,0.745,0.5934410566830632,0.7175062946387327,0.597641,0.11986529463873274
FlexMoE,33,g0,305,537250,0.7311475409836066,0.7218936169622368,0.5261652863070609,0.468332,0.057833286307060916
FlexMoE,33,g1,295,537250,0.7796610169491526,0.7539414554848237,0.5618014944235842,0.498132,0.06366949442358416
FlexMoE,33,g2,125,537250,0.888,0.4702050570459451,1.034389953091177,0.341179,0.6932109530911771
FlexMoE,33,g3,200,537250,0.75,0.5431530112044818,0.9465147940584205,0.597641,0.34887379405842056
FlexMoE,44,g0,305,537250,0.740983606557377,0.7347228546814712,0.5614158012777792,0.468332,0.09308380127777921
FlexMoE,44,g1,295,537250,0.8067796610169492,0.7772839385596945,0.5905996426288828,0.498132,0.09246764262888274
FlexMoE,44,g2,125,537250,0.92,0.47916666666666674,0.6157563998324228,0.341179,0.2745773998324228
FlexMoE,44,g3,200,537250,0.715,0.4862324240124752,0.9357666285626608,0.597641,0.3381256285626608
FlexMoE,55,g0,305,537250,0.760655737704918,0.7596251764979546,0.588432981475147,0.468332,0.12010098147514697
FlexMoE,55,g1,295,537250,0.8169491525423729,0.7944547272599425,0.5799688025571058,0.498132,0.08183680255710579
FlexMoE,55,g2,125,537250,0.92,0.47916666666666674,0.9532300597323248,0.341179,0.6120510597323248
FlexMoE,55,g3,200,537250,0.73,0.4367065770050845,0.7149095174104434,0.597641,0.11726851741044342
REMIND,42,g0,305,53506,0.7540983606557377,0.7492986289751107,0.5001591741489094,0.468332,0.0318271741489094
REMIND,42,g1,295,53506,0.7762711864406779,0.7573651327637001,0.5259930383350889,0.498132,0.027861038335088906
REMIND,42,g2,125,53506,0.808,0.4467501097935881,0.44971926615387203,0.341179,0.10854026615387202
REMIND,42,g3,200,53506,0.74,0.4901898608658924,0.6373092756094411,0.597641,0.039668275609441084
REMIND,1337,g0,305,53506,0.7770491803278688,0.7737154813345133,0.5034124056946059,0.468332,0.035080405694605854
REMIND,1337,g1,295,53506,0.7864406779661017,0.76659042206784,0.5263043307651908,0.498132,0.028172330765190767
