method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,305,36738,0.7573770491803279,0.7547018465427637,0.5244078227034423,0.49934679966136675,0.02506102304207558
Reweigh,42,g1,295,36738,0.7830508474576271,0.7662425665248643,0.512677802696974,0.5924033531758973,-0.07972555047892327
Reweigh,42,g2,125,36738,0.904,0.47473404255319146,0.5130748218390545,0.4240419712328326,0.0890328506062219
Reweigh,42,g3,200,36738,0.74,0.5712634791495361,1.212951146902136,1.4799922526387188,-0.2670411057365829
Reweigh,1337,g0,305,36738,0.7737704918032787,0.7714270949523702,0.5109961568484785,0.49934679966136675,0.011649357187111797
Reweigh,1337,g1,295,36738,0.7661016949152543,0.7391310968907868,0.5486698861439097,0.5924033531758973,-0.04373346703198766
Reweigh,1337,g2,125,36738,0.912,0.476950354609929,0.43624817513860764,0.4240419712328326,0.012206203905775037
Reweigh,1337,g3,200,36738,0.725,0.5805689143419659,0.9794552921655122,1.4799922526387188,-0.5005369604732066
Reweigh,7,g0,305,36738,0.780327868852459,0.779226621569048,0.513728548810802,0.49934679966136675,0.014381749149435241
Reweigh,7,g1,295,36738,0.7898305084745763,0.7643450273929683,0.5337753896317365,0.5924033531758973,-0.05862796354416078
Reweigh,7,g2,125,36738,0.904,0.47463768115942034,0.5260583831773546,0.4240419712328326,0.10201641194452205
Reweigh,7,g3,200,36738,0.76,0.5919292351712417,0.9300723663645476,1.4799922526387188,-0.5499198862741712
Reweigh,2024,g0,305,36738,0.7704918032786885,0.7669257449173117,0.541246757602792,0.49934679966136675,0.0418999579414252
Reweigh,2024,g1,295,36738,0.7966101694915254,0.779912628769147,0.5275301363871638,0.5924033531758973,-0.06487321678873348
Reweigh,2024,g2,125,36738,0.88,0.4678923835954363,0.6253348145396543,0.4240419712328326,0.20129284330682173
Reweigh,2024,g3,200,36738,0.735,0.5889664172075706,1.298310994202327,1.4799922526387188,-0.18168125843639182
Reweigh,31337,g0,305,36738,0.7672131147540984,0.7658733498650888,0.5141036332880727,0.49934679966136675,0.01475683362670599
Reweigh,31337,g1,295,36738,0.7932203389830509,0.7786741904750382,0.5443175368468767,0.5924033531758973,-0.04808581632902065
Reweigh,31337,g2,125,36738,0.904,0.47473404255319146,0.7156733514722436,0.4240419712328326,0.29163138023941104
Reweigh,31337,g3,200,36738,0.75,0.591350902448488,1.403891546988987,1.4799922526387188,-0.07610070564973181
