method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,305,36738,0.780327868852459,0.7743370739179024,0.5300908947913129,0.468332,0.06175889479131286
Reweigh,42,g1,295,36738,0.7864406779661017,0.7548463106302494,0.5346278563220749,0.498132,0.03649585632207486
Reweigh,42,g2,125,36738,0.912,0.476950354609929,0.4099658983657137,0.341179,0.06878689836571367
Reweigh,42,g3,200,36738,0.7,0.481677358713621,0.6499613504111766,0.597641,0.052320350411176664
Reweigh,1337,g0,305,36738,0.7540983606557377,0.7482620796328573,0.5198731676326134,0.468332,0.05154116763261335
Reweigh,1337,g1,295,36738,0.8,0.7720983426418303,0.5149204465450119,0.498132,0.01678844654501188
Reweigh,1337,g2,125,36738,0.92,0.47916666666666674,0.33558512094430626,0.341179,-0.005593879055693751
Reweigh,1337,g3,200,36738,0.74,0.5612779884246083,0.5951559887267649,0.597641,-0.0024850112732350826
Reweigh,7,g0,305,36738,0.780327868852459,0.7742044549442003,0.5157614522804906,0.468332,0.047429452280490614
Reweigh,7,g1,295,36738,0.8,0.7723506286268375,0.523977144443138,0.498132,0.025845144443138013
Reweigh,7,g2,125,36738,0.904,0.47473404255319146,0.4073850159637514,0.341179,0.06620601596375136
Reweigh,7,g3,200,36738,0.705,0.5501007448433919,0.5937644248083234,0.597641,-0.0038765751916766122
Reweigh,2024,g0,305,36738,0.7639344262295082,0.7570157914057387,0.47367363791668515,0.468332,0.005341637916685127
Reweigh,2024,g1,295,36738,0.8067796610169492,0.7793080124659072,0.4851193060561762,0.498132,-0.013012693943823817
Reweigh,2024,g2,125,36738,0.888,0.4700059101654846,0.3751655354164541,0.341179,0.03398653541645408
Reweigh,2024,g3,200,36738,0.73,0.5637418706109408,0.5465716375876218,0.597641,-0.05106936241237814
Reweigh,31337,g0,305,36738,0.7540983606557377,0.7467030928984029,0.6507334178422615,0.468332,0.18240141784226144
Reweigh,31337,g1,295,36738,0.7898305084745763,0.7576566113779593,0.6315330084572682,0.498132,0.1334010084572682
Reweigh,31337,g2,125,36738,0.912,0.476950354609929,0.9194323832943155,0.341179,0.5782533832943155
Reweigh,31337,g3,200,36738,0.7,0.5522447991519414,0.7448184384944068,0.597641,0.1471774384944068
Reweigh,11,g0,305,36738,0.7836065573770492,0.7764836217994383,0.4738019217090532,0.468332,0.005469921709053194
Reweigh,11,g1,295,36738,0.8,0.772544877190532,0.5498814356971213,0.498132,0.051749435697121315
Reweigh,11,g2,125,36738,0.92,0.47916666666666674,0.46236342256602075,0.341179,0.12118442256602074
Reweigh,11,g3,200,36738,0.705,0.5449799873329285,0.6577673125104048,0.597641,0.06012631251040479
Reweigh,22,g0,305,36738,0.7836065573770492,0.7773735632736132,0.5245498598133381,0.468332,0.0562178598133381
Reweigh,22,g1,295,36738,0.7898305084745763,0.7632728181212525,0.5352047818633965,0.498132,0.037072781863396465
