method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
REMIND,42,g0,305,36738,0.7639344262295082,0.7585040242013973,0.6022610125351854,0.377003,0.225258
REMIND,42,g1,295,36738,0.8033898305084746,0.7777404405001304,0.5621723833515593,0.42032,0.141852
REMIND,42,g2,125,36738,0.912,0.4769503546099291,0.4603617936804657,0.1051,0.355262
REMIND,42,g3,200,36738,0.695,0.5126625684431844,0.6667079988331533,0.511216,0.155492
REMIND,1337,g0,305,36738,0.760655737704918,0.7575273544014773,0.526997879871213,0.377003,0.149995
REMIND,1337,g1,295,36738,0.8033898305084746,0.7837690086592872,0.5169223156836579,0.42032,0.096602
REMIND,1337,g2,125,36738,0.912,0.4769503546099291,0.3573765158206224,0.1051,0.252277
REMIND,1337,g3,200,36738,0.755,0.6007078114537792,0.5630820002779364,0.511216,0.051866
REMIND,7,g0,305,36738,0.7704918032786885,0.7652433891358259,0.5103114230130784,0.377003,0.133308
REMIND,7,g1,295,36738,0.7762711864406779,0.7528792940314208,0.5407408891403575,0.42032,0.120421
REMIND,7,g2,125,36738,0.88,0.4676932367149759,0.3753824586570263,0.1051,0.270282
REMIND,7,g3,200,36738,0.725,0.5733578345840344,0.5763346293568611,0.511216,0.065119
REMIND,2024,g0,305,36738,0.780327868852459,0.7756510384481218,0.520826401534017,0.377003,0.143823
REMIND,2024,g1,295,36738,0.7762711864406779,0.7576995309817839,0.5403643085463447,0.42032,0.120044
REMIND,2024,g2,125,36738,0.864,0.4625252780586451,0.400388528062962,0.1051,0.295289
REMIND,2024,g3,200,36738,0.735,0.5555461771303518,0.5756100445706397,0.511216,0.064394
REMIND,31337,g0,305,36738,0.7934426229508197,0.7884990471897813,0.5618295587214663,0.377003,0.184827
REMIND,31337,g1,295,36738,0.7898305084745763,0.7597771154812938,0.5425086559852466,0.42032,0.122189
REMIND,31337,g2,125,36738,0.896,0.4722222222222222,0.4834102359710377,0.1051,0.37831
REMIND,31337,g3,200,36738,0.73,0.5864231601731602,0.614471378083108,0.511216,0.103255
REMIND,11,g0,305,36738,0.7508196721311475,0.7427465706813363,0.5265773048685467,0.377003,0.149574
REMIND,11,g1,295,36738,0.7966101694915254,0.7695903107866752,0.5155622908056288,0.42032,0.095242
REMIND,11,g2,125,36738,0.912,0.4769503546099291,0.3421451694592833,0.1051,0.237045
REMIND,11,g3,200,36738,0.72,0.5130249750980655,0.5465285977628082,0.511216,0.035313
REMIND,22,g0,305,36738,0.7836065573770492,0.7778969967696606,0.4922038284321239,0.377003,0.115201
REMIND,22,g1,295,36738,0.8,0.7685872649194356,0.5212124618164943,0.42032,0.100892
REMIND,22,g2,125,36738,0.896,0.4722222222222222,0.3667557945474982,0.1051,0.261656
REMIND,22,g3,200,36738,0.72,0.5252976190476191,0.5808799736388027,0.511216,0.069664
REMIND,33,g0,305,36738,0.7639344262295082,0.7579188312779498,0.6261651060669733,0.377003,0.249162
REMIND,33,g1,295,36738,0.7966101694915254,0.7724666088046056,0.5972510576267068,0.42032,0.176931
REMIND,33,g2,125,36738,0.912,0.476950354609929,0.5237724107111569,0.1051,0.418672
REMIND,33,g3,200,36738,0.73,0.5530049301571329,0.6833550896057567,0.511216,0.172139
REMIND,44,g0,305,36738,0.7770491803278688,0.7697237671082113,0.4987190905973682,0.377003,0.121716
REMIND,44,g1,295,36738,0.7864406779661017,0.7602368180509163,0.4924141997976576,0.42032,0.072094
REMIND,44,g2,125,36738,0.912,0.476950354609929,0.3375201480314135,0.1051,0.23242
REMIND,44,g3,200,36738,0.73,0.5642995964023357,0.5951683764532208,0.511216,0.083952
REMIND,55,g0,305,36738,0.7868852459016393,0.780268950430508,0.4828222620225565,0.377003,0.105819
REMIND,55,g1,295,36738,0.8067796610169492,0.7801966517721312,0.4864990314547667,0.42032,0.066179
REMIND,55,g2,125,36738,0.904,0.4746376811594202,0.3538948902152479,0.1051,0.248795
REMIND,55,g3,200,36738,0.74,0.5678987678987678,0.5872504989616573,0.511216,0.076034
