method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,533,52482,0.7091932457786116,0.584483842575129,0.5160249486270726,0.306561,0.20946394862707263
Reweigh,42,g1,530,52482,0.7830188679245284,0.5607871961721109,0.3899187404092083,0.270789,0.11912974040920832
Reweigh,42,g2,2338,52482,0.7236954662104362,0.5842615102749077,0.45172027367069845,0.264331,0.18738927367069846
Reweigh,1337,g0,533,52482,0.6810506566604128,0.5653446158569345,0.5641670516865536,0.306561,0.2576060516865536
Reweigh,1337,g1,530,52482,0.7773584905660378,0.5785827875259427,0.46664088574367785,0.270789,0.19585188574367784
Reweigh,1337,g2,2338,52482,0.7207014542343884,0.5914620717743206,0.49370633906390793,0.264331,0.22937533906390795
Reweigh,7,g0,533,52482,0.7485928705440901,0.6055079315982502,0.7253601223187244,0.306561,0.4187991223187244
Reweigh,7,g1,530,52482,0.8301886792452831,0.5890198511166254,0.8509039392451972,0.270789,0.5801149392451972
Reweigh,7,g2,2338,52482,0.7360992301112061,0.5875888942731718,0.482116883535795,0.264331,0.21778588353579503
Reweigh,2024,g0,533,52482,0.7467166979362101,0.6011474183088052,0.6719580997332231,0.306561,0.3653970997332231
Reweigh,2024,g1,530,52482,0.8037735849056604,0.5557847909480674,0.7034315959509824,0.270789,0.43264259595098237
Reweigh,2024,g2,2338,52482,0.7869974337040205,0.613680402191455,0.43567381342820716,0.264331,0.17134281342820717
Reweigh,31337,g0,533,52482,0.7129455909943715,0.5718156185515586,0.6313243097493454,0.306561,0.3247633097493454
Reweigh,31337,g1,530,52482,0.8075471698113208,0.5698051948051948,0.6388958349957942,0.270789,0.36810683499579416
Reweigh,31337,g2,2338,52482,0.7724550898203593,0.6182327577739799,0.4454164332609001,0.264331,0.1810854332609001
Reweigh,11,g0,533,52482,0.7692307692307693,0.6257812990541644,0.5097008689486721,0.306561,0.2031398689486721
Reweigh,11,g1,530,52482,0.7811320754716982,0.5640458361697299,0.45973737390207914,0.270789,0.18894837390207914
Reweigh,11,g2,2338,52482,0.7403763900769889,0.5896413179098154,0.4671482004703382,0.264331,0.20281720047033824
Reweigh,22,g0,533,52482,0.7392120075046904,0.6005940924994475,0.7096770371521705,0.306561,0.4031160371521705
Reweigh,22,g1,530,52482,0.7886792452830189,0.5446316241676639,0.7912454746759577,0.270789,0.5204564746759577
Reweigh,22,g2,2338,52482,0.7698887938408896,0.61322099566434,0.4319156332651342,0.264331,0.16758463326513423
Reweigh,33,g0,533,52482,0.7279549718574109,0.577596808132703,0.7288892329939125,0.306561,0.42232823299391253
Reweigh,33,g1,530,52482,0.8245283018867925,0.5840190394207154,0.7749668943923814,0.270789,0.5041778943923814
Reweigh,33,g2,2338,52482,0.7904191616766467,0.6117658381590648,0.4143858607864621,0.264331,0.15005486078646213
Reweigh,44,g0,533,52482,0.724202626641651,0.5832149753443021,0.7243445104142958,0.306561,0.41778351041429584
Reweigh,44,g1,530,52482,0.8037735849056604,0.5869428374449207,0.7148580802409937,0.270789,0.44406908024099373
Reweigh,44,g2,2338,52482,0.739093242087254,0.5951811633694842,0.5068624030227799,0.264331,0.24253140302277987
Reweigh,55,g0,533,52482,0.7654784240150094,0.6045735923413398,0.6033476454600268,0.306561,0.29678664546002687
Reweigh,55,g1,530,52482,0.8132075471698114,0.5631104338920391,0.7225352968658835,0.270789,0.45174629686588347
Reweigh,55,g2,2338,52482,0.7733105218135158,0.614003937400319,0.44057522529131987,0.264331,0.1762442252913199
FlexMoE,42,g0,533,536354,0.7542213883677298,0.6183805645888557,0.6662950620865956,0.306561,0.35973406208659564
FlexMoE,42,g1,530,536354,0.8132075471698114,0.5901389637475687,0.6719641648373513,0.270789,0.40117516483735133
FlexMoE,42,g2,2338,536354,0.7745936698032506,0.608440548317849,0.6766776766044855,0.264331,0.41234667660448554
FlexMoE,1337,g0,533,536354,0.8799249530956847,0.468063872255489,0.6439497985267282,0.306561,0.3373887985267282
FlexMoE,1337,g1,530,536354,0.9,0.4736842105263158,0.6436942539125119,0.270789,0.3729052539125119
FlexMoE,1337,g2,2338,536354,0.8964927288280582,0.47271087054578254,0.6444341010064321,0.264331,0.3801031010064321
FlexMoE,7,g0,533,536354,0.6735459662288931,0.5684812953657175,0.5936871467328872,0.306561,0.2871261467328873
FlexMoE,7,g1,530,536354,0.7886792452830189,0.5960365853658537,0.5349788155238991,0.270789,0.26418981552389914
FlexMoE,7,g2,2338,536354,0.7322497861420018,0.5971326709475112,0.5187140555607569,0.264331,0.2543830555607569
FlexMoE,2024,g0,533,536354,0.6697936210131332,0.5697670152265639,0.6706713951727976,0.306561,0.36411039517279764
FlexMoE,2024,g1,530,536354,0.7924528301886793,0.5909231244211176,0.4703730790410901,0.270789,0.1995840790410901
FlexMoE,2024,g2,2338,536354,0.7035928143712575,0.5753011977135631,0.5337871296107389,0.264331,0.26945612961073895
FlexMoE,31337,g0,533,536354,0.7035647279549718,0.5848745957883114,0.5995001946768281,0.306561,0.29293919467682816
FlexMoE,31337,g1,530,536354,0.7396226415094339,0.5714687478028545,0.5468139737798151,0.270789,0.2760249737798151
FlexMoE,31337,g2,2338,536354,0.7553464499572284,0.6037908019605798,0.4767629857779226,0.264331,0.2124319857779226
FlexMoE,11,g0,533,536354,0.649155722326454,0.543950437651279,0.5487157480840374,0.306561,0.24215474808403747
FlexMoE,11,g1,530,536354,0.7924528301886793,0.6146728354263054,0.40011628488048845,0.270789,0.12932728488048845
