method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,533,35714,0.7504690431519699,0.6042219157738411,0.6724956121758161,0.278835,0.393661
Reweigh,42,g1,530,35714,0.8,0.5584582979659845,0.6597745077200533,0.239386,0.420389
Reweigh,42,g2,2338,35714,0.7271171941830624,0.5918367570312774,0.5192944514543805,0.250111,0.269183
Reweigh,1337,g0,533,35714,0.7485928705440901,0.6109912854030501,0.7085479118923738,0.278835,0.429713
Reweigh,1337,g1,530,35714,0.8207547169811321,0.5691978609625669,0.7020345875964308,0.239386,0.462649
Reweigh,1337,g2,2338,35714,0.7510692899914457,0.6016196181074007,0.48360830666545357,0.250111,0.233497
Reweigh,7,g0,533,35714,0.7485928705440901,0.581151771053249,0.7386678232548055,0.278835,0.459833
Reweigh,7,g1,530,35714,0.8075471698113208,0.5528535980148883,0.9365283444247156,0.239386,0.697142
Reweigh,7,g2,2338,35714,0.7343883661248931,0.5875546379358784,0.49043166825127854,0.250111,0.240321
Reweigh,2024,g0,533,35714,0.7204502814258912,0.5908217364198899,0.5177218510963068,0.278835,0.238887
Reweigh,2024,g1,530,35714,0.7905660377358491,0.5850350212666907,0.42218182763208806,0.239386,0.182796
Reweigh,2024,g2,2338,35714,0.7258340461933276,0.5865537223484363,0.4736340189368422,0.250111,0.223523
Reweigh,31337,g0,533,35714,0.7148217636022514,0.5647109391790243,0.645908066723268,0.278835,0.367073
Reweigh,31337,g1,530,35714,0.7924528301886793,0.5527632023075271,0.6202826203455584,0.239386,0.380897
Reweigh,31337,g2,2338,35714,0.7159965782720273,0.5789087658082268,0.5001716308155273,0.250111,0.250061
Reweigh,11,g0,533,35714,0.6979362101313321,0.5632326070248838,0.6721121981066339,0.278835,0.393277
Reweigh,11,g1,530,35714,0.7773584905660378,0.5258672974284327,0.7147758957624593,0.239386,0.475390
Reweigh,11,g2,2338,35714,0.7014542343883661,0.5696185038904924,0.5391269835580196,0.250111,0.289016
Reweigh,22,g0,533,35714,0.7448405253283302,0.5877803557617942,0.6264660817525792,0.278835,0.347631
Reweigh,22,g1,530,35714,0.8150943396226416,0.5759861546499477,0.6016668844285029,0.239386,0.362281
Reweigh,22,g2,2338,35714,0.7318220701454234,0.5868325395100759,0.4648772262497673,0.250111,0.214766
Reweigh,33,g0,533,35714,0.724202626641651,0.5832149753443021,0.5907165851412265,0.278835,0.311882
Reweigh,33,g1,530,35714,0.7924528301886793,0.5417963469458329,0.723767614140948,0.239386,0.484382
Reweigh,33,g2,2338,35714,0.7480752780153977,0.5991749958304456,0.46326695562911197,0.250111,0.213156
Reweigh,44,g0,533,35714,0.726078799249531,0.6002938034188035,0.48996904495654464,0.278835,0.211134
Reweigh,44,g1,530,35714,0.7754716981132076,0.5770832355445883,0.40001751820474174,0.239386,0.160632
Reweigh,44,g2,2338,35714,0.7219846022241232,0.5829289873273205,0.4710205030537598,0.250111,0.220910
Reweigh,55,g0,533,35714,0.6866791744840526,0.5672544472480299,0.6743926591115703,0.278835,0.395558
Reweigh,55,g1,530,35714,0.7754716981132076,0.5503831759044734,0.5866559616533474,0.239386,0.347270
Reweigh,55,g2,2338,35714,0.7159965782720273,0.5801223797407002,0.504187332866794,0.250111,0.254076
FlexMoE,42,g0,533,35722,0.8236397748592871,0.6432701070858966,0.5993370873954909,0.278835,0.320502
FlexMoE,42,g1,530,35722,0.8716981132075472,0.595310815666547,0.5065206277412626,0.239386,0.267135
FlexMoE,42,g2,2338,35722,0.7741659538066724,0.598695502917954,0.549649710986059,0.250111,0.299539
FlexMoE,1337,g0,533,35722,0.6979362101313321,0.585053552863809,0.5940875874501588,0.278835,0.315253
FlexMoE,1337,g1,530,35722,0.8037735849056604,0.6049425188498037,0.5616657709466514,0.239386,0.322280
FlexMoE,1337,g2,2338,35722,0.7442258340461934,0.6012473746835646,0.4694798368126562,0.250111,0.219369
FlexMoE,7,g0,533,35722,0.6923076923076923,0.5806853941208074,0.6481544853201736,0.278835,0.369319
