method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
REMIND,42,g0,533,52482,0.7335834896810507,0.5933483773909306,0.5097481973953928,0.278835,0.230913
REMIND,42,g1,530,52482,0.7905660377358491,0.5616603706104566,0.3760477665118055,0.239386,0.136662
REMIND,42,g2,2338,52482,0.760906757912746,0.6090973396801753,0.434837325152862,0.250111,0.184726
REMIND,1337,g0,533,52482,0.6885553470919324,0.57101159768822,0.7270360639962378,0.278835,0.448201
REMIND,1337,g1,530,52482,0.7679245283018868,0.571172024549563,0.538756377657958,0.239386,0.29937
REMIND,1337,g2,2338,52482,0.7378100940975193,0.5935118179020618,0.5437423131527298,0.250111,0.293631
REMIND,7,g0,533,52482,0.7354596622889306,0.5975635224504002,0.6694313463983951,0.278835,0.390596
REMIND,7,g1,530,52482,0.7962264150943397,0.5660480349344977,0.5713922995992596,0.239386,0.332006
REMIND,7,g2,2338,52482,0.7502138579982891,0.5912587412587413,0.5269950642084265,0.250111,0.276884
REMIND,2024,g0,533,52482,0.7354596622889306,0.5975635224504002,0.707695377729064,0.278835,0.42886
REMIND,2024,g1,530,52482,0.7924528301886793,0.547360248447205,0.6463267853696609,0.239386,0.406941
REMIND,2024,g2,2338,52482,0.7527801539777588,0.5989470372810531,0.5197562398500838,0.250111,0.269645
REMIND,31337,g0,533,52482,0.7354596622889306,0.5948472449095115,0.6174587069346514,0.278835,0.338624
REMIND,31337,g1,530,52482,0.7886792452830189,0.5602181128496918,0.5187869438981312,0.239386,0.279401
REMIND,31337,g2,2338,52482,0.7660393498716852,0.6019952428123239,0.4719075277434527,0.250111,0.221797
REMIND,11,g0,533,52482,0.6810506566604128,0.5606745277529963,0.5547212144346292,0.278835,0.275886
REMIND,11,g1,530,52482,0.7584905660377359,0.5516192994051553,0.4453060348757815,0.239386,0.20592
REMIND,11,g2,2338,52482,0.7194183062446535,0.5869600578250749,0.4986230667170171,0.250111,0.248512
REMIND,22,g0,533,52482,0.7523452157598499,0.5841057410384942,0.6383282175302772,0.278835,0.359493
REMIND,22,g1,530,52482,0.7943396226415095,0.5487388590756059,0.716209713715647,0.239386,0.476824
REMIND,22,g2,2338,52482,0.7686056458511549,0.6018797164058135,0.4822145577858194,0.250111,0.232104
REMIND,33,g0,533,52482,0.7223264540337712,0.5761659144637867,0.7257360114820679,0.278835,0.446901
REMIND,33,g1,530,52482,0.8,0.5529348102877514,0.5515652711023197,0.239386,0.312179
REMIND,33,g2,2338,52482,0.7869974337040205,0.6230106719162825,0.4763540816242597,0.250111,0.226243
REMIND,44,g0,533,52482,0.6979362101313321,0.5757984705353125,0.6721930558780711,0.278835,0.393358
REMIND,44,g1,530,52482,0.7754716981132076,0.5770832355445883,0.599772443492844,0.239386,0.360386
REMIND,44,g2,2338,52482,0.7331052181351583,0.5904054192154401,0.5234321126841912,0.250111,0.273321
REMIND,55,g0,533,52482,0.7523452157598499,0.5999044629452709,0.6575685129554806,0.278835,0.378734
REMIND,55,g1,530,52482,0.8226415094339623,0.5879239040529363,0.717704544645526,0.239386,0.478319
REMIND,55,g2,2338,52482,0.7660393498716852,0.5974643343326802,0.5153190022716974,0.250111,0.265208
