method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,42,g0,533,35714,0.7392120075046904,0.5950755608996257,0.6623357212039364,0.279088,0.3832477212039363
Reweigh,42,g1,530,35714,0.7905660377358491,0.5616603706104566,0.6780237757244544,0.242395,0.4356287757244543
Reweigh,42,g2,2338,35714,0.7189905902480753,0.5866250977215571,0.5302784463604878,0.252005,0.2782734463604878
Reweigh,1337,g0,533,35714,0.7410881801125704,0.6021183140038082,0.7039056199050905,0.279088,0.4248176199050905
Reweigh,1337,g1,530,35714,0.8188679245283019,0.5734978540772533,0.7084568143388842,0.242395,0.4660618143388841
Reweigh,1337,g2,2338,35714,0.7493584260051326,0.5961651148779535,0.494868136137595,0.252005,0.242863136137595
Reweigh,7,g0,533,35714,0.7485928705440901,0.5743826277650649,0.7648793016889123,0.279088,0.4857913016889122
Reweigh,7,g1,530,35714,0.7905660377358491,0.5404588381412134,0.9493487379765276,0.242395,0.7069537379765277
Reweigh,7,g2,2338,35714,0.739093242087254,0.5912831059022047,0.4812140917453687,0.252005,0.2292090917453687
Reweigh,2024,g0,533,35714,0.7204502814258912,0.5908217364198899,0.5184981326134471,0.279088,0.2394101326134471
Reweigh,2024,g1,530,35714,0.7849056603773585,0.5804166666666667,0.4222664409920946,0.242395,0.1798714409920946
Reweigh,2024,g2,2338,35714,0.7254063301967494,0.587450320750672,0.4740291297007291,0.252005,0.2220241297007291
Reweigh,31337,g0,533,35714,0.7204502814258912,0.5830099814652434,0.566866791829109,0.279088,0.287778791829109
Reweigh,31337,g1,530,35714,0.7981132075471699,0.5822129233308039,0.4493064087841704,0.242395,0.2069114087841704
Reweigh,31337,g2,2338,35714,0.7485029940119761,0.6021600222253091,0.4633453891373862,0.252005,0.2113403891373862
Reweigh,11,g0,533,35714,0.6979362101313321,0.5757984705353125,0.6391321714143925,0.279088,0.3600441714143925
Reweigh,11,g1,530,35714,0.7943396226415095,0.5695583819508089,0.6302540999846918,0.242395,0.3878590999846918
Reweigh,11,g2,2338,35714,0.7271171941830624,0.5812157972106583,0.4825362834079149,0.252005,0.2305312834079149
Reweigh,22,g0,533,35714,0.7504690431519699,0.5826253348641408,0.6397232282653789,0.279088,0.3606352282653788
Reweigh,22,g1,530,35714,0.8226415094339623,0.5823833154506438,0.6573844155952329,0.242395,0.4149894155952328
Reweigh,22,g2,2338,35714,0.7416595380667237,0.5933327573794097,0.4499709958295905,0.252005,0.1979659958295905
Reweigh,33,g0,533,35714,0.7166979362101313,0.5718738862380246,0.5933296625043332,0.279088,0.3142416625043331
Reweigh,33,g1,530,35714,0.7886792452830189,0.5334653714357572,0.7513907621887994,0.242395,0.5089957621887994
Reweigh,33,g2,2338,35714,0.7497861420017109,0.6025559996687313,0.4622994999882082,0.252005,0.2102944999882082
Reweigh,44,g0,533,35714,0.726078799249531,0.6002938034188035,0.4898841537207404,0.279088,0.2107961537207404
Reweigh,44,g1,530,35714,0.7754716981132076,0.5770832355445883,0.4002584081240611,0.242395,0.1578634081240611
Reweigh,44,g2,2338,35714,0.7219846022241232,0.5829289873273205,0.4709131488634925,0.252005,0.2189081488634925
Reweigh,55,g0,533,35714,0.724202626641651,0.5937942297223735,0.6666420573646509,0.279088,0.3875540573646509
Reweigh,55,g1,530,35714,0.8037735849056604,0.5557847909480674,0.6945028842582671,0.242395,0.4521078842582671
Reweigh,55,g2,2338,35714,0.7446535500427716,0.6034945553103372,0.4797182421522118,0.252005,0.2277132421522118
FlexMoE,42,g0,533,35722,0.8217636022514071,0.6414078821571475,0.5942989513976936,0.279088,0.3152109513976936
FlexMoE,42,g1,530,35722,0.8603773584905661,0.5914583333333334,0.5083091876346547,0.242395,0.2659141876346547
FlexMoE,42,g2,2338,35722,0.7805816937553465,0.6065263027361223,0.5468331187074388,0.252005,0.2948281187074388
FlexMoE,1337,g0,533,35722,0.699812382739212,0.5842595842595844,0.5834828407319511,0.279088,0.3043948407319511
FlexMoE,1337,g1,530,35722,0.7830188679245284,0.5831366997011169,0.5427454064023078,0.242395,0.3003504064023078
FlexMoE,1337,g2,2338,35722,0.7386655260906758,0.5961127793847929,0.4736613570827022,0.252005,0.2216563570827022
FlexMoE,7,g0,533,35722,0.6960600375234521,0.5879652605459056,0.6040967501504337,0.279088,0.3250087501504337
FlexMoE,7,g1,530,35722,0.7981132075471699,0.5774563932911609,0.4998731753488118,0.242395,0.2574781753488118
