method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc
FlexMoE,42,g0,533,536354,0.8630393996247655,0.5525283773992846,0.6632531262920229,0.2771,0.3861531262920229,0.7758195628997867
FlexMoE,42,g1,530,536354,0.9,0.4736842105263158,0.6683843025621378,0.290923,0.3774613025621378,0.5453502630433923
FlexMoE,42,g2,2338,536354,0.8969204448246364,0.4728297632468997,0.676650297040099,0.289439,0.38721129704009905,0.5682015604192514
FlexMoE,1337,g0,533,536354,0.8799249530956847,0.468063872255489,0.6476010303336281,0.2771,0.37050103033362813,0.7094216417910447
FlexMoE,1337,g1,530,536354,0.9,0.4736842105263158,0.6340985922318585,0.290923,0.3431755922318585,0.4791740833036668
FlexMoE,1337,g2,2338,536354,0.8969204448246364,0.4728297632468997,0.6455616997897472,0.289439,0.3561226997897472,0.6080628916630555
FlexMoE,7,g0,533,536354,0.6754221388367729,0.5655948931759829,0.7062587324016573,0.2771,0.42915873240165725,0.7465684968017058
FlexMoE,7,g1,530,536354,0.8339622641509434,0.5607293550331525,0.4794990936689296,0.290923,0.18857609366892963,0.6111704442071121
FlexMoE,7,g2,2338,536354,0.6963216424294268,0.5516790631599985,0.6081493672722802,0.289439,0.3187103672722802,0.7083701870089061
FlexMoE,2024,g0,533,536354,0.6848030018761726,0.5770800272047155,0.5052413760871313,0.2771,0.22814137608713125,0.77318763326226
FlexMoE,2024,g1,530,536354,0.7867924528301887,0.5432811463345815,0.5584623949039939,0.290923,0.26753939490399387,0.6156797595031842
FlexMoE,2024,g2,2338,536354,0.7172797262617622,0.565106491949611,0.571301192363885,0.289439,0.281862192363885,0.706223274901707
FlexMoE,31337,g0,533,536354,0.6585365853658537,0.5486413549227619,0.6385594672600674,0.2771,0.3614594672600674,0.7558302238805971
FlexMoE,31337,g1,530,536354,0.7094339622641509,0.514178233851575,0.5820992022304459,0.290923,0.2911762022304459,0.5731972627665045
FlexMoE,31337,g2,2338,536354,0.7087254063301968,0.5574277530155898,0.5673400719593924,0.289439,0.2779010719593924,0.7037281079273494
FlexMoE,11,g0,533,536354,0.7073170731707317,0.6011397651393047,0.5052884787261731,0.2771,0.2281884787261731,0.794842750533049
FlexMoE,11,g1,530,536354,0.769811320754717,0.5039737334683482,0.6706876141845055,0.290923,0.3797646141845055,0.525770341363079
FlexMoE,11,g2,2338,536354,0.7416595380667237,0.5681386700592063,0.6890601149550659,0.289439,0.3996211149550659,0.6563100418103712
FlexMoE,22,g0,533,536354,0.7223264540337712,0.5923054659720499,0.8618234746388077,0.2771,0.5847234746388077,0.7367404051172708
FlexMoE,22,g1,530,536354,0.7641509433962265,0.5600316113136626,0.5149639594133266,0.290923,0.22404095941332663,0.6056722439776907
FlexMoE,22,g2,2338,536354,0.73267750213858,0.568187896258712,0.5406311958724708,0.289439,0.25119219587247077,0.704972723333274
FlexMoE,33,g0,533,536354,0.6641651031894934,0.5549901349391072,0.602110892553202,0.2771,0.32501089255320204,0.7533981876332622
FlexMoE,33,g1,530,536354,0.7471698113207547,0.543526326614562,0.5673106909906085,0.290923,0.2763876909906085,0.6256477196313436
FlexMoE,33,g2,2338,536354,0.7348160821214713,0.5741783259717262,0.5449292442727104,0.289439,0.2554902442727104,0.7045908302119012
FlexMoE,44,g0,533,536354,0.8799249530956847,0.468063872255489,0.6648571333563127,0.2771,0.3877571333563127,0.7818163646055437
FlexMoE,44,g1,530,536354,0.9,0.4736842105263158,0.6505788783982115,0.290923,0.3596558783982115,0.49562912859459674
FlexMoE,44,g2,2338,536354,0.8892215568862275,0.5373031573526255,0.6631347241566873,0.289439,0.3736957241566873,0.6838498784076047
FlexMoE,55,g0,533,536354,0.874296435272045,0.5073597373394584,0.6805786417751778,0.2771,0.4034786417751778,0.6791211353944563
FlexMoE,55,g1,530,536354,0.8547169811320755,0.5179029190440751,0.6843796924600062,0.290923,0.3934566924600062,0.46983900953285074
FlexMoE,55,g2,2338,536354,0.850727117194183,0.4814399608519779,0.6867616703308373,0.289439,0.39732267033083735,0.5132890891354376
