method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
AnchorsOnly,42,g0,533,0.69231,0.58069,0.49645,0.27883,0.21761
AnchorsOnly,42,g1,530,0.75094,0.59937,0.46554,0.23939,0.22615
AnchorsOnly,42,g2,2338,0.69632,0.57853,0.51054,0.25011,0.26043
AnchorsOnly,1337,g0,533,0.77298,0.6373,0.44024,0.27883,0.16141
AnchorsOnly,1337,g1,530,0.78113,0.61526,0.41022,0.23939,0.17083
AnchorsOnly,1337,g2,2338,0.70359,0.57925,0.4867,0.25011,0.23659
AnchorsOnly,7,g0,533,0.69418,0.58214,0.52487,0.27883,0.24603
AnchorsOnly,7,g1,530,0.7283,0.57547,0.54541,0.23939,0.30603
AnchorsOnly,7,g2,2338,0.68563,0.5714,0.57057,0.25011,0.32046
AnchorsOnly,2024,g0,533,0.70544,0.59093,0.56393,0.27883,0.28509
AnchorsOnly,2024,g1,530,0.79057,0.59354,0.42666,0.23939,0.18728
AnchorsOnly,2024,g2,2338,0.72712,0.58818,0.51083,0.25011,0.26072
AnchorsOnly,31337,g0,533,0.69418,0.5865,0.54837,0.27883,0.26953
AnchorsOnly,31337,g1,530,0.73774,0.55973,0.4804,0.23939,0.24101
AnchorsOnly,31337,g2,2338,0.73524,0.59587,0.46966,0.25011,0.21955
AnchorsOnly,11,g0,533,0.71857,0.60589,0.48617,0.27883,0.20733
AnchorsOnly,11,g1,530,0.7717,0.62279,0.43899,0.23939,0.19961
AnchorsOnly,11,g2,2338,0.74038,0.60187,0.46633,0.25011,0.21622
AnchorsOnly,22,g0,533,0.70169,0.57376,0.48577,0.27883,0.20693
AnchorsOnly,22,g1,530,0.74528,0.59478,0.50796,0.23939,0.26858
AnchorsOnly,22,g2,2338,0.74423,0.60686,0.48811,0.25011,0.238
AnchorsOnly,33,g0,533,0.71482,0.60064,0.53437,0.27883,0.25553
AnchorsOnly,33,g1,530,0.74151,0.59176,0.49088,0.23939,0.2515
AnchorsOnly,33,g2,2338,0.70445,0.57653,0.52217,0.25011,0.27206
AnchorsOnly,44,g0,533,0.66604,0.56488,0.55343,0.27883,0.2746
AnchorsOnly,44,g1,530,0.75472,0.59314,0.46607,0.23939,0.22669
AnchorsOnly,44,g2,2338,0.69076,0.56837,0.54149,0.25011,0.29138
AnchorsOnly,55,g0,533,0.69981,0.58426,0.53334,0.27883,0.2545
AnchorsOnly,55,g1,530,0.75472,0.57971,0.44779,0.23939,0.2084
AnchorsOnly,55,g2,2338,0.69803,0.57498,0.5407,0.25011,0.29059
Ours_GDRO,42,g0,533,0.7561,0.61997,0.44093,0.27883,0.16209
Ours_GDRO,42,g1,530,0.7717,0.61043,0.47321,0.23939,0.23382
Ours_GDRO,42,g2,2338,0.73867,0.59611,0.50428,0.25011,0.25417
Ours_GDRO,1337,g0,533,0.78987,0.63216,0.39547,0.27883,0.11664
Ours_GDRO,1337,g1,530,0.77925,0.62016,0.4912,0.23939,0.25181
Ours_GDRO,1337,g2,2338,0.71899,0.58604,0.53674,0.25011,0.28663
Ours_GDRO,7,g0,533,0.71482,0.60286,0.51523,0.27883,0.2364
Ours_GDRO,7,g1,530,0.76981,0.62115,0.45256,0.23939,0.21318
Ours_GDRO,7,g2,2338,0.72883,0.59618,0.50468,0.25011,0.25457
Ours_GDRO,2024,g0,533,0.80863,0.665,0.4227,0.27883,0.14386
Ours_GDRO,2024,g1,530,0.79623,0.6321,0.48609,0.23939,0.24671
Ours_GDRO,2024,g2,2338,0.73653,0.59376,0.49475,0.25011,0.24464
Ours_GDRO,31337,g0,533,0.7242,0.60593,0.48168,0.27883,0.20284
Ours_GDRO,31337,g1,530,0.75283,0.60091,0.50251,0.23939,0.26312
Ours_GDRO,31337,g2,2338,0.67836,0.56539,0.55931,0.25011,0.3092
Ours_GDRO,11,g0,533,0.73546,0.62201,0.48945,0.27883,0.21061
Ours_GDRO,11,g1,530,0.78302,0.62023,0.46247,0.23939,0.22309
Ours_GDRO,11,g2,2338,0.73995,0.60152,0.50788,0.25011,0.25777
Ours_GDRO,22,g0,533,0.7955,0.6274,0.39909,0.27883,0.12025
Ours_GDRO,22,g1,530,0.79811,0.59134,0.4393,0.23939,0.19991
Ours_GDRO,22,g2,2338,0.7515,0.60977,0.4805,0.25011,0.23039
Ours_GDRO,33,g0,533,0.73734,0.62134,0.51278,0.27883,0.23395
Ours_GDRO,33,g1,530,0.77736,0.60518,0.47697,0.23939,0.23758
Ours_GDRO,33,g2,2338,0.7284,0.59346,0.50502,0.25011,0.25491
Ours_GDRO,44,g0,533,0.73734,0.60945,0.47648,0.27883,0.19764
Ours_GDRO,44,g1,530,0.80943,0.63016,0.51343,0.23939,0.27405
Ours_GDRO,44,g2,2338,0.69889,0.57341,0.54017,0.25011,0.29006
Ours_GDRO,55,g0,533,0.69043,0.57924,0.48952,0.27883,0.21068
Ours_GDRO,55,g1,530,0.76038,0.61016,0.45605,0.23939,0.21666
Ours_GDRO,55,g2,2338,0.6929,0.57747,0.55993,0.25011,0.30982
Ours_Regret,42,g0,533,0.80675,0.61121,0.38416,0.27883,0.10532
Ours_Regret,42,g1,530,0.75472,0.60246,0.44997,0.23939,0.21058
Ours_Regret,42,g2,2338,0.7083,0.58232,0.52092,0.25011,0.27081
Ours_Regret,1337,g0,533,0.74296,0.61659,0.4371,0.27883,0.15827
Ours_Regret,1337,g1,530,0.77358,0.62144,0.46948,0.23939,0.23009
Ours_Regret,1337,g2,2338,0.68991,0.56936,0.55169,0.25011,0.30158
Ours_Regret,7,g0,533,0.71107,0.59985,0.51382,0.27883,0.23498
Ours_Regret,7,g1,530,0.7717,0.62279,0.43552,0.23939,0.19613
Ours_Regret,7,g2,2338,0.71899,0.58954,0.50769,0.25011,0.25758
Ours_Regret,2024,g0,533,0.81426,0.67345,0.41809,0.27883,0.13925
Ours_Regret,2024,g1,530,0.80377,0.64891,0.42433,0.23939,0.18494
Ours_Regret,2024,g2,2338,0.69974,0.57406,0.53156,0.25011,0.28145
Ours_Regret,31337,g0,533,0.68105,0.5742,0.60379,0.27883,0.32496
Ours_Regret,31337,g1,530,0.75283,0.59478,0.45712,0.23939,0.21774
Ours_Regret,31337,g2,2338,0.70145,0.5798,0.49732,0.25011,0.24721
Ours_Regret,11,g0,533,0.71107,0.60625,0.51528,0.27883,0.23645
