method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
AnchorsOnly,42,g0,533,0.71295,0.59458,0.49177,0.27883,0.21294
AnchorsOnly,42,g1,530,0.77358,0.61204,0.43668,0.23939,0.19729
AnchorsOnly,42,g2,2338,0.71386,0.58494,0.493,0.25011,0.24289
AnchorsOnly,1337,g0,533,0.79362,0.6448,0.43173,0.27883,0.15289
AnchorsOnly,1337,g1,530,0.79245,0.62528,0.42202,0.23939,0.18263
AnchorsOnly,1337,g2,2338,0.713,0.58312,0.47845,0.25011,0.22834
AnchorsOnly,7,g0,533,0.68856,0.57779,0.51474,0.27883,0.23591
AnchorsOnly,7,g1,530,0.78302,0.62665,0.42459,0.23939,0.1852
AnchorsOnly,7,g2,2338,0.69974,0.57794,0.51637,0.25011,0.26626
AnchorsOnly,2024,g0,533,0.72233,0.5997,0.52279,0.27883,0.24395
AnchorsOnly,2024,g1,530,0.80189,0.59456,0.39942,0.23939,0.16004
AnchorsOnly,2024,g2,2338,0.72498,0.58711,0.51581,0.25011,0.2657
AnchorsOnly,31337,g0,533,0.70732,0.59013,0.52043,0.27883,0.24159
AnchorsOnly,31337,g1,530,0.80566,0.59783,0.40781,0.23939,0.16842
AnchorsOnly,31337,g2,2338,0.74166,0.5998,0.48713,0.25011,0.23702
AnchorsOnly,11,g0,533,0.72795,0.60899,0.50274,0.27883,0.2239
AnchorsOnly,11,g1,530,0.79434,0.61262,0.46109,0.23939,0.22171
AnchorsOnly,11,g2,2338,0.7515,0.60722,0.45738,0.25011,0.20727
AnchorsOnly,22,g0,533,0.78799,0.62066,0.47323,0.27883,0.19439
AnchorsOnly,22,g1,530,0.74528,0.5856,0.54033,0.23939,0.30095
AnchorsOnly,22,g2,2338,0.74337,0.60493,0.48505,0.25011,0.23494
AnchorsOnly,33,g0,533,0.72983,0.60817,0.55592,0.27883,0.27708
AnchorsOnly,33,g1,530,0.75849,0.5962,0.5329,0.23939,0.29351
AnchorsOnly,33,g2,2338,0.70573,0.57578,0.51535,0.25011,0.26524
AnchorsOnly,44,g0,533,0.70544,0.59093,0.50184,0.27883,0.22301
AnchorsOnly,44,g1,530,0.74528,0.60059,0.49204,0.23939,0.25265
AnchorsOnly,44,g2,2338,0.68734,0.56796,0.52939,0.25011,0.27928
AnchorsOnly,55,g0,533,0.74859,0.61365,0.47048,0.27883,0.19164
AnchorsOnly,55,g1,530,0.77925,0.59209,0.40589,0.23939,0.16651
AnchorsOnly,55,g2,2338,0.70915,0.58014,0.54009,0.25011,0.28998
Ours_GDRO,42,g0,533,0.77111,0.63021,0.45074,0.27883,0.17191
Ours_GDRO,42,g1,530,0.76604,0.60882,0.5262,0.23939,0.28682
Ours_GDRO,42,g2,2338,0.74679,0.60076,0.5264,0.25011,0.27629
Ours_GDRO,1337,g0,533,0.80488,0.64931,0.42039,0.27883,0.14155
Ours_GDRO,1337,g1,530,0.79245,0.62528,0.54095,0.23939,0.30157
Ours_GDRO,1337,g2,2338,0.73482,0.59303,0.54439,0.25011,0.29428
Ours_GDRO,7,g0,533,0.78049,0.63284,0.4438,0.27883,0.16496
Ours_GDRO,7,g1,530,0.78868,0.6219,0.54445,0.23939,0.30506
Ours_GDRO,7,g2,2338,0.7485,0.60978,0.55251,0.25011,0.3024
Ours_GDRO,2024,g0,533,0.73546,0.60791,0.5643,0.27883,0.28546
Ours_GDRO,2024,g1,530,0.84528,0.60312,0.33969,0.23939,0.10031
Ours_GDRO,2024,g2,2338,0.79256,0.63101,0.39998,0.25011,0.14987
Ours_GDRO,31337,g0,533,0.71295,0.58985,0.50349,0.27883,0.22466
Ours_GDRO,31337,g1,530,0.82453,0.60529,0.4542,0.23939,0.21482
Ours_GDRO,31337,g2,2338,0.71514,0.58362,0.52031,0.25011,0.2702
Ours_GDRO,11,g0,533,0.72983,0.6151,0.49678,0.27883,0.21795
Ours_GDRO,11,g1,530,0.84528,0.59068,0.46786,0.23939,0.22847
Ours_GDRO,11,g2,2338,0.74722,0.60623,0.54522,0.25011,0.29511
Ours_GDRO,22,g0,533,0.80863,0.64308,0.41644,0.27883,0.13761
Ours_GDRO,22,g1,530,0.8566,0.58779,0.4323,0.23939,0.19292
Ours_GDRO,22,g2,2338,0.75492,0.60941,0.50586,0.25011,0.25575
Ours_GDRO,33,g0,533,0.77861,0.63116,0.45589,0.27883,0.17705
Ours_GDRO,33,g1,530,0.81887,0.58996,0.4952,0.23939,0.25582
Ours_GDRO,33,g2,2338,0.72797,0.59191,0.53315,0.25011,0.28304
Ours_GDRO,44,g0,533,0.72795,0.5942,0.55253,0.27883,0.2737
Ours_GDRO,44,g1,530,0.84906,0.58071,0.32296,0.23939,0.08358
Ours_GDRO,44,g2,2338,0.73909,0.60205,0.47864,0.25011,0.22853
Ours_GDRO,55,g0,533,0.74859,0.61626,0.52541,0.27883,0.24658
Ours_GDRO,55,g1,530,0.83208,0.6124,0.34942,0.23939,0.11003
Ours_GDRO,55,g2,2338,0.73097,0.5961,0.49884,0.25011,0.24873
Ours_Regret,42,g0,533,0.80488,0.63951,0.39381,0.27883,0.11498
Ours_Regret,42,g1,530,0.8717,0.6031,0.40415,0.23939,0.16477
Ours_Regret,42,g2,2338,0.71172,0.58097,0.52707,0.25011,0.27696
Ours_Regret,1337,g0,533,0.78424,0.63324,0.4398,0.27883,0.16097
Ours_Regret,1337,g1,530,0.79623,0.62168,0.50703,0.23939,0.26764
Ours_Regret,1337,g2,2338,0.72541,0.5856,0.52426,0.25011,0.27414
Ours_Regret,7,g0,533,0.78987,0.63835,0.44984,0.27883,0.17101
Ours_Regret,7,g1,530,0.78113,0.62498,0.51056,0.23939,0.27118
Ours_Regret,7,g2,2338,0.7763,0.62571,0.48461,0.25011,0.2345
Ours_Regret,2024,g0,533,0.75235,0.61942,0.46392,0.27883,0.18509
Ours_Regret,2024,g1,530,0.84717,0.58585,0.38095,0.23939,0.14156
Ours_Regret,2024,g2,2338,0.74679,0.60076,0.4458,0.25011,0.19569
Ours_Regret,31337,g0,533,0.74859,0.61365,0.47315,0.27883,0.19432
Ours_Regret,31337,g1,530,0.83774,0.58376,0.38293,0.23939,0.14354
Ours_Regret,31337,g2,2338,0.713,0.58312,0.50229,0.25011,0.25218
Ours_Regret,11,g0,533,0.76173,0.62208,0.46993,0.27883,0.19109
