method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
anchors_only,0,g1,276228,209,0.7081339359283447,0.4784071459135644,0.7034122943878174,0.6846005644225315,0.018811729965285906
anchors_only,0,g2,276228,37,0.5675675868988037,0.255,1.2896808385849,0.7024396780319512,0.5872411605529487
anchors_only,0,g3,276228,128,0.65625,0.4944646464646465,0.8990321755409241,0.7673795436520174,0.13165263188890663
anchors_only,0,g4,276228,14665,0.7400614023208618,0.5959387421461723,0.6054109930992126,0.6238109850217399,-0.01839999192252728
anchors_only,0,g5,276228,14,0.5714285969734192,0.325,1.4532139301300049,0.8973705906662908,0.5558433394637141
anchors_only,0,g6,276228,10579,0.7495982646942139,0.6869967744122956,0.5925728678703308,0.5871916648544888,0.0053812030158419955
align_only,0,g1,276228,209,0.7129186391830444,0.4787241980349318,0.660210132598877,0.6846005644225315,-0.024390431823654524
align_only,0,g2,276228,37,0.6486486792564392,0.3013415892672859,0.9150438904762268,0.7024396780319512,0.21260421244427563
align_only,0,g3,276228,128,0.71875,0.5553923418423974,0.7623351216316223,0.7673795436520174,-0.005044422020395123
align_only,0,g4,276228,14665,0.7669962644577026,0.673339313443776,0.5525075197219849,0.6238109850217399,-0.07130346529975506
align_only,0,g5,276228,14,0.7142857313156128,0.41428571428571426,1.0822895765304565,0.8973705906662908,0.18491898586416577
align_only,0,g6,276228,10579,0.7718120813369751,0.7210174002500209,0.5365137457847595,0.5871916648544888,-0.050677919069729294
ours,0,g1,276228,209,0.7224879860877991,0.5276942180558957,0.6538596153259277,0.6846005644225315,-0.030740949096603742
ours,0,g2,276228,37,0.6216216087341309,0.2756410256410256,0.9223685264587402,0.7024396780319512,0.21992884842678906
ours,0,g3,276228,128,0.7421875,0.5861075933174713,0.7259119153022766,0.7673795436520174,-0.041467628349740826
ours,0,g4,276228,14665,0.7720422744750977,0.6908618483235647,0.5372034311294556,0.6238109850217399,-0.08660755389228436
ours,0,g5,276228,14,0.6428571939468384,0.36666666666666664,1.0413395166397095,0.8973705906662908,0.1439689259734187
ours,0,g6,276228,10579,0.7807921171188354,0.7227000371509086,0.5188363194465637,0.5871916648544888,-0.0683553454079251
