method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
anchors_only,22,g1,276228,209,0.7224879860877991,0.46076208441105815,0.7178105115890503,0.6846005644225315,0.033209947166518816
anchors_only,22,g2,276228,37,0.5945945978164673,0.26522187822497423,1.3160475492477417,0.7024396780319512,0.6136078712157905
anchors_only,22,g3,276228,128,0.6796875,0.531497957143233,0.8796963095664978,0.7673795436520174,0.11231676591448037
anchors_only,22,g4,276228,14665,0.7424480319023132,0.6321654420905399,0.6081377863883972,0.6238109850217399,-0.01567319863334271
anchors_only,22,g5,276228,14,0.5714285969734192,0.325,1.334084391593933,0.8973705906662908,0.43671380092764234
anchors_only,22,g6,276228,10579,0.7442102432250977,0.6764768830180043,0.5990315675735474,0.5871916648544888,0.011839902719058548
align_only,22,g1,276228,209,0.7177033424377441,0.5234390323635175,0.6829460859298706,0.6846005644225315,-0.0016544784926608713
align_only,22,g2,276228,37,0.6486486792564392,0.2863485016648169,0.9976107478141785,0.7024396780319512,0.2951710697822273
align_only,22,g3,276228,128,0.71875,0.5508879781420765,0.7056728005409241,0.7673795436520174,-0.061706743111093365
align_only,22,g4,276228,14665,0.772928774356842,0.6881364549002731,0.5315414667129517,0.6238109850217399,-0.09226951830878827
align_only,22,g5,276228,14,0.7142857313156128,0.41428571428571426,1.045412540435791,0.8973705906662908,0.14804194976950025
align_only,22,g6,276228,10579,0.7775782346725464,0.7185831886763538,0.5159784555435181,0.5871916648544888,-0.07121320931097075
ours,22,g1,276228,209,0.7272726893424988,0.5780821262244253,0.6894602179527283,0.6846005644225315,0.004859653530196795
ours,22,g2,276228,37,0.6216216087341309,0.2756410256410256,1.0044372081756592,0.7024396780319512,0.301997530143708
ours,22,g3,276228,128,0.7421875,0.6181129052138542,0.6521134972572327,0.7673795436520174,-0.11526604639478477
ours,22,g4,276228,14665,0.7738834023475647,0.6892466450957371,0.5315099358558655,0.6238109850217399,-0.09230104916587445
ours,22,g5,276228,14,0.7142857313156128,0.41428571428571426,1.0529521703720093,0.8973705906662908,0.1555815797057185
ours,22,g6,276228,10579,0.7824935913085938,0.7300101800170189,0.5157407522201538,0.5871916648544888,-0.071450912634335
