method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
groupdro,0,g1,276228,209,0.703349232673645,0.486199779856907,0.6286150813102722,0.6846005644225315,-0.05598548311225926
groupdro,0,g2,276228,37,0.5945945978164673,0.26522187822497423,0.8338903188705444,0.7024396780319512,0.13145064083859326
groupdro,0,g3,276228,128,0.734375,0.6109218462159639,0.7206053137779236,0.7673795436520174,-0.04677422987409385
groupdro,0,g4,276228,14665,0.7639277577400208,0.689387728818095,0.5463289618492126,0.6238109850217399,-0.07748202317252728
groupdro,0,g5,276228,14,0.7142857313156128,0.41428571428571426,1.0161019563674927,0.8973705906662908,0.11873136570120191
groupdro,0,g6,276228,10579,0.7755931615829468,0.7219291578516036,0.5257583260536194,0.5871916648544888,-0.06143333880086943
regret_only,0,g1,276228,209,0.7081339359283447,0.47466630591630593,0.6221750974655151,0.6846005644225315,-0.06242546695701634
regret_only,0,g2,276228,37,0.5945945978164673,0.26522187822497423,1.0148921012878418,0.7024396780319512,0.3124524232558906
regret_only,0,g3,276228,128,0.75,0.6186391223155929,0.6797595620155334,0.7673795436520174,-0.08761998163648399
regret_only,0,g4,276228,14665,0.7546539306640625,0.6568967693046678,0.5726615786552429,0.6238109850217399,-0.05114940636649701
regret_only,0,g5,276228,14,0.6428571939468384,0.36666666666666664,1.159671664237976,0.8973705906662908,0.2623010735716853
regret_only,0,g6,276228,10579,0.7620757818222046,0.7105138210828171,0.553777813911438,0.5871916648544888,-0.03341385094305083
ours,0,g1,276228,209,0.7129186391830444,0.37322818411422093,0.7506600618362427,0.6846005644225315,0.0660594974137112
ours,0,g2,276228,37,0.6486486792564392,0.2863485016648169,0.88459312915802,0.7024396780319512,0.18215345112606884
ours,0,g3,276228,128,0.6640625,0.35917117117117114,0.8214899301528931,0.7673795436520174,0.05411038650087563
ours,0,g4,276228,14665,0.740402340888977,0.5890897718410814,0.6518975496292114,0.6238109850217399,0.028086564607471498
ours,0,g5,276228,14,0.6428571939468384,0.36666666666666664,1.0191220045089722,0.8973705906662908,0.1217514138426814
ours,0,g6,276228,10579,0.7569713592529297,0.7013722109208247,0.6304073929786682,0.5871916648544888,0.0432157281241794
