method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
ours,0,g1,276228,209,0.6937798857688904,0.36442386201265564,0.8055187463760376,0.6846005644225315,0.12091818195350612
ours,0,g2,276228,37,0.6486486792564392,0.39087301587301587,0.9682495594024658,0.7652611750550569,0.20298838434740896
ours,0,g3,276228,128,0.65625,0.35564304461942253,0.9229214787483215,0.7791703665225083,0.14375111222581327
ours,0,g4,276228,14665,0.7193999290466309,0.49938320120173935,0.7338477969169617,0.6238109850217399,0.11003681189522174
ours,0,g5,276228,14,0.2857142984867096,0.15384615384615383,1.2679424285888672,1.2804544360968637,0.0
ours,0,g6,276228,10579,0.7519614100456238,0.6762014463943876,0.6425784230232239,0.5871916648544888,0.05538675816873506
align_only,0,g1,276228,209,0.7129186391830444,0.4213678426086731,0.7234199047088623,0.6846005644225315,0.03881934028633083
align_only,0,g2,276228,37,0.6486486792564392,0.2863485016648169,0.9680936932563782,0.7652611750550569,0.2028325182013213
align_only,0,g3,276228,128,0.6875,0.43122727272727274,0.7724868655204773,0.7791703665225083,0.0
align_only,0,g4,276228,14665,0.7634504437446594,0.6592806806411544,0.5704299211502075,0.6238109850217399,0.0
align_only,0,g5,276228,14,0.6428571939468384,0.36666666666666664,1.1921592950820923,1.2804544360968637,0.0
align_only,0,g6,276228,10579,0.7766329646110535,0.7151716174373796,0.53756183385849,0.5871916648544888,0.0
ours,1,g1,276228,209,0.6555023789405823,0.3459939229169998,0.8561148643493652,0.6846005644225315,0.17151429992683376
ours,1,g2,276228,37,0.6216216087341309,0.26587301587301587,0.9584695100784302,0.7652611750550569,0.1932083350233733
ours,1,g3,276228,128,0.59375,0.31659662316596626,0.9980514049530029,0.7791703665225083,0.21888103843049467
ours,1,g4,276228,14665,0.6872826814651489,0.37852373589899085,0.8307798504829407,0.6238109850217399,0.20696886546120075
ours,1,g5,276228,14,0.5,0.24789915966386555,1.1529208421707153,1.2804544360968637,0.0
ours,1,g6,276228,10579,0.7196332216262817,0.607326629128989,0.7650414109230042,0.5871916648544888,0.17784974606851534
align_only,1,g1,276228,209,0.7081339359283447,0.43148874039776913,0.7059713006019592,0.6846005644225315,0.02137073617942775
align_only,1,g2,276228,37,0.6216216087341309,0.28054298642533937,0.9843136668205261,0.7652611750550569,0.21905249176546926
align_only,1,g3,276228,128,0.65625,0.4141455511868356,0.8136634230613708,0.7791703665225083,0.03449305653886259
align_only,1,g4,276228,14665,0.7483805418014526,0.619884429437203,0.6125448346138,0.6238109850217399,0.0
align_only,1,g5,276228,14,0.5,0.2589285714285714,1.2079576253890991,1.2804544360968637,0.0
align_only,1,g6,276228,10579,0.7724737524986267,0.7146428606334722,0.5533536672592163,0.5871916648544888,0.0
ours,42,g1,276228,209,0.6937798857688904,0.36262273901808784,0.7979149222373962,0.6846005644225315,0.11331435781486476
ours,42,g2,276228,37,0.5675675868988037,0.23824786324786326,0.9784973859786987,0.7652611750550569,0.21323621092364187
ours,42,g3,276228,128,0.640625,0.3455898287943365,0.9412629008293152,0.7791703665225083,0.16209253430680692
ours,42,g4,276228,14665,0.713126540184021,0.4588001420593642,0.7079207897186279,0.6238109850217399,0.084109804696888
ours,42,g5,276228,14,0.5,0.39166666666666666,1.1873960494995117,1.2804544360968637,0.0
ours,42,g6,276228,10579,0.7564986944198608,0.674436111250302,0.6314758658409119,0.5871916648544888,0.04428420098642305
align_only,42,g1,276228,209,0.6985645890235901,0.4036292115952915,0.722055971622467,0.6846005644225315,0.037455407199935564
align_only,42,g2,276228,37,0.6756756901741028,0.2974537037037037,0.9388114213943481,0.7652611750550569,0.17355024633929128
align_only,42,g3,276228,128,0.671875,0.3620227486778237,0.8367583751678467,0.7791703665225083,0.05758800864533842
align_only,42,g4,276228,14665,0.7536311149597168,0.628852112928157,0.6014381647109985,0.6238109850217399,0.0
align_only,42,g5,276228,14,0.6428571939468384,0.36666666666666664,0.9977282881736755,1.2804544360968637,0.0
align_only,42,g6,276228,10579,0.7629265189170837,0.6840976878215597,0.5813258290290833,0.5871916648544888,0.0
