method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
regret_only,2024,g1,276228,209,0.7224879860877991,0.5973440514493762,0.6290504932403564,0.6846005644225315,-0.05555007118217503
regret_only,2024,g2,276228,37,0.6216216087341309,0.2756410256410256,0.9024169445037842,0.7024396780319512,0.199977266471833
regret_only,2024,g3,276228,128,0.703125,0.6149280771587189,0.7020434141159058,0.7673795436520174,-0.06533612953611168
regret_only,2024,g4,276228,14665,0.7758609056472778,0.6981953744888663,0.5242362022399902,0.6238109850217399,-0.0995747827817497
regret_only,2024,g5,276228,14,0.7142857313156128,0.41428571428571426,0.9687559008598328,0.8973705906662908,0.071385310193542
regret_only,2024,g6,276228,10579,0.785140335559845,0.7312251206072963,0.5065929293632507,0.5871916648544888,-0.08059873549123808
ours,2024,g1,276228,209,0.684210479259491,0.35588793922127254,0.7372356653213501,0.6846005644225315,0.05263510089881862
ours,2024,g2,276228,37,0.6216216087341309,0.2756410256410256,0.9450008273124695,0.7024396780319512,0.2425611492805183
ours,2024,g3,276228,128,0.7421875,0.6623663489432242,0.7598565816879272,0.7673795436520174,-0.007522961964090191
ours,2024,g4,276228,14665,0.7436754107475281,0.5937882046584839,0.6372342109680176,0.6238109850217399,0.01342322594627765
ours,2024,g5,276228,14,0.6428571939468384,0.36666666666666664,1.1445550918579102,0.8973705906662908,0.2471845011916194
ours,2024,g6,276228,10579,0.7547972202301025,0.6746520940118166,0.6181836128234863,0.5871916648544888,0.030991947968997513
