method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
groupdro,0,g1,276228,209,0.7081339359283447,0.494314489928525,0.6334978342056274,0.6846005644225315,0.0
groupdro,0,g2,276228,37,0.5405405759811401,0.2448979591836735,1.7916446924209595,0.7652611750550569,1.0263835173659026
groupdro,0,g3,276228,128,0.6875,0.5204588541367452,0.9285100102424622,0.7791703665225083,0.1493396437199539
groupdro,0,g4,276228,14665,0.7477667927742004,0.6404195910174123,0.5806267857551575,0.6238109850217399,0.0
groupdro,0,g5,276228,14,0.6428571939468384,0.36666666666666664,2.310452699661255,1.2804544360968637,1.0299982635643912
groupdro,0,g6,276228,10579,0.7553643584251404,0.698182712805388,0.5663695931434631,0.5871916648544888,0.0
ours,0,g1,276228,209,0.6985645890235901,0.42468991731128297,0.7506918907165527,0.6846005644225315,0.06609132629402126
ours,0,g2,276228,37,0.5675675868988037,0.255,1.0890003442764282,0.7652611750550569,0.32373916922137136
ours,0,g3,276228,128,0.6796875,0.49949787055050215,0.826734185218811,0.7791703665225083,0.04756381869630277
ours,0,g4,276228,14665,0.7358336448669434,0.578094348486406,0.6527894735336304,0.6238109850217399,0.028978488511890443
ours,0,g5,276228,14,0.5714285969734192,0.325,1.2173969745635986,1.2804544360968637,0.0
ours,0,g6,276228,10579,0.7432649731636047,0.6840364965141206,0.6466256380081177,0.5871916648544888,0.05943397315362886
align_only,0,g1,276228,209,0.6985645890235901,0.42468991731128297,0.7506918907165527,0.6846005644225315,0.06609132629402126
align_only,0,g2,276228,37,0.5675675868988037,0.255,1.0890003442764282,0.7652611750550569,0.32373916922137136
align_only,0,g3,276228,128,0.6796875,0.49949787055050215,0.826734185218811,0.7791703665225083,0.04756381869630277
align_only,0,g4,276228,14665,0.7358336448669434,0.578094348486406,0.6527894735336304,0.6238109850217399,0.028978488511890443
align_only,0,g5,276228,14,0.5714285969734192,0.325,1.2173969745635986,1.2804544360968637,0.0
align_only,0,g6,276228,10579,0.7432649731636047,0.6840364965141206,0.6466256380081177,0.5871916648544888,0.05943397315362886
groupdro,1,g1,276228,209,0.7272726893424988,0.5539637712166596,0.6364246606826782,0.6846005644225315,0.0
groupdro,1,g2,276228,37,0.5675675868988037,0.255,1.8271150588989258,0.7652611750550569,1.061853883843869
