method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
erm,0,g1,276228,209,0.7081339359283447,0.494314489928525,0.6334978342056274,0.6846005644225315,-0.0511
erm,0,g2,276228,37,0.5405405759811401,0.2448979591836735,1.7916446924209597,0.7652611750550569,1.02638
erm,0,g3,276228,128,0.6875,0.5204588541367452,0.9285100102424622,0.7791703665225083,0.14934
erm,0,g4,276228,14665,0.7477667927742004,0.6404195910174123,0.5806267857551575,0.6238109850217399,-0.04318
erm,0,g5,276228,14,0.6428571939468384,0.3666666666666666,2.310452699661255,1.2804544360968635,1.03
erm,0,g6,276228,10579,0.7553643584251404,0.698182712805388,0.5663695931434631,0.5871916648544888,-0.02082
groupdro,0,g1,276228,209,0.7272726893424988,0.5930722177968873,0.6332122087478638,0.6846005644225315,-0.05139
groupdro,0,g2,276228,37,0.6216216087341309,0.2756410256410256,0.9700687527656556,0.7652611750550569,0.20481
groupdro,0,g3,276228,128,0.7265625,0.6241990220902541,0.7967170476913452,0.7791703665225083,0.01755
groupdro,0,g4,276228,14665,0.7723150849342346,0.7030873655027107,0.5286946296691895,0.6238109850217399,-0.09512
groupdro,0,g5,276228,14,0.7142857313156128,0.4142857142857142,1.1234660148620603,1.2804544360968635,-0.15699
groupdro,0,g6,276228,10579,0.7808866500854492,0.7163075348356522,0.5117641687393188,0.5871916648544888,-0.07543
align_only,0,g1,276228,209,0.7177033424377441,0.515160592902032,0.6967230439186096,0.6846005644225315,0.01212
align_only,0,g2,276228,37,0.5945945978164673,0.2789115646258503,1.1135333776474,0.7652611750550569,0.34827
align_only,0,g3,276228,128,0.734375,0.572281936282091,0.763147234916687,0.7791703665225083,-0.01602
align_only,0,g4,276228,14665,0.7695192694664001,0.6785774401085277,0.5547283291816711,0.6238109850217399,-0.06908
align_only,0,g5,276228,14,0.5714285969734192,0.325,1.2455565929412842,1.2804544360968635,-0.0349
align_only,0,g6,276228,10579,0.7770110368728638,0.721565933335091,0.5397342443466187,0.5871916648544888,-0.04746
regret_only,0,g1,276228,209,0.7081339359283447,0.4938072082379863,0.6266123056411743,0.6846005644225315,-0.05799
