method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,303,11618,0.72937,0.72827,0.5753,0.38184,0.19346
ERM,42,g1,294,11618,0.77551,0.77087,0.53374,0.37567,0.15807
ERM,42,g2,123,11618,0.70732,0.52279,0.55219,0.07576,0.47643
ERM,42,g3,200,11618,0.665,0.58624,0.59642,0.42112,0.1753
ERM,1337,g0,303,11618,0.70297,0.6984,0.58687,0.38184,0.20503
ERM,1337,g1,294,11618,0.76531,0.76049,0.53573,0.37567,0.16006
ERM,1337,g2,123,11618,0.72358,0.52437,0.52929,0.07576,0.45353
ERM,1337,g3,200,11618,0.665,0.55809,0.70165,0.42112,0.28053
ERM,7,g0,303,11618,0.71947,0.71865,0.68155,0.38184,0.29971
ERM,7,g1,294,11618,0.7551,0.75206,0.5828,0.37567,0.20713
ERM,7,g2,123,11618,0.73171,0.55722,0.51769,0.07576,0.44193
ERM,7,g3,200,11618,0.725,0.63029,0.6266,0.42112,0.20548
ERM,2024,g0,303,11618,0.72277,0.72135,0.63749,0.38184,0.25565
ERM,2024,g1,294,11618,0.77551,0.77186,0.5508,0.37567,0.17513
ERM,2024,g2,123,11618,0.69919,0.51315,0.5655,0.07576,0.48974
ERM,2024,g3,200,11618,0.715,0.64214,0.65231,0.42112,0.23119
ERM,31337,g0,303,11618,0.69307,0.69218,0.62732,0.38184,0.24548
ERM,31337,g1,294,11618,0.77551,0.77213,0.50848,0.37567,0.13281
ERM,31337,g2,123,11618,0.73984,0.55338,0.6085,0.07576,0.53274
ERM,31337,g3,200,11618,0.71,0.63447,0.60902,0.42112,0.1879
ERM,11,g0,303,11618,0.71287,0.71027,0.60498,0.38184,0.22314
ERM,11,g1,294,11618,0.7449,0.74178,0.55245,0.37567,0.17678
ERM,11,g2,123,11618,0.72358,0.55132,0.56479,0.07576,0.48903
ERM,11,g3,200,11618,0.665,0.58075,0.65335,0.42112,0.23223
ERM,22,g0,303,11618,0.68977,0.68274,0.63306,0.38184,0.25122
ERM,22,g1,294,11618,0.72109,0.71908,0.5951,0.37567,0.21942
ERM,22,g2,123,11618,0.70732,0.51173,0.58065,0.07576,0.50489
ERM,22,g3,200,11618,0.68,0.57714,0.61829,0.42112,0.19717
ERM,33,g0,303,11618,0.70957,0.70789,0.56327,0.38184,0.18143
ERM,33,g1,294,11618,0.77891,0.77472,0.52219,0.37567,0.14652
ERM,33,g2,123,11618,0.68293,0.49789,0.59985,0.07576,0.52409
ERM,33,g3,200,11618,0.695,0.63036,0.64064,0.42112,0.21952
ERM,44,g0,303,11618,0.70297,0.69982,0.61802,0.38184,0.23618
ERM,44,g1,294,11618,0.7381,0.734,0.57117,0.37567,0.19549
ERM,44,g2,123,11618,0.72358,0.52681,0.57428,0.07576,0.49852
ERM,44,g3,200,11618,0.72,0.62349,0.67927,0.42112,0.25814
ERM,55,g0,303,11618,0.69307,0.69087,0.60913,0.38184,0.22729
ERM,55,g1,294,11618,0.78571,0.78282,0.50876,0.37567,0.13309
ERM,55,g2,123,11618,0.69106,0.50034,0.59808,0.07576,0.52232
ERM,55,g3,200,11618,0.695,0.61514,0.71181,0.42112,0.29069
PerGroupOnly,42,g0,303,38946,0.77558,0.77206,0.50097,0.38184,0.11913
PerGroupOnly,42,g1,294,38946,0.78571,0.74867,0.52889,0.37567,0.15322
PerGroupOnly,42,g2,123,38946,0.93496,0.48315,0.24768,0.07576,0.17192
PerGroupOnly,42,g3,200,38946,0.755,0.53378,0.54475,0.42112,0.12363
PerGroupOnly,1337,g0,303,38946,0.74257,0.73829,0.56704,0.38184,0.1852
PerGroupOnly,1337,g1,294,38946,0.7449,0.67829,0.56712,0.37567,0.19145
