method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.70169,0.58798,0.48077,0.27325,0.20752
ERM,42,g1,530,0.74717,0.5963,0.40849,0.24321,0.16527
ERM,42,g2,2338,0.71771,0.58679,0.47182,0.25257,0.21924
ERM,1337,g0,533,0.68856,0.58629,0.49727,0.27325,0.22402
ERM,1337,g1,530,0.73396,0.60224,0.43639,0.24321,0.19318
ERM,1337,g2,2338,0.68734,0.56903,0.49213,0.25257,0.23956
ERM,7,g0,533,0.69418,0.59071,0.51503,0.27325,0.24178
ERM,7,g1,530,0.7434,0.59619,0.45564,0.24321,0.21242
ERM,7,g2,2338,0.70231,0.57489,0.50737,0.25257,0.2548
ERM,2024,g0,533,0.69981,0.58426,0.49386,0.27325,0.2206
ERM,2024,g1,530,0.7566,0.60993,0.44699,0.24321,0.20378
ERM,2024,g2,2338,0.70573,0.57578,0.50248,0.25257,0.24991
ERM,31337,g0,533,0.69418,0.5799,0.4724,0.27325,0.19914
ERM,31337,g1,530,0.75283,0.60679,0.4065,0.24321,0.16328
ERM,31337,g2,2338,0.71001,0.58195,0.46619,0.25257,0.21361
ERM,11,g0,533,0.69418,0.58862,0.49565,0.27325,0.2224
ERM,11,g1,530,0.73962,0.59601,0.42903,0.24321,0.18581
ERM,11,g2,2338,0.68648,0.56624,0.49724,0.25257,0.24467
ERM,22,g0,533,0.69981,0.58873,0.49108,0.27325,0.21783
ERM,22,g1,530,0.74906,0.60367,0.40754,0.24321,0.16433
ERM,22,g2,2338,0.70701,0.57907,0.47066,0.25257,0.21809
ERM,33,g0,533,0.70356,0.58719,0.49101,0.27325,0.21776
ERM,33,g1,530,0.75283,0.61242,0.42882,0.24321,0.1856
ERM,33,g2,2338,0.70317,0.57724,0.48519,0.25257,0.23261
ERM,44,g0,533,0.71857,0.59906,0.46221,0.27325,0.18896
ERM,44,g1,530,0.76604,0.61191,0.39617,0.24321,0.15296
ERM,44,g2,2338,0.71685,0.58199,0.45975,0.25257,0.20717
ERM,55,g0,533,0.69606,0.59009,0.48528,0.27325,0.21203
ERM,55,g1,530,0.76226,0.62317,0.4303,0.24321,0.18709
ERM,55,g2,2338,0.70402,0.57563,0.4828,0.25257,0.23023
PerGroupOnly,42,g0,533,0.74484,0.60519,0.727,0.27325,0.45375
PerGroupOnly,42,g1,530,0.78868,0.5699,0.58717,0.24321,0.34396
PerGroupOnly,42,g2,2338,0.74979,0.59923,0.51114,0.25257,0.25857
PerGroupOnly,1337,g0,533,0.77674,0.58557,0.77589,0.27325,0.50263
PerGroupOnly,1337,g1,530,0.80189,0.59002,0.53457,0.24321,0.29136
PerGroupOnly,1337,g2,2338,0.77374,0.60922,0.48288,0.25257,0.23031
PerGroupOnly,7,g0,533,0.75235,0.61412,0.75007,0.27325,0.47682
PerGroupOnly,7,g1,530,0.76981,0.56852,0.63881,0.24321,0.39559
PerGroupOnly,7,g2,2338,0.76647,0.61172,0.49161,0.25257,0.23903
PerGroupOnly,2024,g0,533,0.70356,0.58252,0.78156,0.27325,0.50831
PerGroupOnly,2024,g1,530,0.79057,0.59354,0.566,0.24321,0.32278
