method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.69418,0.35573,0.49085,0.3002,0.19065
ERM,42,g1,530,0.74717,0.34951,0.41708,0.28288,0.1342
ERM,42,g2,2338,0.71514,0.34706,0.47916,0.26518,0.21399
ERM,1337,g0,533,0.69418,0.36078,0.49372,0.3002,0.19353
ERM,1337,g1,530,0.7434,0.33981,0.4312,0.28288,0.14832
ERM,1337,g2,2338,0.71557,0.355,0.48251,0.26518,0.21733
ERM,7,g0,533,0.68668,0.37453,0.5065,0.3002,0.2063
ERM,7,g1,530,0.73774,0.3653,0.44078,0.28288,0.1579
ERM,7,g2,2338,0.6882,0.34027,0.50764,0.26518,0.24247
ERM,2024,g0,533,0.69418,0.37548,0.47811,0.3002,0.17791
ERM,2024,g1,530,0.73962,0.35514,0.41831,0.28288,0.13543
ERM,2024,g2,2338,0.70103,0.34856,0.47439,0.26518,0.20921
ERM,31337,g0,533,0.69981,0.36508,0.50068,0.3002,0.20048
ERM,31337,g1,530,0.7566,0.37681,0.42258,0.28288,0.1397
ERM,31337,g2,2338,0.70915,0.34615,0.4918,0.26518,0.22662
ERM,11,g0,533,0.72795,0.38819,0.46852,0.3002,0.16832
ERM,11,g1,530,0.7717,0.35294,0.40367,0.28288,0.1208
ERM,11,g2,2338,0.72198,0.35516,0.46893,0.26518,0.20376
ERM,22,g0,533,0.70356,0.368,0.49451,0.3002,0.19431
ERM,22,g1,530,0.76604,0.36735,0.41654,0.28288,0.13366
ERM,22,g2,2338,0.70231,0.33461,0.48379,0.26518,0.21861
ERM,33,g0,533,0.70544,0.35391,0.47003,0.3002,0.16983
ERM,33,g1,530,0.76604,0.37374,0.40533,0.28288,0.12245
ERM,33,g2,2338,0.72241,0.34905,0.44988,0.26518,0.18471
ERM,44,g0,533,0.69606,0.38636,0.48844,0.3002,0.18824
ERM,44,g1,530,0.73962,0.35514,0.42153,0.28288,0.13865
ERM,44,g2,2338,0.69589,0.34228,0.48137,0.26518,0.21619
ERM,55,g0,533,0.71482,0.3871,0.48079,0.3002,0.18059
ERM,55,g1,530,0.7566,0.36453,0.41844,0.28288,0.13556
ERM,55,g2,2338,0.71343,0.33925,0.47314,0.26518,0.20797
PerGroupOnly,42,g0,533,0.7242,0.35808,0.52784,0.3002,0.22764
PerGroupOnly,42,g1,530,0.74717,0.33,0.43974,0.28288,0.15686
PerGroupOnly,42,g2,2338,0.72712,0.35556,0.44575,0.26518,0.18057
PerGroupOnly,1337,g0,533,0.71107,0.35294,0.50476,0.3002,0.20456
PerGroupOnly,1337,g1,530,0.71509,0.35193,0.52014,0.28288,0.23726
PerGroupOnly,1337,g2,2338,0.69504,0.34407,0.45836,0.26518,0.19318
PerGroupOnly,7,g0,533,0.76735,0.37374,0.61762,0.3002,0.31742
PerGroupOnly,7,g1,530,0.83774,0.28333,0.5449,0.28288,0.26203
PerGroupOnly,7,g2,2338,0.74465,0.36286,0.4708,0.26518,0.20563
PerGroupOnly,2024,g0,533,0.75235,0.35922,0.67882,0.3002,0.37862
PerGroupOnly,2024,g1,530,0.80566,0.33548,0.50326,0.28288,0.22038
PerGroupOnly,2024,g2,2338,0.74508,0.35076,0.44144,0.26518,0.17627
PerGroupOnly,31337,g0,533,0.75985,0.38462,0.64301,0.3002,0.34281
PerGroupOnly,31337,g1,530,0.76226,0.28409,0.5724,0.28288,0.28952
PerGroupOnly,31337,g2,2338,0.72712,0.35685,0.47611,0.26518,0.21094
PerGroupOnly,11,g0,533,0.73358,0.34862,0.62971,0.3002,0.32951
PerGroupOnly,11,g1,530,0.81509,0.32877,0.48168,0.28288,0.1988
PerGroupOnly,11,g2,2338,0.71985,0.34696,0.4938,0.26518,0.22863
PerGroupOnly,22,g0,533,0.74484,0.38739,0.50478,0.3002,0.20458
PerGroupOnly,22,g1,530,0.78679,0.33918,0.43833,0.28288,0.15545
PerGroupOnly,22,g2,2338,0.72156,0.35862,0.4382,0.26518,0.17303
PerGroupOnly,33,g0,533,0.74296,0.35071,0.58317,0.3002,0.28297
PerGroupOnly,33,g1,530,0.73774,0.28718,0.52654,0.28288,0.24366
PerGroupOnly,33,g2,2338,0.73738,0.35504,0.46828,0.26518,0.20311
PerGroupOnly,44,g0,533,0.74109,0.33654,0.6626,0.3002,0.3624
PerGroupOnly,44,g1,530,0.79434,0.27815,0.54411,0.28288,0.26123
PerGroupOnly,44,g2,2338,0.73225,0.35464,0.46317,0.26518,0.19799
PerGroupOnly,55,g0,533,0.74672,0.34783,0.57576,0.3002,0.27557
PerGroupOnly,55,g1,530,0.77736,0.35165,0.50177,0.28288,0.21889
