method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.73921,0.40851,0.46577,0.30654,0.15923
ERM,42,g1,530,0.79434,0.40437,0.39852,0.26761,0.13091
ERM,42,g2,2338,0.74551,0.37696,0.44095,0.25801,0.18294
ERM,1337,g0,533,0.7561,0.39815,0.47151,0.30654,0.16498
ERM,1337,g1,530,0.80943,0.42286,0.39427,0.26761,0.12666
ERM,1337,g2,2338,0.75749,0.37761,0.43234,0.25801,0.17433
ERM,7,g0,533,0.75422,0.41778,0.44657,0.30654,0.14003
ERM,7,g1,530,0.80189,0.41341,0.39483,0.26761,0.12722
ERM,7,g2,2338,0.75962,0.38242,0.43907,0.25801,0.18106
ERM,2024,g0,533,0.75047,0.4141,0.44935,0.30654,0.14281
ERM,2024,g1,530,0.79811,0.4153,0.39005,0.26761,0.12245
ERM,2024,g2,2338,0.74936,0.37393,0.42416,0.25801,0.16615
ERM,31337,g0,533,0.76173,0.42009,0.45266,0.30654,0.14612
ERM,31337,g1,530,0.80189,0.42623,0.38207,0.26761,0.11447
ERM,31337,g2,2338,0.74679,0.36887,0.43322,0.25801,0.17521
ERM,11,g0,533,0.75797,0.40553,0.45899,0.30654,0.15246
ERM,11,g1,530,0.81132,0.42529,0.38289,0.26761,0.11528
ERM,11,g2,2338,0.7592,0.3779,0.43694,0.25801,0.17893
ERM,22,g0,533,0.75985,0.41818,0.43955,0.30654,0.13302
ERM,22,g1,530,0.80566,0.44324,0.37525,0.26761,0.10764
ERM,22,g2,2338,0.75663,0.36848,0.42712,0.25801,0.16911
ERM,33,g0,533,0.75985,0.39623,0.42801,0.30654,0.12147
ERM,33,g1,530,0.8,0.41758,0.37252,0.26761,0.10491
ERM,33,g2,2338,0.75449,0.37199,0.41704,0.25801,0.15903
ERM,44,g0,533,0.74859,0.42735,0.4658,0.30654,0.15927
ERM,44,g1,530,0.78302,0.41026,0.40128,0.26761,0.13368
ERM,44,g2,2338,0.74636,0.37513,0.45088,0.25801,0.19287
ERM,55,g0,533,0.75047,0.42424,0.44748,0.30654,0.14094
ERM,55,g1,530,0.79057,0.4,0.3919,0.26761,0.12429
ERM,55,g2,2338,0.74465,0.37618,0.43244,0.25801,0.17443
GroupDRO,42,g0,533,0.77298,0.36649,0.59439,0.30654,0.28786
GroupDRO,42,g1,530,0.85094,0.24762,0.55492,0.26761,0.28731
GroupDRO,42,g2,2338,0.78186,0.38995,0.48326,0.25801,0.22525
GroupDRO,1337,g0,533,0.77111,0.36458,0.61553,0.30654,0.30899
GroupDRO,1337,g1,530,0.81887,0.36842,0.4603,0.26761,0.19269
GroupDRO,1337,g2,2338,0.77673,0.3741,0.44214,0.25801,0.18413
GroupDRO,7,g0,533,0.79737,0.37931,0.6755,0.30654,0.36896
GroupDRO,7,g1,530,0.85849,0.29907,0.62291,0.26761,0.35531
GroupDRO,7,g2,2338,0.79641,0.40351,0.43615,0.25801,0.17814
GroupDRO,2024,g0,533,0.76548,0.34555,0.67152,0.30654,0.36498
GroupDRO,2024,g1,530,0.84717,0.29565,0.61241,0.26761,0.3448
GroupDRO,2024,g2,2338,0.7763,0.37215,0.48362,0.25801,0.22561
GroupDRO,31337,g0,533,0.7561,0.36275,0.42663,0.30654,0.1201
GroupDRO,31337,g1,530,0.76415,0.39024,0.43949,0.26761,0.17188
GroupDRO,31337,g2,2338,0.73909,0.38384,0.41645,0.25801,0.15844
GroupDRO,11,g0,533,0.78049,0.38743,0.60413,0.30654,0.2976
GroupDRO,11,g1,530,0.8434,0.336,0.52663,0.26761,0.25903
GroupDRO,11,g2,2338,0.79085,0.38798,0.4337,0.25801,0.17569
GroupDRO,22,g0,533,0.77861,0.37895,0.64692,0.30654,0.34038
GroupDRO,22,g1,530,0.8434,0.336,0.62274,0.26761,0.35514
GroupDRO,22,g2,2338,0.7793,0.39151,0.46658,0.25801,0.20857
GroupDRO,33,g0,533,0.78612,0.39362,0.62517,0.30654,0.31863
GroupDRO,33,g1,530,0.8566,0.37705,0.5113,0.26761,0.2437
GroupDRO,33,g2,2338,0.79983,0.40153,0.46306,0.25801,0.20505
GroupDRO,44,g0,533,0.78424,0.37838,0.59961,0.30654,0.29307
GroupDRO,44,g1,530,0.83585,0.29268,0.53269,0.26761,0.26508
GroupDRO,44,g2,2338,0.78785,0.38916,0.44254,0.25801,0.18453
GroupDRO,55,g0,533,0.79737,0.36471,0.56173,0.30654,0.2552
GroupDRO,55,g1,530,0.81887,0.40741,0.44589,0.26761,0.17828
GroupDRO,55,g2,2338,0.79127,0.39152,0.38782,0.25801,0.12981
RegretDRO,42,g0,533,0.72983,0.36283,0.49784,0.30654,0.1913
RegretDRO,42,g1,530,0.79434,0.39106,0.36718,0.26761,0.09957
RegretDRO,42,g2,2338,0.74636,0.38549,0.42103,0.25801,0.16302
RegretDRO,1337,g0,533,0.77298,0.34595,0.67949,0.30654,0.37295
RegretDRO,1337,g1,530,0.85849,0.36975,0.49534,0.26761,0.22773
RegretDRO,1337,g2,2338,0.77973,0.37576,0.4825,0.25801,0.22448
RegretDRO,7,g0,533,0.78987,0.35632,0.65347,0.30654,0.34693
RegretDRO,7,g1,530,0.86038,0.30189,0.5674,0.26761,0.29979
RegretDRO,7,g2,2338,0.79085,0.41013,0.4355,0.25801,0.17749
RegretDRO,2024,g0,533,0.77674,0.37037,0.64371,0.30654,0.33717
RegretDRO,2024,g1,530,0.83962,0.28571,0.57101,0.26761,0.30341
RegretDRO,2024,g2,2338,0.77887,0.37636,0.46679,0.25801,0.20878
RegretDRO,31337,g0,533,0.79737,0.37931,0.60504,0.30654,0.2985
RegretDRO,31337,g1,530,0.8434,0.31405,0.59569,0.26761,0.32808
RegretDRO,31337,g2,2338,0.79769,0.38968,0.43791,0.25801,0.1799
RegretDRO,11,g0,533,0.77861,0.37895,0.64346,0.30654,0.33692
RegretDRO,11,g1,530,0.82264,0.31884,0.56381,0.26761,0.2962
RegretDRO,11,g2,2338,0.78657,0.38319,0.4478,0.25801,0.18979
RegretDRO,22,g0,533,0.77674,0.36364,0.62471,0.30654,0.31817
RegretDRO,22,g1,530,0.83962,0.32,0.5625,0.26761,0.2949
RegretDRO,22,g2,2338,0.77588,0.38642,0.47264,0.25801,0.21463
RegretDRO,33,g0,533,0.78236,0.38298,0.64838,0.30654,0.34184
RegretDRO,33,g1,530,0.8434,0.30252,0.51649,0.26761,0.24889
RegretDRO,33,g2,2338,0.78358,0.38741,0.46632,0.25801,0.2083
RegretDRO,44,g0,533,0.75422,0.34826,0.52056,0.30654,0.21402
RegretDRO,44,g1,530,0.8283,0.36364,0.3777,0.26761,0.1101
RegretDRO,44,g2,2338,0.79641,0.39747,0.38455,0.25801,0.12654
RegretDRO,55,g0,533,0.78236,0.38298,0.62506,0.30654,0.31852
RegretDRO,55,g1,530,0.85472,0.3937,0.48673,0.26761,0.21912
RegretDRO,55,g2,2338,0.784,0.39665,0.43577,0.25801,0.17776
AnchorsOnly,42,g0,533,0.74859,0.39091,0.46665,0.30654,0.16011
AnchorsOnly,42,g1,530,0.77925,0.37433,0.3953,0.26761,0.1277
AnchorsOnly,42,g2,2338,0.79127,0.40342,0.38379,0.25801,0.12578
AnchorsOnly,1337,g0,533,0.77861,0.37234,0.56124,0.30654,0.2547
AnchorsOnly,1337,g1,530,0.83208,0.34074,0.43293,0.26761,0.16533
AnchorsOnly,1337,g2,2338,0.77502,0.38263,0.45549,0.25801,0.19748
AnchorsOnly,7,g0,533,0.76923,0.36269,0.46797,0.30654,0.16144
AnchorsOnly,7,g1,530,0.78113,0.38947,0.44967,0.26761,0.18206
AnchorsOnly,7,g2,2338,0.76005,0.37736,0.44252,0.25801,0.18451
AnchorsOnly,2024,g0,533,0.77674,0.36364,0.55899,0.30654,0.25246
AnchorsOnly,2024,g1,530,0.84717,0.37209,0.47268,0.26761,0.20508
AnchorsOnly,2024,g2,2338,0.79641,0.38342,0.46062,0.25801,0.20261
AnchorsOnly,31337,g0,533,0.81426,0.39264,0.38583,0.30654,0.0793
AnchorsOnly,31337,g1,530,0.80566,0.39766,0.39414,0.26761,0.12653
AnchorsOnly,31337,g2,2338,0.75449,0.38806,0.44376,0.25801,0.18575
AnchorsOnly,11,g0,533,0.78049,0.39378,0.52145,0.30654,0.21492
AnchorsOnly,11,g1,530,0.83585,0.35556,0.38855,0.26761,0.12094
AnchorsOnly,11,g2,2338,0.76903,0.38914,0.45958,0.25801,0.20157
AnchorsOnly,22,g0,533,0.78049,0.36066,0.53235,0.30654,0.22582
AnchorsOnly,22,g1,530,0.78302,0.31138,0.54244,0.26761,0.27483
AnchorsOnly,22,g2,2338,0.7947,0.39394,0.43106,0.25801,0.17305
AnchorsOnly,33,g0,533,0.77674,0.37696,0.45737,0.30654,0.15083
