mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",1,0.5546168775999988,0.8604074073544254,0.8861661840053464,0.35772913816689467,"[0.9403532155948018, 0.35772913816689467, 0.9606863235049142]","[0.8419943820224719, 0.8574193548387097, 0.9626587005227782, 0.94186902133922, 0.8807692307692307, 0.9181286549707602, 0.8587699316628702, 0.9066570188133141, 0.8390625, 0.8605003790750568]","[[0.9949664429530202, 0.981294964028777, 0.9796610169491525, 0.9549114331723028, 0.9864864864864865, 0.9441233140655106, 0.9397590361445783, 0.8782051282051282, 0.8534923339011925, 0.8860971524288107], [0.09623430962343096, 0.0, 0.8027210884353742, 0.7424242424242424, 0.0, 0.5982142857142857, 0.015037593984962405, 0.9224806201550387, 0.5137614678899083, 0.31007751937984496], [0.9898132427843803, 0.9892966360856269, 0.9850498338870431, 0.971947194719472, 0.9722703639514731, 0.9575971731448764, 0.966832504145937, 0.931637519872814, 0.8852739726027398, 0.954468802698145]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",2,0.15771126359480397,0.9708148148854574,0.9128239400014851,0.49658002735978113,"[0.9558480506497834, 0.49658002735978113, 0.9711810761286024]","[0.9066011235955056, 0.8593548387096774, 0.9290515309932785, 0.9610007358351729, 0.8846153846153846, 0.9264828738512949, 0.9278663629460896, 0.9138929088277858, 0.934375, 0.8946171341925702]","[[0.9983221476510067, 0.9856115107913669, 0.9796610169491525, 0.9597423510466989, 0.9831081081081081, 0.9210019267822736, 0.963855421686747, 0.8798076923076923, 0.9267461669505963, 0.9547738693467337], [0.46443514644351463, 0.0, 0.47619047619047616, 0.8484848484848485, 0.0, 0.8303571428571429, 0.5338345864661654, 0.9767441860465116, 0.8899082568807339, 0.35658914728682173], [0.9932088285229203, 0.9892966360856269, 0.9900332225913622, 0.9867986798679867, 0.9844020797227037, 0.950530035335689, 0.9800995024875622, 0.9348171701112877, 0.9503424657534246, 0.9510961214165261]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",3,0.07428116312512645,0.9805185184302153,0.9316106036979283,0.6361149110807114,"[0.9598467177607464, 0.6361149110807114, 0.9753456605030818]","[0.8918539325842697, 0.9625806451612903, 0.9439880507841673, 0.94186902133922, 0.9492307692307692, 0.9715956558061821, 0.8899012908124525, 0.9356005788712012, 0.92109375, 0.909021986353298]","[[0.9983221476510067, 0.9841726618705036, 0.9864406779661017, 0.9436392914653784, 0.9780405405405406, 0.9749518304431599, 0.9690189328743546, 0.905448717948718, 0.8909710391822828, 0.9681742043551089], [0.3723849372384937, 0.7661691542288557, 0.5714285714285714, 0.7727272727272727, 0.6183206106870229, 0.9375, 0.21052631578947367, 0.9767441860465116, 0.926605504587156, 0.46511627906976744], [0.9949066213921901, 1.0, 0.9933554817275747, 0.976897689768977, 0.9948006932409013, 0.9752650176678446, 0.9635157545605307, 0.9570747217806042, 0.9503424657534246, 0.9460370994940978]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",4,-0.005489455177793624,0.985777777813099,0.9186158758446573,0.5198358413132695,"[0.9633455514828391, 0.5198358413132695, 0.9710144927536232]","[0.8398876404494382, 0.9651612903225807, 0.9230769230769231, 0.9234731420161884, 0.916923076923077, 0.949874686716792, 0.9195140470766895, 0.8986975397973951, 0.91640625, 0.9347990902198635]","[[1.0, 0.9856115107913669, 0.9711864406779661, 0.9742351046698873, 0.981418918918919, 0.9421965317919075, 0.9707401032702238, 0.8846153846153846, 0.9352640545144804, 0.9849246231155779], [0.05439330543933055, 0.7860696517412935, 0.4421768707482993, 0.3712121212121212, 0.2900763358778626, 0.9375, 0.43609022556390975, 0.7751937984496124, 0.9724770642201835, 0.5271317829457365], [0.9966044142614601, 0.9984709480122325, 0.9933554817275747, 0.9917491749174917, 0.9930675909878682, 0.9593639575971732, 0.9767827529021559, 0.9379968203497615, 0.886986301369863, 0.9730185497470489]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",5,-0.06702049434295407,0.9904814815168027,0.9167594861513328,0.4582763337893297,"[0.9690103298900367, 0.4582763337893297, 0.9761785773779776]","[0.8384831460674157, 0.9567741935483871, 0.8984316654219567, 0.9161147902869757, 0.9238461538461539, 0.948203842940685, 0.8777524677296887, 0.9247467438494935, 0.946875, 0.9393479909021987]","[[0.9983221476510067, 0.9870503597122302, 0.9847457627118644, 0.9726247987117552, 0.9780405405405406, 0.9845857418111753, 0.9586919104991394, 0.9278846153846154, 0.948892674616695, 0.949748743718593], [0.058577405857740586, 0.7263681592039801, 0.1564625850340136, 0.3106060606060606, 0.3816793893129771, 0.6517857142857143, 0.05263157894736842, 0.8682170542635659, 0.9908256880733946, 0.7441860465116279], [0.9932088285229203, 0.9954128440366973, 0.9950166112956811, 0.9900990099009901, 0.9913344887348353, 0.9734982332155477, 0.9817578772802653, 0.9332273449920508, 0.9366438356164384, 0.9713322091062394]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",6,-0.08278299419747459,0.9926666667373092,0.9234424890473009,0.4897400820793434,"[0.9713428857047651, 0.4897400820793434, 0.981176078627353]","[0.8384831460674157, 0.9748387096774194, 0.888722927557879, 0.9337748344370861, 0.93, 0.9665831244778613, 0.8967350037965072, 0.9153400868306801, 0.94609375, 0.9469294920394238]","[[0.9983221476510067, 0.9856115107913669, 0.9915254237288136, 0.9919484702093397, 0.9780405405405406, 0.9672447013487476, 0.9535283993115319, 0.9391025641025641, 0.9369676320272572, 0.9681742043551089], [0.05439330543933055, 0.8706467661691543, 0.05442176870748299, 0.4166666666666667, 0.4351145038167939, 0.9017857142857143, 0.3007518796992481, 0.5116279069767442, 0.944954128440367, 0.7596899224806202], [0.9949066213921901, 0.9954128440366973, 0.9916943521594684, 0.9867986798679867, 0.9930675909878682, 0.9787985865724381, 0.9734660033167496, 0.9745627980922098, 0.9554794520547946, 0.9662731871838112]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",7,-0.09582805236180623,0.9947777778130991,0.9246305784510285,0.5082079343365253,"[0.9708430523158947, 0.5082079343365253, 0.9798434116275195]","[0.8398876404494382, 0.9774193548387097, 0.883495145631068, 0.9286239882266373, 0.943076923076923, 0.9507101086048454, 0.8982536066818527, 0.9124457308248914, 0.95078125, 0.9636087945413192]","[[1.0, 0.9827338129496402, 0.9847457627118644, 0.9919484702093397, 0.981418918918919, 0.9749518304431599, 0.963855421686747, 0.9086538461538461, 0.9471890971039182, 0.9731993299832495], [0.06276150627615062, 0.9104477611940298, 0.034013605442176874, 0.3333333333333333, 0.5572519083969466, 0.6875, 0.2932330827067669, 0.7751937984496124, 0.926605504587156, 0.8217054263565892], [0.9932088285229203, 0.9923547400611621, 0.9916943521594684, 0.9933993399339934, 0.9913344887348353, 0.980565371024735, 0.9684908789386402, 0.9443561208267091, 0.958904109589041, 0.984822934232715]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",8,-0.10277623933332938,0.9964444444444445,0.9169079973267988,0.4439124487004104,"[0.969510163278907, 0.4439124487004104, 0.9795102448775612]","[0.839185393258427, 0.9638709677419355, 0.8917102315160568, 0.9021339220014717, 0.9292307692307692, 0.9398496240601504, 0.8891419893697798, 0.9037626628075254, 0.9625, 0.9507202426080363]","[[0.9966442953020134, 0.9726618705035971, 0.9966101694915255, 0.9919484702093397, 0.9797297297297297, 0.9556840077071291, 0.9707401032702238, 0.8958333333333334, 0.9761499148211243, 0.9597989949748744], [0.058577405857740586, 0.8159203980099502, 0.061224489795918366, 0.07575757575757576, 0.4122137404580153, 0.6696428571428571, 0.15789473684210525, 0.689922480620155, 0.9541284403669725, 0.8449612403100775], [0.9966044142614601, 1.0, 0.9916943521594684, 0.9900990099009901, 0.9948006932409013, 0.9787985865724381, 0.9718076285240465, 0.9554848966613673, 0.9503424657534246, 0.9645868465430016]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",9,-0.105844487854728,0.9974074074780499,0.9123041508873543,0.3741450068399453,"[0.9730089970009996, 0.3741450068399453, 0.9826753290021656]","[0.8398876404494382, 0.9729032258064516, 0.8909634055265123, 0.9337748344370861, 0.9123076923076923, 0.9039264828738512, 0.8823082763857252, 0.88205499276411, 0.971875, 0.9302501895375285]","[[1.0, 0.9827338129496402, 0.9728813559322034, 0.9967793880837359, 0.981418918918919, 0.9691714836223507, 0.9672977624784854, 0.9326923076923077, 0.9727427597955707, 0.9530988274706867], [0.058577405857740586, 0.8557213930348259, 0.14285714285714285, 0.36363636363636365, 0.25190839694656486, 0.21428571428571427, 0.06766917293233082, 0.27906976744186046, 0.981651376146789, 0.6434108527131783], [0.9949066213921901, 0.9984709480122325, 0.9933554817275747, 0.9933993399339934, 0.9913344887348353, 0.980565371024735, 0.9800995024875622, 0.9554848966613673, 0.9691780821917808, 0.96964586846543]]"
,2000,12500,12500,10,128,1337,"[""mnist28"", ""usps16"", ""mnist32""]","{""total"": 27000, ""class_counts"": [4080, 4080, 4080, 4080, 4080, 1320, 1320, 1320, 1320, 1320], ""group_counts"": [12500, 2000, 12500], ""group_class_counts"": [[1996, 2034, 1986, 2044, 2013, 475, 488, 488, 495, 481], [80, 80, 80, 80, 80, 320, 320, 320, 320, 320], [2004, 1966, 2014, 1956, 1987, 525, 512, 512, 505, 519]]}",10,-0.10960997731818094,0.9978518518518519,0.9189871537833222,0.42476060191518467,"[0.9761746084638454, 0.42476060191518467, 0.9821755788772281]","[0.8370786516853933, 0.9774193548387097, 0.9021657953696789, 0.8999264164827079, 0.9415384615384615, 0.9239766081871345, 0.8731966590736523, 0.9095513748191028, 0.96015625, 0.9643669446550417]","[[0.9966442953020134, 0.9784172661870504, 0.9898305084745763, 0.9903381642512077, 0.9746621621621622, 0.9845857418111753, 0.963855421686747, 0.9519230769230769, 0.9540034071550255, 0.9782244556113903], [0.058577405857740586, 0.900497512437811, 0.17006802721088435, 0.05303030303030303, 0.549618320610687, 0.33035714285714285, 0.0, 0.49612403100775193, 0.9908256880733946, 0.875968992248062], [0.9915110356536503, 1.0, 0.9950166112956811, 0.9917491749174917, 0.9965337954939342, 0.9858657243816255, 0.978441127694859, 0.9523052464228935, 0.9606164383561644, 0.96964586846543]]"
