metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",1,1.1701639525592327,0.6810546875,0.39375,0.37,"[0.75, 0.37]","[0.40625, 0.8984375, 0.09375, 0.3984375, 0.0390625, 0.671875, 0.328125, 0.984375, 0.0546875, 0.0625]","[[1.0, 1.0, 0.875, 0.625, 0.625, 0.375, 0.875, 0.75, 0.375, 1.0], [0.36666666666666664, 0.8916666666666667, 0.041666666666666664, 0.38333333333333336, 0.0, 0.6916666666666667, 0.2916666666666667, 1.0, 0.03333333333333333, 0.0]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",2,0.3816535536199808,0.923828125,0.42109375,0.39166666666666666,"[0.8625, 0.39166666666666666]","[0.4296875, 0.1640625, 0.1328125, 0.6484375, 0.0859375, 0.0234375, 0.703125, 0.5546875, 0.7421875, 0.7265625]","[[1.0, 1.0, 0.875, 0.625, 1.0, 0.375, 0.875, 0.875, 1.0, 1.0], [0.39166666666666666, 0.10833333333333334, 0.08333333333333333, 0.65, 0.025, 0.0, 0.6916666666666667, 0.5333333333333333, 0.725, 0.7083333333333334]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",3,0.2935767510905862,0.940234375,0.61796875,0.5966666666666667,"[0.9375, 0.5966666666666667]","[0.859375, 0.0625, 0.4296875, 0.953125, 0.3515625, 0.09375, 0.734375, 0.890625, 0.9375, 0.8671875]","[[1.0, 1.0, 0.875, 0.875, 1.0, 1.0, 1.0, 0.75, 0.875, 1.0], [0.85, 0.0, 0.4, 0.9583333333333334, 0.30833333333333335, 0.03333333333333333, 0.7166666666666667, 0.9, 0.9416666666666667, 0.8583333333333333]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",4,0.23460878264158963,0.959375,0.69375,0.6775,"[0.9375, 0.6775]","[0.4296875, 0.9296875, 0.984375, 0.71875, 0.296875, 0.421875, 0.8671875, 0.9375, 0.890625, 0.4609375]","[[0.875, 1.0, 1.0, 0.875, 1.0, 1.0, 0.875, 1.0, 0.875, 0.875], [0.4, 0.925, 0.9833333333333333, 0.7083333333333334, 0.25, 0.38333333333333336, 0.8666666666666667, 0.9333333333333333, 0.8916666666666667, 0.43333333333333335]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",5,0.18057862464338542,0.969140625,0.62109375,0.5991666666666666,"[0.95, 0.5991666666666666]","[0.5234375, 0.9921875, 0.1953125, 0.4375, 0.4453125, 0.984375, 0.921875, 0.984375, 0.046875, 0.6796875]","[[1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 0.625, 1.0], [0.49166666666666664, 0.9916666666666667, 0.14166666666666666, 0.4083333333333333, 0.4083333333333333, 0.9833333333333333, 0.9166666666666666, 0.9833333333333333, 0.008333333333333333, 0.6583333333333333]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",6,0.11305982489138841,0.9841796875,0.61640625,0.5933333333333334,"[0.9625, 0.5933333333333334]","[0.4375, 0.9921875, 0.15625, 0.296875, 0.6328125, 0.9921875, 0.984375, 0.9921875, 0.0625, 0.6171875]","[[1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 0.875, 0.875], [0.4, 0.9916666666666667, 0.1, 0.25833333333333336, 0.6083333333333333, 0.9916666666666667, 0.9833333333333333, 0.9916666666666667, 0.008333333333333333, 0.6]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",7,0.1259812348987907,0.9767578125,0.8203125,0.8116666666666666,"[0.95, 0.8116666666666666]","[0.9296875, 0.9765625, 0.9453125, 0.8828125, 0.7890625, 0.875, 0.2890625, 0.90625, 0.96875, 0.640625]","[[1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 0.875, 0.875, 0.875, 1.0], [0.925, 0.975, 0.9416666666666667, 0.8833333333333333, 0.775, 0.8666666666666667, 0.25, 0.9083333333333333, 0.975, 0.6166666666666667]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",8,0.07821931345388293,0.989453125,0.64453125,0.6233333333333333,"[0.9625, 0.6233333333333333]","[0.46875, 0.875, 0.8984375, 0.1640625, 0.8515625, 0.828125, 0.515625, 0.75, 0.9921875, 0.1015625]","[[1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 0.875, 0.875, 1.0], [0.43333333333333335, 0.8666666666666667, 0.8916666666666667, 0.11666666666666667, 0.8416666666666667, 0.8166666666666667, 0.48333333333333334, 0.7416666666666667, 1.0, 0.041666666666666664]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",9,0.09798911814577878,0.98359375,0.70859375,0.6908333333333333,"[0.975, 0.6908333333333333]","[0.4375, 0.8828125, 0.1640625, 0.515625, 0.5, 0.8515625, 0.9921875, 0.9296875, 0.984375, 0.828125]","[[1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 0.875, 1.0, 1.0], [0.4, 0.875, 0.10833333333333334, 0.49166666666666664, 0.4666666666666667, 0.8416666666666667, 0.9916666666666667, 0.9333333333333333, 0.9833333333333333, 0.8166666666666667]]"
1.0,,,,,10,64,1337,"[""mnist28"", ""usps16""]","{""total"": 5120, ""class_counts"": [512, 512, 512, 512, 512, 512, 512, 512, 512, 512], ""group_counts"": [320, 4800], ""group_class_counts"": [[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [480, 480, 480, 480, 480, 480, 480, 480, 480, 480]]}","{""total"": 1280, ""class_counts"": [128, 128, 128, 128, 128, 128, 128, 128, 128, 128], ""group_counts"": [80, 1200], ""group_class_counts"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [120, 120, 120, 120, 120, 120, 120, 120, 120, 120]]}",10,0.14782288719434292,0.98046875,0.865625,0.8583333333333333,"[0.975, 0.8583333333333333]","[1.0, 0.9921875, 0.9296875, 0.953125, 0.859375, 0.9609375, 0.875, 0.8515625, 0.421875, 0.8125]","[[1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0], [1.0, 0.9916666666666667, 0.925, 0.9583333333333334, 0.85, 0.9583333333333334, 0.8666666666666667, 0.8416666666666667, 0.39166666666666666, 0.8]]"
