metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,balanced_acc,per_group_acc,per_class_acc,per_group_by_class_acc,train_group_weights
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",1,1.1060097596758889,0.6507142857142857,0.3901968095022504,0.36126840317100795,0.3768304766571372,"[0.39239255014326646, 0.36126840317100795]","[0.6741501775748351, 0.2034056449731747, 0.04028855315094596, 0.02353577708643311, 0.024774774774774775, 0.8429226445792043, 0.6621875839828003, 0.5705513624152488, 0.06441844459738472, 0.8045533217947011]","[[0.7284864315774198, 0.22110616656071203, 0.0, 0.0, 0.0, 0.9066030230708035, 0.6864778037383178, 0.5862353750860289, 0.00014712373105781962, 0.8616161616161616], [0.297079556898288, 0.007052186177715092, 0.8021680216802168, 0.6590909090909091, 0.6027397260273972, 0.0021008403361344537, 0.38215488215488214, 0.3641304347826087, 0.9978632478632479, 0.12392426850258176]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",2,0.33520159414836337,0.9150000002270653,0.6693653625928786,0.6601719197707736,0.725329447994107,"[0.6601719197707736, 0.7904869762174406]","[0.4339167935058346, 0.6011196641007698, 0.7737852184565128, 0.9469768700121737, 0.8406531531531531, 0.43928412956663215, 0.9079548508465466, 0.7803505181015735, 0.12512044046799725, 0.8386366662228731]","[[0.3575678421129009, 0.5655435473617292, 0.7805961593579822, 0.9504839388413522, 0.8507046388725779, 0.4343675417661098, 0.9112149532710281, 0.7743977976600137, 0.10887156098278652, 0.8389610389610389], [0.9637462235649547, 0.995768688293371, 0.6449864498644986, 0.8522727272727273, 0.6061643835616438, 0.5042016806722689, 0.8703703703703703, 0.8586956521739131, 0.3611111111111111, 0.8347676419965576]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",3,0.17884697431609745,0.9602380954651606,0.7929239127540014,0.6598716496791242,0.7314472861576137,"[0.8030229226361032, 0.6598716496791242]","[0.9427955352612887, 0.7893631910426872, 0.6318225125901729, 0.8023806303259841, 0.8220720720720721, 0.8766454666469458, 0.916689062080086, 0.9318152744019444, 0.6827253957329663, 0.5244308347756623]","[[0.9521114497170222, 0.7707565162110617, 0.6421610776726856, 0.8040398372843316, 0.8189958896065767, 0.896101829753381, 0.9145735981308412, 0.9669649002064694, 0.7260556127703398, 0.5455988455988456], [0.878147029204431, 0.995768688293371, 0.4363143631436314, 0.7575757575757576, 0.8938356164383562, 0.6197478991596639, 0.9410774410774411, 0.4692028985507246, 0.053418803418803416, 0.2719449225473322]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",4,0.13440194419452123,0.9683333332198006,0.7757330421582466,0.767134670487106,0.8280746965119562,"[0.767134670487106, 0.8890147225368064]","[0.8193810248604769, 0.6242127361791463, 0.84238464679461, 0.28743405924523197, 0.9472128378378378, 0.9037124685697382, 0.9821284600913733, 0.860432390942817, 0.8783207157604955, 0.6490480628411663]","[[0.8093164997823248, 0.5918626827717737, 0.8447979363714532, 0.2642726890166924, 0.9522900763358778, 0.9029435163086714, 0.9832067757009346, 0.8644184445973847, 0.8824481388848021, 0.6294372294372295], [0.8892245720040282, 0.9830747531734838, 0.7967479674796748, 0.9128787878787878, 0.8287671232876712, 0.9138655462184874, 0.9696969696969697, 0.8079710144927537, 0.8183760683760684, 0.882960413080895]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",5,0.09660402232692356,0.9795238095238096,0.8267996484593465,0.8226790830945558,0.8518831429062813,"[0.8226790830945558, 0.8810872027180068]","[0.9099441907661086, 0.6801959412176347, 0.8068599428338097, 0.6552143919924253, 0.8938626126126126, 0.8534240496967904, 0.9814565976887933, 0.9218370218753997, 0.8637302133516862, 0.7200106510451338]","[[0.9126396749383253, 0.6564526382708201, 0.7987962166809974, 0.6448309720858465, 0.8928361714621257, 0.8556881463802705, 0.9836448598130841, 0.9344803854094976, 0.8571428571428571, 0.71991341991342], [0.8912386706948641, 0.9435825105782792, 0.959349593495935, 0.9356060606060606, 0.9178082191780822, 0.8235294117647058, 0.9562289562289562, 0.7554347826086957, 0.9594017094017094, 0.7211703958691911]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",6,0.08935756708894457,0.9816666667801993,0.8625529308370397,0.857865329512894,0.8910881951452729,"[0.857865329512894, 0.9243110607776519]","[0.9245306950786403, 0.6960578493118731, 0.8019599836668028, 0.8353848234816719, 0.8638795045045045, 0.8759059310752847, 0.9825315775329213, 0.9594473583216068, 0.8240880935994495, 0.8777792570896019]","[[0.9169931795095051, 0.6692943420216148, 0.798079678991115, 0.8294290924393323, 0.8623018203170875, 0.8870326173428799, 0.982768691588785, 0.9588437715072264, 0.82389289392379, 0.8757575757575757], [0.9768378650553877, 0.9929478138222849, 0.8753387533875339, 0.9962121212121212, 0.9006849315068494, 0.7289915966386554, 0.9797979797979798, 0.967391304347826, 0.8269230769230769, 0.9018932874354562]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",7,0.06082197908844267,0.9921428571428571,0.8446296838797305,0.8379942693409742,0.8850220497327748,"[0.8379942693409742, 0.9320498301245753]","[0.9677828513444952, 0.6569862374620947, 0.8057710630189193, 0.775057486811849, 0.8740146396396397, 0.810826800769117, 0.972050524052674, 0.9712165792503518, 0.8707501720578115, 0.7554253761150312]","[[0.9647366129734436, 0.6264462809917355, 0.8025222126683863, 0.7675690840230046, 0.8762477980035231, 0.8062052505966587, 0.9728387850467289, 0.9735719201651755, 0.8728850963660438, 0.7418470418470419], [0.9889224572004028, 0.995768688293371, 0.8672086720867209, 0.9772727272727273, 0.821917808219178, 0.8718487394957983, 0.9629629629629629, 0.9402173913043478, 0.8397435897435898, 0.9173838209982789]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",8,0.06221551781608945,0.9911904764175415,0.864044315427841,0.8581661891117478,0.8998267714150661,"[0.8581661891117478, 0.9414873537183843]","[0.9424150177574835, 0.668999300209937, 0.7955628147543214, 0.811037467875017, 0.8582488738738738, 0.8744268599319627, 0.9759473259876378, 0.950492516310605, 0.9050240880935995, 0.8792437757955]","[[0.9348425482513423, 0.6399237126509854, 0.7876182287188306, 0.8060036470753261, 0.8548150322959484, 0.8755767700875099, 0.9805782710280374, 0.9498967653131453, 0.9051051934677063, 0.8786435786435787], [0.9949647532729103, 0.9915373765867419, 0.94579945799458, 0.946969696969697, 0.9383561643835616, 0.8592436974789915, 0.9225589225589226, 0.9583333333333334, 0.9038461538461539, 0.8864027538726333]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",9,0.05332461585601171,0.9926190476190476,0.8610615462462382,0.8573065902578797,0.8839194332942852,"[0.8573065902578797, 0.9105322763306908]","[0.9427955352612887, 0.6670165616981573, 0.7999183340138832, 0.8259164074124171, 0.8433277027027027, 0.8535719568111226, 0.9712442891695781, 0.943072790072918, 0.8824501032346869, 0.8994807615497271]","[[0.934697431432303, 0.6390336935791481, 0.7982229865290914, 0.8211530368915696, 0.8416030534351145, 0.8512330946698489, 0.9792640186915887, 0.940949759119064, 0.899661615418567, 0.895959595959596], [0.998992950654582, 0.9774330042313117, 0.8319783197831978, 0.9545454545454546, 0.8835616438356164, 0.884453781512605, 0.8787878787878788, 0.9710144927536232, 0.6324786324786325, 0.9414802065404475]]",
1.0,,,,,20,64,1339,"[""mnist28"", ""usps16""]","{""total"": 4200, ""class_counts"": [572, 572, 572, 572, 572, 268, 268, 268, 268, 268], ""group_counts"": [200, 4000], ""group_class_counts"": [[12, 12, 12, 12, 12, 28, 28, 28, 28, 28], [560, 560, 560, 560, 560, 240, 240, 240, 240, 240]]}","{""total"": 75098, ""class_counts"": [7884, 8574, 7347, 7393, 7104, 6761, 7442, 7817, 7265, 7511], ""group_counts"": [69800, 5298], ""group_class_counts"": [[6891, 7865, 6978, 7129, 6812, 6285, 6848, 7265, 6797, 6930], [993, 709, 369, 264, 292, 476, 594, 552, 468, 581]]}",10,0.05492560986252058,0.9938095238095238,0.8624064555647287,0.8571633237822349,0.8943234512455909,"[0.8571633237822349, 0.9314835787089468]","[0.9378488077118214, 0.6695824585957546, 0.7971961344766572, 0.8188827269038279, 0.845579954954955, 0.8612631267563969, 0.9793066380005375, 0.9324549059741589, 0.9022711631108052, 0.8996138996138996]","[[0.9309243941372806, 0.6417037507946599, 0.7887646890226426, 0.812876981343807, 0.8405754550792719, 0.8676213206046142, 0.9805782710280374, 0.9325533379215416, 0.9046638222745329, 0.902020202020202], [0.9859013091641491, 0.9788434414668548, 0.9566395663956639, 0.9810606060606061, 0.9623287671232876, 0.7773109243697479, 0.9646464646464646, 0.9311594202898551, 0.8675213675213675, 0.8709122203098106]]",
