method,seed,group,auroc,accuracy
Ours_Regret,33,g0,0.7679570895522388,0.8405253283302064
Ours_Regret,33,g1,0.5415925002966655,0.9
Ours_Regret,33,g2,0.6945468432477141,0.7339606501283148
Ours_Regret,2024,g0,0.757762526652452,0.7729831144465291
Ours_Regret,2024,g1,0.5688066136624342,0.8943396226415095
Ours_Regret,2024,g2,0.6675828144137941,0.7630453378956373
Ours_Regret,44,g0,0.7548307569296375,0.7317073170731707
Ours_Regret,44,g1,0.5002966654800047,0.9
Ours_Regret,44,g2,0.6735545938972293,0.8083832335329342
Ours_Regret,11,g0,0.7703224946695096,0.8161350844277674
Ours_Regret,11,g1,0.5632293026383449,0.9
Ours_Regret,11,g2,0.6800873407377067,0.8562874251497006
Ours_Regret,42,g0,0.7723047707889125,0.6772983114446529
Ours_Regret,42,g1,0.5999762667615995,0.8528301886792453
Ours_Regret,42,g2,0.712100075785008,0.7647562018819504
Ours_Regret,7,g0,0.7814998667377399,0.7692307692307693
Ours_Regret,7,g1,0.6071753490763815,0.8150943396226416
Ours_Regret,7,g2,0.708951930934728,0.7733105218135158
Ours_Regret,55,g0,0.759928038379531,0.7804878048780488
Ours_Regret,55,g1,0.5817807839879752,0.7264150943396226
Ours_Regret,55,g2,0.7123632456562132,0.7181351582549187
Ours_Regret,22,g0,0.7775686300639659,0.7129455909943715
Ours_Regret,22,g1,0.5946362881215141,0.7735849056603774
Ours_Regret,22,g2,0.7062984662934799,0.7459366980325064
Ours_Regret,31337,g0,0.7651086087420043,0.7823639774859287
Ours_Regret,31337,g1,0.5154859380562478,0.8981132075471698
Ours_Regret,31337,g2,0.6589179958723883,0.8105218135158255
Ours_Regret,1337,g0,0.7785181236673774,0.8086303939962477
Ours_Regret,1337,g1,0.6001344883509355,0.8547169811320755
Ours_Regret,1337,g2,0.7096761427607509,0.7677502138579982
Ours_GDRO,55,g0,0.7647587953091683,0.6904315196998124
Ours_GDRO,55,g1,0.6189628574819034,0.7396226415094339
Ours_GDRO,55,g2,0.7051824677419036,0.704448246364414
Ours_GDRO,7,g0,0.7876965618336887,0.7129455909943715
Ours_GDRO,7,g1,0.5875163166014004,0.8377358490566038
Ours_GDRO,7,g2,0.7067674231316423,0.7630453378956373
Ours_GDRO,22,g0,0.7868969882729211,0.7523452157598499
Ours_GDRO,22,g1,0.5309125430164947,0.7490566037735849
Ours_GDRO,22,g2,0.7016425361660702,0.7874251497005988
Ours_GDRO,2024,g0,0.7600279850746268,0.7335834896810507
Ours_GDRO,2024,g1,0.5674617301530793,0.8962264150943396
Ours_GDRO,2024,g2,0.6648818604724789,0.7399486740804107
Ours_GDRO,33,g0,0.7787679904051172,0.849906191369606
Ours_GDRO,33,g1,0.5318223171551758,0.8981132075471698
Ours_GDRO,33,g2,0.6943034605848704,0.7224123182207014
Ours_GDRO,31337,g0,0.7709888059701492,0.8367729831144465
Ours_GDRO,31337,g1,0.540920058541988,0.9
Ours_GDRO,31337,g2,0.6555798938218399,0.7972626176218991
Ours_GDRO,1337,g0,0.7779017857142858,0.7485928705440901
Ours_GDRO,1337,g1,0.5884656461374154,0.7509433962264151
Ours_GDRO,1337,g2,0.706223274901707,0.7416595380667237
Ours_GDRO,44,g0,0.754047841151386,0.7429643527204502
Ours_GDRO,44,g1,0.5717337130651478,0.9
Ours_GDRO,44,g2,0.6757747186753652,0.7852865697177075
Ours_GDRO,42,g0,0.7669909381663113,0.6848030018761726
Ours_GDRO,42,g1,0.583165222894664,0.8188679245283019
Ours_GDRO,42,g2,0.7078161451747903,0.7382378100940975
Ours_GDRO,11,g0,0.7554970682302772,0.7654784240150094
Ours_GDRO,11,g1,0.5565444404889047,0.9
Ours_GDRO,11,g2,0.6759251014589109,0.8370402053036784
RegretDRO,33,g0,0.7797008262260128,0.6772983114446529
RegretDRO,33,g1,0.588979866302757,0.8301886792452831
RegretDRO,33,g2,0.7094881642813187,0.7403763900769889
RegretDRO,11,g0,0.7876632462686567,0.6772983114446529
RegretDRO,11,g1,0.5336418654325382,0.8981132075471698
RegretDRO,11,g2,0.7046759152078548,0.7035928143712575
RegretDRO,1337,g0,0.7766691098081023,0.7354596622889306
RegretDRO,1337,g1,0.5998971559669317,0.8339622641509434
RegretDRO,1337,g2,0.6978057964648173,0.712147134302823
RegretDRO,42,g0,0.7863139658848614,0.6829268292682927
RegretDRO,42,g1,0.5552391123768837,0.730188679245283
RegretDRO,42,g2,0.696335606883574,0.6775021385799829
RegretDRO,44,g0,0.7644756130063965,0.7335834896810507
RegretDRO,44,g1,0.5553577785688857,0.8849056603773585
