method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,11426,0.87992,0.46806,0.67921,0.2771,0.40211
ERM,42,g1,530,11426,0.9,0.47368,0.67846,0.29092,0.38754
ERM,42,g2,2338,11426,0.89692,0.47283,0.67858,0.28944,0.38914
ERM,1337,g0,533,11426,0.87992,0.46806,0.68631,0.2771,0.40921
ERM,1337,g1,530,11426,0.9,0.47368,0.68595,0.29092,0.39503
ERM,1337,g2,2338,11426,0.89692,0.47283,0.68601,0.28944,0.39657
ERM,7,g0,533,11426,0.87992,0.46806,0.67987,0.2771,0.40277
ERM,7,g1,530,11426,0.9,0.47368,0.67916,0.29092,0.38823
ERM,7,g2,2338,11426,0.89692,0.47283,0.67926,0.28944,0.38983
ERM,2024,g0,533,11426,0.87992,0.46806,0.68625,0.2771,0.40915
ERM,2024,g1,530,11426,0.9,0.47368,0.68588,0.29092,0.39496
ERM,2024,g2,2338,11426,0.89692,0.47283,0.68594,0.28944,0.3965
ERM,31337,g0,533,11426,0.87992,0.46806,0.68552,0.2771,0.40842
ERM,31337,g1,530,11426,0.9,0.47368,0.68511,0.29092,0.39419
ERM,31337,g2,2338,11426,0.89692,0.47283,0.68518,0.28944,0.39574
ERM,11,g0,533,11426,0.87992,0.46806,0.68508,0.2771,0.40798
ERM,11,g1,530,11426,0.9,0.47368,0.68465,0.29092,0.39372
ERM,11,g2,2338,11426,0.89692,0.47283,0.68471,0.28944,0.39527
ERM,22,g0,533,11426,0.87992,0.46806,0.6739,0.2771,0.3968
ERM,22,g1,530,11426,0.9,0.47368,0.67286,0.29092,0.38194
ERM,22,g2,2338,11426,0.89692,0.47283,0.67302,0.28944,0.38358
ERM,33,g0,533,11426,0.87992,0.46806,0.68534,0.2771,0.40824
ERM,33,g1,530,11426,0.9,0.47368,0.68492,0.29092,0.394
ERM,33,g2,2338,11426,0.89692,0.47283,0.68499,0.28944,0.39555
ERM,44,g0,533,11426,0.87992,0.46806,0.6633,0.2771,0.3862
ERM,44,g1,530,11426,0.9,0.47368,0.66168,0.29092,0.37075
ERM,44,g2,2338,11426,0.89692,0.47283,0.66193,0.28944,0.37249
ERM,55,g0,533,11426,0.87992,0.46806,0.68408,0.2771,0.40698
ERM,55,g1,530,11426,0.9,0.47368,0.6836,0.29092,0.39267
ERM,55,g2,2338,11426,0.89692,0.47283,0.68367,0.28944,0.39423
PerGroupOnly,42,g0,533,30818,0.63602,0.54632,0.55604,0.2771,0.27894
PerGroupOnly,42,g1,530,30818,0.72453,0.52799,0.59388,0.29092,0.30296
PerGroupOnly,42,g2,2338,30818,0.69461,0.55298,0.62349,0.28944,0.33405
PerGroupOnly,1337,g0,533,30818,0.69231,0.58288,0.61442,0.2771,0.33732
PerGroupOnly,1337,g1,530,30818,0.7,0.51921,0.53152,0.29092,0.2406
PerGroupOnly,1337,g2,2338,30818,0.75877,0.58376,0.57586,0.28944,0.28642
PerGroupOnly,7,g0,533,30818,0.65854,0.56123,0.54497,0.2771,0.26787
PerGroupOnly,7,g1,530,30818,0.72264,0.50596,0.62343,0.29092,0.3325
PerGroupOnly,7,g2,2338,30818,0.68135,0.54032,0.60178,0.28944,0.31234
PerGroupOnly,2024,g0,533,30818,0.6848,0.57921,0.50177,0.2771,0.22467
PerGroupOnly,2024,g1,530,30818,0.69434,0.51195,0.59578,0.29092,0.30486
PerGroupOnly,2024,g2,2338,30818,0.72284,0.5686,0.57489,0.28944,0.28545
PerGroupOnly,31337,g0,533,30818,0.66792,0.57231,0.53986,0.2771,0.26276
PerGroupOnly,31337,g1,530,30818,0.67547,0.48182,0.62296,0.29092,0.33204
