method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
ERM,42,g0,533,0.66417,0.5593,0.5579,0.2771,0.2808
ERM,42,g1,530,0.73396,0.52185,0.56588,0.29092,0.27495
ERM,42,g2,2338,0.77288,0.59355,0.55029,0.28944,0.26085
ERM,1337,g0,533,0.65854,0.56515,0.55146,0.2771,0.27436
ERM,1337,g1,530,0.79245,0.53016,0.57366,0.29092,0.28274
ERM,1337,g2,2338,0.71471,0.5577,0.55223,0.28944,0.26279
ERM,7,g0,533,0.66604,0.56281,0.60849,0.2771,0.33139
ERM,7,g1,530,0.66604,0.50704,0.56091,0.29092,0.26999
ERM,7,g2,2338,0.74123,0.57985,0.56928,0.28944,0.27984
ERM,2024,g0,533,0.66041,0.5565,0.64607,0.2771,0.36897
ERM,2024,g1,530,0.65849,0.50216,0.59298,0.29092,0.30205
ERM,2024,g2,2338,0.73311,0.56925,0.5904,0.28944,0.30096
ERM,31337,g0,533,0.64916,0.55221,0.54134,0.2771,0.26424
ERM,31337,g1,530,0.7434,0.53245,0.54129,0.29092,0.25037
ERM,31337,g2,2338,0.76689,0.59349,0.54998,0.28944,0.26054
ERM,11,g0,533,0.66604,0.5607,0.56606,0.2771,0.28896
ERM,11,g1,530,0.70377,0.51056,0.53092,0.29092,0.24
ERM,11,g2,2338,0.75791,0.58623,0.55154,0.28944,0.2621
ERM,22,g0,533,0.70919,0.58928,0.53658,0.2771,0.25948
ERM,22,g1,530,0.86415,0.52417,0.52397,0.29092,0.23304
ERM,22,g2,2338,0.78186,0.5879,0.49062,0.28944,0.20118
ERM,33,g0,533,0.69043,0.58776,0.59956,0.2771,0.32246
ERM,33,g1,530,0.78491,0.52513,0.60561,0.29092,0.31468
ERM,33,g2,2338,0.73524,0.57087,0.57424,0.28944,0.2848
ERM,44,g0,533,0.66229,0.56606,0.52109,0.2771,0.24399
ERM,44,g1,530,0.72453,0.51149,0.59547,0.29092,0.30455
ERM,44,g2,2338,0.7361,0.57225,0.52914,0.28944,0.2397
ERM,55,g0,533,0.63977,0.54912,0.56939,0.2771,0.29229
ERM,55,g1,530,0.75094,0.5191,0.57495,0.29092,0.28403
ERM,55,g2,2338,0.7515,0.57883,0.54484,0.28944,0.2554
Shared_GDRO,42,g0,533,0.72045,0.60057,0.50798,0.2771,0.23088
Shared_GDRO,42,g1,530,0.84151,0.52777,0.57221,0.29092,0.28128
Shared_GDRO,42,g2,2338,0.7716,0.59167,0.56448,0.28944,0.27504
Shared_GDRO,1337,g0,533,0.75235,0.60287,0.46743,0.2771,0.19033
Shared_GDRO,1337,g1,530,0.89434,0.4893,0.48372,0.29092,0.1928
Shared_GDRO,1337,g2,2338,0.76946,0.59319,0.52631,0.28944,0.23687
Shared_GDRO,7,g0,533,0.7955,0.5748,0.44717,0.2771,0.17007
Shared_GDRO,7,g1,530,0.89057,0.5032,0.44482,0.29092,0.1539
Shared_GDRO,7,g2,2338,0.79384,0.60966,0.5057,0.28944,0.21626
Shared_GDRO,2024,g0,533,0.73734,0.60693,0.52088,0.2771,0.24378
Shared_GDRO,2024,g1,530,0.81509,0.51081,0.56682,0.29092,0.2759
Shared_GDRO,2024,g2,2338,0.76305,0.58393,0.57879,0.28944,0.28936
Shared_GDRO,31337,g0,533,0.70544,0.59536,0.51349,0.2771,0.23639
Shared_GDRO,31337,g1,530,0.84151,0.50971,0.53812,0.29092,0.24719
Shared_GDRO,31337,g2,2338,0.75663,0.58286,0.54836,0.28944,0.25892
Shared_GDRO,11,g0,533,0.67355,0.57058,0.50613,0.2771,0.22903
Shared_GDRO,11,g1,530,0.85472,0.52777,0.56745,0.29092,0.27653
Shared_GDRO,11,g2,2338,0.74979,0.58435,0.56646,0.28944,0.27702
Shared_GDRO,22,g0,533,0.78799,0.61724,0.51222,0.2771,0.23512
Shared_GDRO,22,g1,530,0.89811,0.47316,0.52471,0.29092,0.23379
Shared_GDRO,22,g2,2338,0.77716,0.57948,0.53906,0.28944,0.24962
Shared_GDRO,33,g0,533,0.73171,0.61438,0.49515,0.2771,0.21805
Shared_GDRO,33,g1,530,0.87358,0.5418,0.54948,0.29092,0.25855
Shared_GDRO,33,g2,2338,0.76091,0.58386,0.57581,0.28944,0.28637
Shared_GDRO,44,g0,533,0.73171,0.61206,0.50549,0.2771,0.22839
Shared_GDRO,44,g1,530,0.84906,0.55833,0.52889,0.29092,0.23797
Shared_GDRO,44,g2,2338,0.76903,0.58875,0.55344,0.28944,0.264
Shared_GDRO,55,g0,533,0.69981,0.59091,0.5116,0.2771,0.2345
Shared_GDRO,55,g1,530,0.86604,0.52547,0.51502,0.29092,0.2241
Shared_GDRO,55,g2,2338,0.74679,0.57748,0.55497,0.28944,0.26554
Shared_Anchors_GDRO,42,g0,533,0.68856,0.58211,0.51819,0.2771,0.24109
