config,dataset_info,groupdro_config,start_time,epoch,train_loss,train_acc,learning_rate,test_overall_acc,test_balanced_acc,test_worst_group_acc,test_best_group_acc,test_per_group_acc,test_per_group_loss,test_per_class_acc,test_per_group_per_class_acc,test_per_group_counts,groupdro_weights,groupdro_pi,groupdro_kl_penalty
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,1,0.6736777999282423,0.6447963814390191,0.001,0.7266666666666667,0.6992957243807847,0.5769230769230769,0.8032786885245902,"[0.8032786885245902, 0.7169811320754716, 0.7, 0.5769230769230769]","[0.6019435324629799, 0.5801721164640391, 0.661897075176239, 0.7342148262720841]","[0.9027777777777778, 0.5641025641025641]","[[0.9090909090909091, 0.6785714285714286], [0.9696969696969697, 0.3], [null, 0.7], [0.5, 0.6]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,2,0.5925592615593612,0.737556557310113,0.001,0.7733333333333333,0.7925450284327489,0.5769230769230769,1.0,"[0.819672131147541, 0.7735849056603774, 1.0, 0.5769230769230769]","[0.5215379319718627, 0.5135087216237806, 0.4358066201210022, 0.6518314744417484]","[0.8194444444444444, 0.7307692307692307]","[[0.8181818181818182, 0.8214285714285714], [0.9393939393939394, 0.5], [null, 1.0], [0.16666666666666666, 0.7]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,3,0.5143600211423986,0.780542985076818,0.001,0.7733333333333333,0.8072402388826763,0.6923076923076923,1.0,"[0.819672131147541, 0.7169811320754716, 1.0, 0.6923076923076923]","[0.4489833640514827, 0.4975827559828758, 0.26037752330303193, 0.5857941336356677]","[0.7638888888888888, 0.782051282051282]","[[0.8181818181818182, 0.8214285714285714], [0.8484848484848485, 0.5], [null, 1.0], [0.0, 0.9]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,4,0.49203705005516296,0.7873303132359258,0.001,0.8,0.8346677294249208,0.7169811320754716,1.0,"[0.8524590163934426, 0.7169811320754716, 1.0, 0.7692307692307693]","[0.4157083200626686, 0.5022938583257064, 0.15400033965706825, 0.5547951671939629]","[0.7638888888888888, 0.8333333333333334]","[[0.8181818181818182, 0.8928571428571429], [0.8484848484848485, 0.5], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,5,0.46375535111621496,0.7918552020016838,0.001,0.8066666666666666,0.8393847105569964,0.7358490566037735,1.0,"[0.8524590163934426, 0.7358490566037735, 1.0, 0.7692307692307693]","[0.38506338775890775, 0.5387779462309379, 0.09133053086698055, 0.5545182755360236]","[0.7916666666666666, 0.8205128205128205]","[[0.8181818181818182, 0.8928571428571429], [0.9090909090909091, 0.45], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,6,0.42501125332996315,0.8167420798297381,0.001,0.8133333333333334,0.8441016916890718,0.7547169811320755,1.0,"[0.8524590163934426, 0.7547169811320755, 1.0, 0.7692307692307693]","[0.37158532147524787, 0.5483406894963305, 0.06601862870156765, 0.562220827031594]","[0.8194444444444444, 0.8076923076923077]","[[0.8787878787878788, 0.8214285714285714], [0.9090909090909091, 0.5], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,7,0.4075994015549103,0.8167420822570767,0.001,0.8066666666666666,0.8393847105569964,0.7358490566037735,1.0,"[0.8524590163934426, 0.7358490566037735, 1.0, 0.7692307692307693]","[0.37012532298437884, 0.5308272617183766, 0.05510538723319769, 0.5703501712817413]","[0.8055555555555556, 0.8076923076923077]","[[0.8787878787878788, 0.8214285714285714], [0.8787878787878788, 0.5], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,8,0.39967117603547975,0.8393665166462169,0.001,0.78,0.8107199790620762,0.6923076923076923,1.0,"[0.8524590163934426, 0.6981132075471698, 1.0, 0.6923076923076923]","[0.3849380195262979, 0.5268511191572783, 0.057274123281240465, 0.5798547918406817]","[0.7777777777777778, 0.782051282051282]","[[0.8787878787878788, 0.8214285714285714], [0.8181818181818182, 0.5], [null, 1.0], [0.0, 0.9]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,9,0.38521186218542214,0.8393665142188784,0.001,0.78,0.8125758404910894,0.6923076923076923,1.0,"[0.8032786885245902, 0.7547169811320755, 1.0, 0.6923076923076923]","[0.3958049069662563, 0.5457639307627138, 0.06679165344685316, 0.5772018656134605]","[0.7777777777777778, 0.782051282051282]","[[0.7878787878787878, 0.8214285714285714], [0.9090909090909091, 0.5], [null, 1.0], [0.0, 0.9]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 12, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_A_erm_s1337"", ""run_name"": ""sweep_A_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:39.730575,10,0.36412116386232335,0.848416290401873,0.001,0.7733333333333333,0.8023418353993671,0.6538461538461539,1.0,"[0.819672131147541, 0.7358490566037735, 1.0, 0.6538461538461539]","[0.3899985943600291, 0.570104518342974, 0.07828745767474174, 0.5836000823630736]","[0.7916666666666666, 0.7564102564102564]","[[0.8181818181818182, 0.8214285714285714], [0.9090909090909091, 0.45], [null, 1.0], [0.0, 0.85]]","[61, 53, 10, 26]",,,
