config,dataset_info,groupdro_config,start_time,epoch,train_loss,train_acc,learning_rate,test_overall_acc,test_balanced_acc,test_worst_group_acc,test_best_group_acc,test_per_group_acc,test_per_group_loss,test_per_class_acc,test_per_group_per_class_acc,test_per_group_counts,groupdro_weights,groupdro_pi,groupdro_kl_penalty
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,1,0.7082497294132526,0.5723981868087976,0.001,0.6866666666666666,0.6260772323871613,0.4,0.7704918032786885,"[0.7704918032786885, 0.6415094339622641, 0.4, 0.6923076923076923]","[0.6533280220188078, 0.6170439124107361, 0.7057104706764221, 0.6528979218923129]","[0.875, 0.5128205128205128]","[[0.9393939393939394, 0.5714285714285714], [0.9696969696969697, 0.1], [null, 0.4], [0.0, 0.9]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,2,0.6485801163841697,0.6719456975816062,0.001,0.7666666666666667,0.8129386851935568,0.6792452830188679,1.0,"[0.8032786885245902, 0.6792452830188679, 1.0, 0.7692307692307693]","[0.6132127906455368, 0.5633665669076847, 0.541334331035614, 0.6106987916506253]","[0.7638888888888888, 0.7692307692307693]","[[0.7575757575757576, 0.8571428571428571], [0.9090909090909091, 0.3], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,3,0.5952025970182807,0.7647058834317583,0.001,0.7933333333333333,0.8293321278165077,0.6792452830188679,1.0,"[0.8688524590163934, 0.6792452830188679, 1.0, 0.7692307692307693]","[0.5533663728198067, 0.5224785127167432, 0.3846398741006851, 0.5691944693143551]","[0.7916666666666666, 0.7948717948717948]","[[0.8484848484848485, 0.8928571428571429], [0.8787878787878788, 0.35], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,4,0.5345431676817156,0.7828054260883935,0.001,0.8066666666666666,0.8387660900806586,0.7169811320754716,1.0,"[0.8688524590163934, 0.7169811320754716, 1.0, 0.7692307692307693]","[0.4740954337061429, 0.5031857993805183, 0.23288915455341339, 0.5530657859948965]","[0.7777777777777778, 0.8333333333333334]","[[0.8181818181818182, 0.9285714285714286], [0.8787878787878788, 0.45], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,5,0.4850167297669665,0.8009049760270442,0.001,0.8133333333333334,0.843483071212734,0.7358490566037735,1.0,"[0.8688524590163934, 0.7358490566037735, 1.0, 0.7692307692307693]","[0.39606996369166453, 0.5229403071527211, 0.12894415557384492, 0.5651754691050603]","[0.7777777777777778, 0.8461538461538461]","[[0.8181818181818182, 0.9285714285714286], [0.8787878787878788, 0.5], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,6,0.44742102658047395,0.8144796388181625,0.001,0.8266666666666667,0.8522984130005473,0.7547169811320755,1.0,"[0.8852459016393442, 0.7547169811320755, 1.0, 0.7692307692307693]","[0.3549004173303237, 0.531534353587425, 0.07552724070847035, 0.5991438194536246]","[0.7638888888888888, 0.8846153846153846]","[[0.8787878787878788, 0.8928571428571429], [0.7878787878787878, 0.7], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,7,0.4411540701648229,0.8212669691349047,0.001,0.8266666666666667,0.8522984130005473,0.7547169811320755,1.0,"[0.8852459016393442, 0.7547169811320755, 1.0, 0.7692307692307693]","[0.3546867771837555, 0.5271112739266652, 0.056930439174175264, 0.625930691567751]","[0.75, 0.8974358974358975]","[[0.8484848484848485, 0.9285714285714286], [0.7878787878787878, 0.7], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,8,0.4030098739792319,0.8257918535853943,0.001,0.82,0.8426830283851626,0.7307692307692307,1.0,"[0.8852459016393442, 0.7547169811320755, 1.0, 0.7307692307692307]","[0.35912948779639653, 0.5279710860395769, 0.05387495085597038, 0.6373185715996302]","[0.7916666666666666, 0.8461538461538461]","[[0.8787878787878788, 0.8928571428571429], [0.8484848484848485, 0.6], [null, 1.0], [0.0, 0.95]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,9,0.41343152361218205,0.8190045235383564,0.001,0.8,0.8236336815056271,0.6923076923076923,1.0,"[0.8852459016393442, 0.7169811320754716, 1.0, 0.6923076923076923]","[0.3678767333631633, 0.5152344798212344, 0.053775942884385586, 0.6540334522724152]","[0.7638888888888888, 0.8333333333333334]","[[0.8787878787878788, 0.8928571428571429], [0.7878787878787878, 0.6], [null, 1.0], [0.0, 0.9]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 11, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 10, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 1337, ""run_dir"": ""runs/sweep_E_erm_s1337"", ""run_name"": ""sweep_E_erm"", ""true_hetero_input_dim"": true, ""feature_mask"": [null, [0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 11, 12], [0, 1, 2, 3, 4, 5, 6, 8, 9, 10]], ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [269, 226], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [7, 18]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:48:04.838526,10,0.3925773029413698,0.8484162928292115,0.001,0.7933333333333333,0.8201539413262271,0.6923076923076923,1.0,"[0.8524590163934426, 0.7358490566037735, 1.0, 0.6923076923076923]","[0.3669719747649353, 0.5075137843114307, 0.053317734785377977, 0.6794778893773372]","[0.7777777777777778, 0.8076923076923077]","[[0.8484848484848485, 0.8571428571428571], [0.8484848484848485, 0.55], [null, 1.0], [0.0, 0.9]]","[61, 53, 10, 26]",,,
