config,dataset_info,groupdro_config,start_time,epoch,train_loss,train_acc,learning_rate,test_overall_acc,test_balanced_acc,test_worst_group_acc,test_best_group_acc,test_per_group_acc,test_per_group_loss,test_per_class_acc,test_per_group_per_class_acc,test_per_group_counts,groupdro_weights,groupdro_pi,groupdro_kl_penalty
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,1,0.7295875026090113,0.5248868799856885,0.001,0.5,0.3928293559209118,0.1,0.6226415094339622,"[0.5409836065573771, 0.6226415094339622, 0.1, 0.3076923076923077]","[0.6761460890535449, 0.6134685036146416, 0.7779453516006469, 0.7248702163879688]","[0.9861111111111112, 0.05128205128205128]","[[1.0, 0.0], [1.0, 0.0], [null, 0.1], [0.8333333333333334, 0.15]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,2,0.6720081031052775,0.5814479602947494,0.001,0.64,0.6711984582074282,0.5901639344262295,0.8,"[0.5901639344262295, 0.6792452830188679, 0.8, 0.6153846153846154]","[0.6445399913631502, 0.5361714604890572, 0.6640031516551972, 0.6869736588918246]","[0.9305555555555556, 0.3717948717948718]","[[1.0, 0.10714285714285714], [0.9696969696969697, 0.2], [null, 0.8], [0.3333333333333333, 0.7]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,3,0.6176627205507788,0.6968325783764076,0.001,0.76,0.8106961859668325,0.7358490566037735,1.0,"[0.7377049180327869, 0.7358490566037735, 1.0, 0.7692307692307693]","[0.6021340806953243, 0.47345449944149776, 0.566551274061203, 0.6424945214620004]","[0.8611111111111112, 0.6666666666666666]","[[0.9393939393939394, 0.5], [0.9393939393939394, 0.4], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,4,0.5713212616842797,0.7624434381049143,0.001,0.8066666666666666,0.8430964334150229,0.7540983606557377,1.0,"[0.7540983606557377, 0.8490566037735849, 1.0, 0.7692307692307693]","[0.5396889682675972, 0.41435284111297355, 0.456064248085022, 0.603628144814418]","[0.8472222222222222, 0.7692307692307693]","[[0.9090909090909091, 0.5714285714285714], [0.9393939393939394, 0.7], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,5,0.537532810981457,0.787330320248237,0.001,0.8266666666666667,0.8566287563349116,0.7692307692307693,1.0,"[0.7704918032786885, 0.8867924528301887, 1.0, 0.7692307692307693]","[0.4785380039791592, 0.36133228094791464, 0.3364571690559387, 0.5735132189897391]","[0.8472222222222222, 0.8076923076923077]","[[0.9090909090909091, 0.6071428571428571], [0.9393939393939394, 0.8], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,6,0.4916908978337076,0.8076923063437863,0.001,0.8533333333333334,0.8736408194342002,0.7692307692307693,1.0,"[0.819672131147541, 0.9056603773584906, 1.0, 0.7692307692307693]","[0.41885995962580697, 0.31883432565010944, 0.21101135164499282, 0.5649199176293153]","[0.8194444444444444, 0.8846153846153846]","[[0.8787878787878788, 0.75], [0.9090909090909091, 0.9], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,7,0.4753809733088739,0.8076923058043778,0.001,0.8466666666666667,0.8695424587784625,0.7692307692307693,1.0,"[0.8032786885245902, 0.9056603773584906, 1.0, 0.7692307692307693]","[0.38519287628472826, 0.29547687286054186, 0.12145402431488037, 0.567845683831435]","[0.7916666666666666, 0.8974358974358975]","[[0.8484848484848485, 0.75], [0.8787878787878788, 0.95], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,8,0.44241094616203824,0.8099547492432918,0.001,0.8466666666666667,0.8689238383021247,0.7692307692307693,1.0,"[0.819672131147541, 0.8867924528301887, 1.0, 0.7692307692307693]","[0.37538968124350564, 0.28327080628500795, 0.07272764444351196, 0.5778818119030732]","[0.8055555555555556, 0.8846153846153846]","[[0.8787878787878788, 0.75], [0.8787878787878788, 0.9], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,9,0.4052842419881087,0.8303167426208565,0.001,0.8533333333333334,0.8730221989578625,0.7692307692307693,1.0,"[0.8360655737704918, 0.8867924528301887, 1.0, 0.7692307692307693]","[0.37535343258107295, 0.2763347662985325, 0.04403549339622259, 0.5836044183144202]","[0.8333333333333334, 0.8717948717948718]","[[0.9090909090909091, 0.75], [0.9090909090909091, 0.85], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
"{""use_fedheart"": true, ""num_classes"": 2, ""stratified_batching"": true, ""train_frac"": 0.8, ""group_max_train_samples"": [null, null, 20, 25], ""batch_size"": 64, ""num_workers"": 0, ""epochs"": 100, ""early_stopping_patience"": 30, ""lr"": 0.001, ""weight_decay"": 0.0001, ""optimizer"": ""adam"", ""grad_clip"": 1.0, ""lr_scheduler"": ""cosine"", ""lr_min"": 1e-05, ""latent_dim"": 64, ""head_hidden"": 32, ""anchor_eps"": 0.0001, ""sep_samples_per_class"": 4, ""sep_method"": ""classifier"", ""sep_margin"": 1.0, ""lambda_fit"": 0.001, ""lambda_sep"": 0.001, ""log_interval"": 20, ""save_every"": 10, ""groups"": [{""name"": ""cleveland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""hungarian"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""switzerland"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}, {""name"": ""va_long_beach"", ""encoder"": ""mlp_tabular_ln"", ""input_dim"": 13, ""hidden_dim"": 64, ""dropout"": 0.1}], ""seed"": 42, ""run_dir"": ""runs/sweep_homo_erm_s42"", ""run_name"": ""sweep_homo_erm"", ""groupdro_enabled"": false}","{""num_groups"": 4, ""num_classes"": 2, ""train_total"": 495, ""test_total"": 150, ""train_group_counts"": [242, 208, 20, 25], ""test_group_counts"": [61, 53, 10, 26], ""train_class_counts"": [268, 227], ""test_class_counts"": [72, 78], ""train_group_class_counts"": [[131, 111], [130, 78], [1, 19], [6, 19]], ""test_group_class_counts"": [[33, 28], [33, 20], [0, 10], [6, 20]], ""group_proportions"": [0.4888888888888889, 0.4202020202020202, 0.04040404040404041, 0.050505050505050504]}",,2026-03-23T10:47:32.845722,10,0.42456831031255593,0.8325791839021364,0.001,0.8533333333333334,0.8736408194342002,0.7692307692307693,1.0,"[0.819672131147541, 0.9056603773584906, 1.0, 0.7692307692307693]","[0.3763166734582332, 0.2708747163151373, 0.028540226630866528, 0.5939858830892123]","[0.8194444444444444, 0.8846153846153846]","[[0.8787878787878788, 0.75], [0.9090909090909091, 0.9], [null, 1.0], [0.0, 1.0]]","[61, 53, 10, 26]",,,
