method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
FlexMoE,0,g1,209,927524.0,0.35406696796417236,0.13517219884681317,1.3977588415145874,0.6846005644225315,0.7131582770920559,,0.0,5
FlexMoE,0,g2,44,927524.0,0.4545454680919647,0.3356009070294785,1.349437952041626,0.7652611750550569,0.5841767769865691,,0.0,5
FlexMoE,0,g3,141,927524.0,0.23404254019260406,0.17865615140298383,1.4069744348526,0.7791703665225083,0.6278040683300918,,0.0,5
FlexMoE,0,g6,10700,927524.0,0.4268224239349365,0.2111216120195296,1.309328556060791,0.5871916648544888,0.7221368912063022,,0.0,5
FlexMoE,1,g1,209,927524.0,0.3684210479259491,0.20357142857142857,1.7839226722717285,0.6846005644225315,1.099322107849197,,0.0,5
FlexMoE,1,g2,44,927524.0,0.3181818127632141,0.14769030579050096,1.4563403129577637,0.7652611750550569,0.6910791379027068,,0.0,5
FlexMoE,1,g3,141,927524.0,0.3617021143436432,0.3427149558615076,1.3772189617156982,0.7791703665225083,0.59804859519319,,0.0,5
FlexMoE,1,g6,10700,927524.0,0.4320560693740845,0.22819477832043994,1.3062642812728882,0.5871916648544888,0.7190726164183994,,0.0,5
FlexMoE,7,g1,209,927524.0,0.3779904246330261,0.22499310725117178,1.353763461112976,0.6846005644225315,0.6691628966904446,,0.0,5
FlexMoE,7,g2,44,927524.0,0.25,0.1314229249011858,1.3817009925842285,0.7652611750550569,0.6164398175291717,,0.0,5
FlexMoE,7,g3,141,927524.0,0.3617021143436432,0.24581939799331104,1.4456229209899902,0.7791703665225083,0.666452554467482,,0.0,5
FlexMoE,7,g6,10700,927524.0,0.3967289626598358,0.20294090414089325,1.3645563125610352,0.5871916648544888,0.7773646477065463,,0.0,5
FlexMoE,11,g1,209,927524.0,0.6937798857688904,0.40685789320875226,0.8839542269706726,0.6846005644225315,0.19935366254814113,,0.0,5
FlexMoE,11,g2,44,927524.0,0.27272728085517883,0.10714285714285714,1.420079231262207,0.7652611750550569,0.6548180562071502,,0.0,5
FlexMoE,11,g3,141,927524.0,0.3829787075519562,0.2865429489719544,1.3624790906906128,0.7791703665225083,0.5833087241681045,,0.0,5
