method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,303,38946,0.759075899722159,0.7552969826893922,0.47814349677696477,0.3662309944629669,0.09636841965193794,0.8575158111049201,0.0,9
AnchorsOnly,7,g1,294,38946,0.7857142875389177,0.7577596502749959,0.49418261647224426,0.3458040058612823,0.11833873218825076,0.8269889988472158,0.0,9
AnchorsOnly,7,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2935382985487217,0.0571580007672309,0.21805206386417883,0.4250618593142452,0.0,9
AnchorsOnly,7,g3,200,38946,0.7350000023841858,0.6252166245312408,0.5921951174736023,0.3396419882774353,0.17107391953468326,0.64880355276907,0.0,9
AnchorsOnly,11,g0,303,38946,0.7887788855596738,0.7843458397929222,0.48397295349108505,0.3662309944629669,0.10219787636605819,0.8549723027858341,0.0,9
AnchorsOnly,11,g1,294,38946,0.7857142964593408,0.7561350847561256,0.503958770815207,0.3458040058612823,0.12811488653121356,0.813805226264947,0.0,9
AnchorsOnly,11,g2,123,38946,0.9349593520164489,0.4831452170904687,0.29660193755374686,0.0571580007672309,0.22111570286920407,0.43460586779780835,0.0,9
AnchorsOnly,11,g3,200,38946,0.7149999856948852,0.5601691316132393,0.5914947390556335,0.3396419882774353,0.17037354111671452,0.65001776384535,0.0,9
AnchorsOnly,22,g0,303,38946,0.7854785340847356,0.7826038685266572,0.4840801295274162,0.3662309944629669,0.10230505240238934,0.860840151475465,0.0,8
AnchorsOnly,22,g1,294,38946,0.8027210845833733,0.7734281391035063,0.5097938454678269,0.3458040058612823,0.13394996118383348,0.8208883936596073,0.0,8
AnchorsOnly,22,g2,123,38946,0.9268292784690856,0.48097920098072394,0.2806514777788301,0.0571580007672309,0.2051652430942873,0.48656769176387415,0.0,8
AnchorsOnly,22,g3,200,38946,0.7349999904632568,0.5631127509452796,0.5836406052112579,0.3396419882774353,0.1625194072723389,0.6304712643678161,0.0,8
AnchorsOnly,33,g0,303,38946,0.8052805288396653,0.8035656620339241,0.47753995096329416,0.3662309944629669,0.0957648738382673,0.8663313255928767,0.0,8
AnchorsOnly,33,g1,294,38946,0.8027210697835806,0.7734797712239253,0.500032168768701,0.3458040058612823,0.12418828448470763,0.8115972313072205,0.0,8
AnchorsOnly,33,g2,123,38946,0.9349593520164489,0.4831452170904687,0.29485456827210216,0.0571580007672309,0.2193683335875593,0.4519264757864969,0.0,8
AnchorsOnly,33,g3,200,38946,0.7850000143051148,0.6577669740916895,0.5655838370323181,0.3396419882774353,0.14446263909339907,0.6545026123301986,0.0,8
AnchorsOnly,42,g0,303,38946,0.7854785458876354,0.7822460631395117,0.47857656573305035,0.3662309944629669,0.09680148860802351,0.859722678617068,0.0,8
AnchorsOnly,42,g1,294,38946,0.7857142964593408,0.760770010994003,0.5063557424107377,0.3458040058612823,0.13051185812674418,0.8267539304059176,0.0,8
AnchorsOnly,42,g2,123,38946,0.9268292784690856,0.48097920098072394,0.28790818869583,0.0571580007672309,0.21242195401128713,0.3715093672675857,0.0,8
AnchorsOnly,42,g3,200,38946,0.725,0.5444163769106561,0.5632174015045166,0.3396419882774353,0.14209620356559755,0.6740177638453502,0.0,8
AnchorsOnly,44,g0,303,38946,0.7887788847728138,0.7854331188213026,0.47594051677795135,0.3662309944629669,0.09416543965292445,0.8696252065682759,0.0,8
AnchorsOnly,44,g1,294,38946,0.7959183568046206,0.7689143027163712,0.5020438598937729,0.3458040058612823,0.1261999756097794,0.8191335071034318,0.0,8
AnchorsOnly,44,g2,123,38946,0.9349593520164489,0.4831452170904687,0.28658637937491505,0.0571580007672309,0.21110014469037217,0.43389890420643334,0.0,8
AnchorsOnly,44,g3,200,38946,0.7150000095367431,0.5366813956271496,0.6003971099853516,0.3396419882774353,0.17927591204643253,0.5997251828631139,0.0,8
AnchorsOnly,55,g0,303,38946,0.7887788615604439,0.7867768545421094,0.4647016656084029,0.3662309944629669,0.08292658848337608,0.8707439196300584,0.0,9
AnchorsOnly,55,g1,294,38946,0.8095238006033865,0.7818483717707729,0.4902772992646613,0.3458040058612823,0.1144334149806678,0.8321870735941628,0.0,9
AnchorsOnly,55,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2815090446937375,0.0571580007672309,0.20602281000919462,0.4902792506185931,0.0,9
AnchorsOnly,55,g3,200,38946,0.7200000047683716,0.5931370628160489,0.5968734622001648,0.3396419882774353,0.17575226426124577,0.6201138975966561,0.0,9
AnchorsOnly,1337,g0,303,38946,0.7425742668680625,0.7389902166823357,0.49550857323624514,0.3662309944629669,0.11373349611121829,0.8494256171648911,0.0,9
AnchorsOnly,1337,g1,294,38946,0.7925170094383006,0.7705469609162359,0.5123937329670198,0.3458040058612823,0.13654984868302641,0.8280053247829832,0.0,9
AnchorsOnly,1337,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2811034743378802,0.0571580007672309,0.20561723965333736,0.44185224460940264,0.0,9
AnchorsOnly,1337,g3,200,38946,0.7450000047683716,0.5939408329126071,0.5728397965431213,0.3396419882774353,0.1517185986042023,0.6500741901776386,0.0,9
AnchorsOnly,2024,g0,303,38946,0.7854785451007755,0.7825564699327076,0.4636127786471112,0.3662309944629669,0.08183770152208435,0.872638603146029,0.0,10
AnchorsOnly,2024,g1,294,38946,0.7959183628867272,0.7622269167235453,0.5049194944959109,0.3458040058612823,0.12907561021191738,0.8165281599760653,0.0,10
AnchorsOnly,2024,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2940702874486039,0.0571580007672309,0.21858405276406107,0.36196535878402264,0.0,10
AnchorsOnly,2024,g3,200,38946,0.7200000047683716,0.5541829942932883,0.5897846460342407,0.3396419882774353,0.1686634480953217,0.6328913270637408,0.0,10
AnchorsOnly,31337,g0,303,38946,0.7854785482482155,0.7816319267533883,0.4648515263406357,0.3662309944629669,0.08307644921560886,0.8642400450362497,0.0,7
AnchorsOnly,31337,g1,294,38946,0.7993197282966302,0.7725982414622002,0.5061106461854208,0.3458040058612823,0.13026676190142733,0.8198879442166231,0.0,7
AnchorsOnly,31337,g2,123,38946,0.9268292784690856,0.48097920098072394,0.28206320700606674,0.0571580007672309,0.2065769723215239,0.46076352067868503,0.0,7
AnchorsOnly,31337,g3,200,38946,0.7649999976158142,0.6073193150430367,0.5492294311523438,0.3396419882774353,0.1281082332134247,0.6453281086729363,0.0,7
ERM,7,g0,303,11618,0.7392739185405643,0.7382737100653757,0.5655932322193687,0.3662309944629669,0.18381815509434188,0.8361017153302631,0.0,10
ERM,7,g1,294,11618,0.7448979683068334,0.7428998658041668,0.5296993740156394,0.3458040058612823,0.15385548973164595,0.8981634730829146,0.0,10
ERM,7,g2,123,11618,0.7642276534220067,0.5603862179555525,0.44650948096097,0.0571580007672309,0.37102324627642713,0.8195475433015199,0.0,10
ERM,7,g3,200,11618,0.6950000166893006,0.6120481832603398,0.5858338117599488,0.3396419882774353,0.16471261382102967,0.6960898641588297,0.0,10
ERM,11,g0,303,11618,0.6963696363735514,0.6941998704373514,0.6164476064958981,0.3662309944629669,0.23467252937087132,0.797666472996506,0.0,10
ERM,11,g1,294,11618,0.7653061159613992,0.7626227469803392,0.5246040109468966,0.3458040058612823,0.14876012666290314,0.8924758033243533,0.0,10
ERM,11,g2,123,11618,0.707317078985819,0.5496646332458348,0.5019801353536001,0.0571580007672309,0.4264939006690573,0.8382820784729585,0.0,10
ERM,11,g3,200,11618,0.6700000166893005,0.5852069141886618,0.6453062057495117,0.3396419882774353,0.22418500781059264,0.648835945663532,0.0,10
ERM,22,g0,303,11618,0.7095709543416996,0.706199770420228,0.5817078896875035,0.3662309944629669,0.1999328125624767,0.8205957004430602,0.0,10
ERM,22,g1,294,11618,0.7482993189169436,0.7464414381026899,0.5341061675021438,0.3458040058612823,0.15826228321815028,0.893762961700663,0.0,10
ERM,22,g2,123,11618,0.7398374090349771,0.5656306395074046,0.4768976007050615,0.0571580007672309,0.4014113660205187,0.8080593849416755,0.0,10
ERM,22,g3,200,11618,0.6800000071525574,0.6002494458816815,0.6071540951728821,0.3396419882774353,0.18603289723396302,0.6678516196447231,0.0,10
