method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,303,37538,0.6303630365003453,0.626785857545814,0.6503354869659977,0.575643002986908,0.08000088249496108,0.7061360649953885,0.0,5
AnchorsOnly,7,g1,294,37538,0.8231292589992082,0.8066079734704263,0.5233852578466441,0.3461660146713257,0.1739460031191508,0.8273534826971992,0.0,5
AnchorsOnly,7,g2,123,37538,0.9349593520164489,0.4831452170904687,0.27507557956183826,0.0,0.24845781595241734,0.820254506892895,0.0,5
AnchorsOnly,7,g3,200,37538,0.7450000047683716,0.4269151138716355,0.5897703051567078,0.4535259902477264,0.12135291099548344,0.5045726227795193,0.0,5
AnchorsOnly,11,g0,303,37538,0.6303630372872053,0.6240235880528847,0.6386541692730617,0.575643002986908,0.06831956480202502,0.7099117401819548,0.0,5
AnchorsOnly,11,g1,294,37538,0.8163265281794022,0.7987249137484553,0.5314970483788016,0.3461660146713257,0.18205779365130834,0.8315746818700632,0.0,5
AnchorsOnly,11,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2730664436410113,0.0,0.24644868003159034,0.820254506892895,0.0,5
AnchorsOnly,11,g3,200,37538,0.7300000071525574,0.4345341614906832,0.5811263084411621,0.4535259902477264,0.11270891427993777,0.5363260188087774,0.0,5
AnchorsOnly,22,g0,303,37538,0.6336633612220437,0.630367288008941,0.6404166314074702,0.575643002986908,0.07008202693643349,0.6974402549381923,0.0,5
AnchorsOnly,22,g1,294,37538,0.8095238093210726,0.7910993567154033,0.5144197715788471,0.3461660146713257,0.16498051685135381,0.8328457438285579,0.0,5
AnchorsOnly,22,g2,123,37538,0.9349593520164489,0.4831452170904687,0.29652631258576867,0.0,0.2699085489763477,0.8117709437963946,0.0,5
AnchorsOnly,22,g3,200,37538,0.7450000047683716,0.4269151138716355,0.5739346981048584,0.4535259902477264,0.10551730394363407,0.5529049111807732,0.0,5
AnchorsOnly,33,g0,303,37538,0.6303630246974454,0.6263455326809493,0.6469125698501914,0.575643002986908,0.07657796537915472,0.7006385410366434,0.0,5
AnchorsOnly,33,g1,294,37538,0.8061224471549598,0.7901952180745618,0.5186334936594477,0.3461660146713257,0.16919423893195432,0.825213758752964,0.0,5
AnchorsOnly,33,g2,123,37538,0.9349593520164489,0.4831452170904687,0.2903325388102027,0.0,0.2637147752007818,0.820254506892895,0.0,5
AnchorsOnly,33,g3,200,37538,0.7450000047683716,0.4269151138716355,0.5817689418792724,0.4535259902477264,0.11335154771804813,0.5188902821316614,0.0,5
AnchorsOnly,42,g0,303,37538,0.6402640275829302,0.6388567648246549,0.640295145928663,0.575643002986908,0.0699605414576263,0.7180008923511398,0.0,5
AnchorsOnly,42,g1,294,37538,0.8163265192589793,0.7976927383613699,0.515612632238946,0.3461660146713257,0.16617337751145267,0.8092298483007397,0.0,5
AnchorsOnly,42,g2,123,37538,0.9349593520164489,0.4831452170904687,0.2918382340330419,0.0,0.2652204704236209,0.8117709437963946,0.0,5
AnchorsOnly,42,g3,200,37538,0.7450000047683716,0.4269151138716355,0.5902237296104431,0.4535259902477264,0.12180633544921879,0.49789759665621736,0.0,5
AnchorsOnly,44,g0,303,37538,0.6435643418787336,0.6415824861234016,0.6411863199555048,0.575643002986908,0.07085171548446806,0.7096620624364024,0.0,5
AnchorsOnly,44,g1,294,37538,0.8095237945212799,0.791278935672129,0.5330007823348857,0.3461660146713257,0.1835615276073923,0.8156836426170476,0.0,5
AnchorsOnly,44,g2,123,37538,0.9349593520164489,0.4831452170904687,0.2915067786608285,0.0,0.26488901505140755,0.820254506892895,0.0,5
AnchorsOnly,44,g3,200,37538,0.725,0.41978021978021973,0.6032754063606263,0.4535259902477264,0.13485801219940188,0.48461233019853706,0.0,5
AnchorsOnly,55,g0,303,37538,0.6336633515830087,0.6311621493796613,0.6511307008589061,0.575643002986908,0.08079609638786946,0.6936583291265634,0.0,5
AnchorsOnly,55,g1,294,37538,0.8163265401408786,0.7963455307748385,0.5227548256009614,0.3461660146713257,0.1733155708734681,0.8226062019026573,0.0,5
