method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,303,37538,0.636963701484227,0.6333959588869074,0.6365050242678953,0.575643002986908,0.06617041979685868,0.7184871016863591,0.0,9
AnchorsOnly,7,g1,294,37538,0.8129251777720289,0.7919406157071699,0.47430720540131033,0.3461660146713257,0.12486795067381697,0.831689838805843,0.0,9
AnchorsOnly,7,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23787693449152195,0.0,0.21125917088210097,0.643513609049134,0.0,9
AnchorsOnly,7,g3,200,37538,0.6899999976158142,0.40762766645119586,0.6002168655395508,0.4535259902477264,0.13179947137832645,0.5731912225705329,0.0,9
AnchorsOnly,11,g0,303,37538,0.6171617083030172,0.6087261943855103,0.6415713913369887,0.575643002986908,0.07123678686595199,0.702216327783572,0.0,9
AnchorsOnly,11,g1,294,37538,0.8197278935893052,0.801533482514328,0.48393769471012815,0.3461660146713257,0.13449843998263483,0.8149000706734326,0.0,9
AnchorsOnly,11,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23464422291371878,0.0,0.20802645930429783,0.820254506892895,0.0,9
AnchorsOnly,11,g3,200,37538,0.6550000071525574,0.43236796167742464,0.6039905726909638,0.4535259902477264,0.1355731785297394,0.5426353187042843,0.0,9
AnchorsOnly,22,g0,303,37538,0.6336633633859087,0.6266579576028551,0.633817987276776,0.575643002986908,0.0634833828057393,0.703468685162167,0.0,10
AnchorsOnly,22,g1,294,37538,0.8231292589992082,0.8045222194749962,0.48411224731782665,0.3461660146713257,0.13467299259033333,0.8056107933927483,0.0,10
AnchorsOnly,22,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23151771784797917,0.0,0.2048999542385582,0.8290915517850831,0.0,10
AnchorsOnly,22,g3,200,37538,0.7149999976158142,0.44703180877093923,0.589969277381897,0.4535259902477264,0.12155188322067265,0.5659770114942528,0.0,10
AnchorsOnly,33,g0,303,37538,0.6204620351885805,0.6162526988195629,0.6395857471837463,0.575643002986908,0.06925114271270953,0.70558328154244,0.0,6
AnchorsOnly,33,g1,294,37538,0.802721090462743,0.7787934141826502,0.48481038192502496,0.3461660146713257,0.1353711271975316,0.8070466734537626,0.0,6
AnchorsOnly,33,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2430843032472502,0.0,0.21646653963782922,0.634676564156946,0.0,6
AnchorsOnly,33,g3,200,37538,0.7,0.44441087324939516,0.6067092001438141,0.4535259902477264,0.13829180598258975,0.5104932079414839,0.0,6
AnchorsOnly,42,g0,303,37538,0.6435643648943885,0.6386311612586023,0.6334279148098659,0.575643002986908,0.06309331033882921,0.7117878702552795,0.0,10
AnchorsOnly,42,g1,294,37538,0.8231292500787851,0.8055790647581536,0.47128381554772253,0.3461660146713257,0.12184456082022915,0.8047131117754104,0.0,10
AnchorsOnly,42,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23662260029374094,0.0,0.21000483668432002,0.8117709437963946,0.0,10
AnchorsOnly,42,g3,200,37538,0.6849999904632569,0.43653557014170835,0.6006703615188599,0.4535259902477264,0.13225296735763553,0.5756990595611284,0.0,10
AnchorsOnly,44,g0,303,37538,0.6402640149931703,0.6352918668386435,0.6321610682474899,0.575643002986908,0.0618264637764531,0.7140521839882401,0.0,8
AnchorsOnly,44,g1,294,37538,0.8129251599311829,0.7914782116717062,0.4778612233749052,0.3461660146713257,0.12842196864741187,0.8214215809543414,0.0,8
AnchorsOnly,44,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2350107702782483,0.0,0.2083930066688274,0.820254506892895,0.0,8
