method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,533,30818,0.5947467088699341,0.524390243902439,0.6596749424934387,0.2790879905223846,0.38058695197105413,0.7782182835820897,0.0,3
AnchorsOnly,7,g1,530,30818,0.7849056720733643,0.618560606060606,0.388493537902832,0.2423949986696243,0.14609853923320767,0.7859261896285747,0.0,3
AnchorsOnly,7,g2,2338,30818,0.7656116485595703,0.6184494064813546,0.4059595167636871,0.252005010843277,0.1539545059204101,0.8141051136082569,0.0,3
AnchorsOnly,11,g0,533,30818,0.6041275858879089,0.5346095434362494,0.6247376799583435,0.2790879905223846,0.3456496894359589,0.7892457356076759,0.0,2
AnchorsOnly,11,g1,530,30818,0.7603773474693298,0.607153070812833,0.4017136991024017,0.2423949986696243,0.15931870043277738,0.7975554764447609,0.0,2
AnchorsOnly,11,g2,2338,30818,0.7604790329933167,0.6121028830383299,0.4123044312000274,0.252005010843277,0.16029942035675043,0.8168495994079666,0.0,2
AnchorsOnly,22,g0,533,30818,0.6435272097587585,0.5499911126910771,0.5544961094856262,0.2790879905223846,0.27540811896324163,0.7756196695095949,0.0,3
AnchorsOnly,22,g1,530,30818,0.7716981172561646,0.6038301158301158,0.3903161585330963,0.2423949986696243,0.147921159863472,0.7945492662473794,0.0,3
AnchorsOnly,22,g2,2338,30818,0.7382377982139587,0.603772707133363,0.4337731599807739,0.252005010843277,0.18176814913749695,0.8215134444187211,0.0,3
AnchorsOnly,33,g0,533,30818,0.6735459566116333,0.5726332669763327,0.539036214351654,0.2790879905223846,0.25994822382926946,0.775419776119403,0.0,2
AnchorsOnly,33,g1,530,30818,0.7169811129570007,0.5835515976951283,0.480700820684433,0.2423949986696243,0.23830582201480868,0.7829199794311934,0.0,2
AnchorsOnly,33,g2,2338,30818,0.7613344788551331,0.6073956017367711,0.4046434760093689,0.252005010843277,0.15263846516609192,0.8072696224798517,0.0,2
AnchorsOnly,42,g0,533,30818,0.6135084629058838,0.5260136068517751,0.6276743412017822,0.2790879905223846,0.34858635067939764,0.7541311300639659,0.0,9
AnchorsOnly,42,g1,530,30818,0.7396226525306702,0.5931603773584906,0.4919835031032562,0.2423949986696243,0.24958850443363192,0.7597800719908232,0.0,9
AnchorsOnly,42,g2,2338,30818,0.7378100752830505,0.5973136900712908,0.4354141652584076,0.252005010843277,0.18340915441513062,0.8146462937569379,0.0,9
AnchorsOnly,44,g0,533,30818,0.6228892803192139,0.532849611700017,0.6235878467559814,0.2790879905223846,0.34449985623359686,0.7549973347547974,0.0,9
AnchorsOnly,44,g1,530,30818,0.7283018827438354,0.5813586097946287,0.5074931383132935,0.2423949986696243,0.26509813964366913,0.7578023021241248,0.0,9
AnchorsOnly,44,g2,2338,30818,0.7621899247169495,0.6128793248241482,0.4069561064243316,0.252005010843277,0.15495109558105463,0.8168100249912442,0.0,9
AnchorsOnly,55,g0,533,30818,0.5909943580627441,0.5166799773718014,0.6489391326904297,0.2790879905223846,0.3698511421680451,0.7693230277185502,0.0,6
AnchorsOnly,55,g1,530,30818,0.7716981172561646,0.5933392095067185,0.4213180840015411,0.2423949986696243,0.17892308533191678,0.7682449270202919,0.0,6
AnchorsOnly,55,g2,2338,30818,0.731394350528717,0.596446731201592,0.4286467432975769,0.252005010843277,0.17664173245429993,0.8103455440196129,0.0,6
AnchorsOnly,1337,g0,533,30818,0.6529080867767334,0.557000696363187,0.5439062118530273,0.2790879905223846,0.26481822133064276,0.7702225479744137,0.0,1
AnchorsOnly,1337,g1,530,30818,0.7452830076217651,0.6061648548231733,0.4578509926795959,0.2423949986696243,0.2154559940099716,0.7942328230687078,0.0,1
AnchorsOnly,1337,g2,2338,30818,0.740804135799408,0.5978357131178811,0.4506409466266632,0.252005010843277,0.19863593578338623,0.7896263581445139,0.0,1
AnchorsOnly,2024,g0,533,30818,0.6885553598403931,0.5883212358086729,0.5034328699111938,0.2790879905223846,0.22434487938880926,0.7860141257995735,0.0,1
AnchorsOnly,2024,g1,530,30818,0.796226441860199,0.6354047236872278,0.3925654590129852,0.2423949986696243,0.15017046034336087,0.7955381511807287,0.0,1
AnchorsOnly,2024,g2,2338,30818,0.7399486899375916,0.6009078443637621,0.4633324444293976,0.252005010843277,0.2113274335861206,0.8036258080601215,0.0,1
AnchorsOnly,31337,g0,533,30818,0.598499059677124,0.523884659052962,0.6164268851280212,0.2790879905223846,0.33733889460563665,0.7652585287846482,0.0,7
AnchorsOnly,31337,g1,530,30818,0.7301886677742004,0.5828264758497317,0.4708315730094909,0.2423949986696243,0.2284365743398666,0.7609271785135081,0.0,7
AnchorsOnly,31337,g2,2338,30818,0.7412317991256714,0.5969014913752837,0.4143786132335663,0.252005010843277,0.1623736023902893,0.8140200286123034,0.0,7
ERM,7,g0,533,11426,0.6716697812080383,0.5732156502084162,0.5102585554122925,0.2790879905223846,0.2311705648899079,0.7868803304904051,0.0,7
ERM,7,g1,530,11426,0.7245283126831055,0.5920841767881242,0.4402758777141571,0.2423949986696243,0.1978808790445328,0.8098769827142913,0.0,7
