method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,533,29346,0.6472795605659485,0.5467687074829932,0.5450566411018372,0.277099996805191,0.2679566442966462,0.769556236673774,0.0,5
AnchorsOnly,7,g1,530,29346,0.5962263941764832,0.4602748591442058,0.6410826444625854,0.290922999382019,0.35015964508056646,0.5999762667615995,0.0,5
AnchorsOnly,7,g2,2338,29346,0.6295979619026184,0.510838483356446,0.6605396270751953,0.2894389927387237,0.3711006343364716,0.7069059335901713,0.0,5
AnchorsOnly,11,g0,533,29346,0.6341463327407837,0.5467943994104643,0.5805568099021912,0.277099996805191,0.3034568130970002,0.7742537313432835,0.0,5
AnchorsOnly,11,g1,530,29346,0.7075471878051758,0.531307944658394,0.600877046585083,0.290922999382019,0.309954047203064,0.6152446501325106,0.0,5
AnchorsOnly,11,g2,2338,29346,0.6680923700332642,0.5364297161172161,0.6336056590080261,0.2894389927387237,0.3441666662693024,0.707934868424958,0.0,5
AnchorsOnly,22,g0,533,29346,0.6735459566116333,0.5663505779373808,0.5406754016876221,0.277099996805191,0.2635754048824311,0.7731210021321961,0.0,5
AnchorsOnly,22,g1,530,29346,0.7490565776824951,0.5530092137553186,0.5569313764572144,0.290922999382019,0.26600837707519537,0.631066809066097,0.0,5
AnchorsOnly,22,g2,2338,29346,0.7532078623771667,0.5840400251236216,0.5223194360733032,0.2894389927387237,0.23288044333457952,0.7053605526171551,0.0,5
AnchorsOnly,33,g0,533,29346,0.6810506582260132,0.5720452656238193,0.5368572473526001,0.277099996805191,0.2597572505474091,0.7659914712153518,0.0,5
AnchorsOnly,33,g1,530,29346,0.6150943636894226,0.490615106286748,0.6544777154922485,0.290922999382019,0.36355471611022955,0.6427752066769511,0.0,5
AnchorsOnly,33,g2,2338,29346,0.7271171808242798,0.5690369896116594,0.5516538619995117,0.2894389927387237,0.262214869260788,0.7063538704768915,0.0,5
AnchorsOnly,42,g0,533,29346,0.6810506582260132,0.5763195301687054,0.5078359246253967,0.277099996805191,0.23073592782020574,0.7736207356076759,0.0,5
AnchorsOnly,42,g1,530,29346,0.650943398475647,0.4942617666021922,0.6275660395622253,0.290922999382019,0.33664304018020635,0.5979589414975673,0.0,5
AnchorsOnly,42,g2,2338,29346,0.7219846248626709,0.5672638844594287,0.5824208855628967,0.2894389927387237,0.29298189282417303,0.7089875479097782,0.0,5
AnchorsOnly,44,g0,533,29346,0.692307710647583,0.5784529320987655,0.4994859993457794,0.277099996805191,0.22238600254058843,0.7621934968017058,0.0,5
AnchorsOnly,44,g1,530,29346,0.647169828414917,0.5036434205584074,0.6223062872886658,0.290922999382019,0.3313832879066468,0.6225623986392944,0.0,5
AnchorsOnly,44,g2,2338,29346,0.7621899247169495,0.582431335060236,0.5067829489707947,0.2894389927387237,0.21734395623207098,0.7023469607837318,0.0,5
AnchorsOnly,55,g0,533,29346,0.7166979312896729,0.5975628659576276,0.4851347208023071,0.277099996805191,0.2080347239971161,0.7744203091684434,0.0,5
AnchorsOnly,55,g1,530,29346,0.501886785030365,0.4210909572355355,0.7325804233551025,0.290922999382019,0.44165742397308355,0.5752145880305367,0.0,5
AnchorsOnly,55,g2,2338,29346,0.7258340716362,0.5694702873888634,0.5858612656593323,0.2894389927387237,0.2964222729206086,0.7073155288032498,0.0,5
AnchorsOnly,1337,g0,533,29346,0.5872420072555542,0.5203854585910147,0.6519168615341187,0.277099996805191,0.37481686472892767,0.7707222814498934,0.0,5
AnchorsOnly,1337,g1,530,29346,0.8169811367988586,0.5830190362637986,0.5245707631111145,0.290922999382019,0.23364776372909551,0.6190815236739052,0.0,5
AnchorsOnly,1337,g2,2338,29346,0.5769888758659363,0.480642245004992,0.7411537170410156,0.2894389927387237,0.4517147243022919,0.7044740856825696,0.0,5
AnchorsOnly,2024,g0,533,29346,0.5928705334663391,0.5180570776160573,0.6304746270179749,0.277099996805191,0.35337463021278387,0.7746535181236673,0.0,5
AnchorsOnly,2024,g1,530,29346,0.6962264180183411,0.5057888670732484,0.5390049815177917,0.290922999382019,0.24808198213577276,0.6094695621217515,0.0,5
