method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,303,38946,0.768976892181749,0.7647857356500656,0.48739901922716955,0.3662309944629669,0.10562394210214268,0.8555580756488347,0.0,11
AnchorsOnly,7,g1,294,38946,0.7925169974768242,0.7655917482201389,0.4973303320861998,0.3458040058612823,0.12148644780220634,0.8257505381565532,0.0,11
AnchorsOnly,7,g2,123,38946,0.9349593520164489,0.4831452170904687,0.29059386931783787,0.0571580007672309,0.215107634633295,0.3656769176387416,0.0,11
AnchorsOnly,7,g3,200,38946,0.7399999976158143,0.6024687505293445,0.563685292005539,0.3396419882774353,0.14256409406661988,0.6615496342737722,0.0,11
AnchorsOnly,11,g0,303,38946,0.7953795391340853,0.793098151385989,0.4849141676827232,0.3662309944629669,0.10313909055769639,0.8551933070291158,0.0,13
AnchorsOnly,11,g1,294,38946,0.7755102091500549,0.7476772676313118,0.5076939774816539,0.3458040058612823,0.13185009319766042,0.8133215168660927,0.0,13
AnchorsOnly,11,g2,123,38946,0.9349593520164489,0.4831452170904687,0.28808278402661885,0.0571580007672309,0.21259654934207603,0.436373276776246,0.0,13
AnchorsOnly,11,g3,200,38946,0.7200000047683716,0.5459680655652999,0.5809033751487732,0.3396419882774353,0.15978217720985416,0.6086927899686521,0.0,13
AnchorsOnly,22,g0,303,38946,0.7920792108715171,0.7896971903917217,0.48792532528981125,0.3662309944629669,0.1061502481647844,0.8508964487718614,0.0,10
AnchorsOnly,22,g1,294,38946,0.8061224351934835,0.7797025488025752,0.49812353944697346,0.3458040058612823,0.12227965516298,0.8216378876958899,0.0,10
AnchorsOnly,22,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2670896494291662,0.0571580007672309,0.1916034147446233,0.5015906680805938,0.0,10
AnchorsOnly,22,g3,200,38946,0.7349999904632568,0.5450343587492402,0.5694278001785278,0.3396419882774353,0.1483066022396088,0.6263207941483803,0.0,10
AnchorsOnly,33,g0,303,38946,0.7953795257574654,0.7938979286546467,0.4747038627221639,0.3662309944629669,0.09292878559713708,0.8639783621219266,0.0,11
AnchorsOnly,33,g1,294,38946,0.7925169974768242,0.7633590606124795,0.5083671338906904,0.3458040058612823,0.13252324960669698,0.8136155880516783,0.0,11
AnchorsOnly,33,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2846604999972553,0.0571580007672309,0.20917426531271244,0.38812301166489915,0.0,11
AnchorsOnly,33,g3,200,38946,0.7700000047683716,0.632262753586283,0.5447440147399902,0.3396419882774353,0.12362281680107118,0.6602246603970743,0.0,11
AnchorsOnly,42,g0,303,38946,0.7689769146072589,0.7661626174397437,0.4728923234412379,0.3662309944629669,0.09111724631621106,0.863073212083113,0.0,10
AnchorsOnly,42,g1,294,38946,0.7755102121911082,0.747387118427306,0.5053572213771392,0.3458040058612823,0.1295133370931457,0.8248450649095117,0.0,10
AnchorsOnly,42,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2818291836637791,0.0571580007672309,0.20634294897923627,0.34906327324142805,0.0,10
AnchorsOnly,42,g3,200,38946,0.75,0.5670580689374518,0.5442971348762512,0.3396419882774353,0.12317593693733217,0.6695099268547544,0.0,10
AnchorsOnly,44,g0,303,38946,0.7953795369702203,0.7926989583498235,0.4610494934883055,0.3662309944629669,0.07927441636327862,0.8742082045506137,0.0,15
AnchorsOnly,44,g1,294,38946,0.8027210845833733,0.779151165135596,0.49049928095065004,0.3458040058612823,0.11465539666665657,0.8224028393201325,0.0,15
AnchorsOnly,44,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2749204499934747,0.0571580007672309,0.19943421530893185,0.4213503004595263,0.0,15
AnchorsOnly,44,g3,200,38946,0.7300000071525574,0.5568779178338003,0.5986396074295044,0.3396419882774353,0.17751840949058537,0.5939237199582028,0.0,15
AnchorsOnly,55,g0,303,38946,0.7953795279213304,0.7933614124811691,0.45936033552629324,0.3662309944629669,0.07758525840126641,0.8687886149726082,0.0,10
AnchorsOnly,55,g1,294,38946,0.795918350925251,0.7648456510808472,0.48901091120680984,0.3458040058612823,0.11316702692281637,0.8214160671196118,0.0,10
AnchorsOnly,55,g2,123,38946,0.9349593520164489,0.4831452170904687,0.28835267943095383,0.0571580007672309,0.212866444746411,0.48020501944149874,0.0,10
AnchorsOnly,55,g3,200,38946,0.7449999928474427,0.5691607758183845,0.5656284928321839,0.3396419882774353,0.14450729489326478,0.626582027168234,0.0,10
AnchorsOnly,1337,g0,303,38946,0.7623762236569974,0.7600933374783536,0.4852612053993905,0.3662309944629669,0.10348612827436364,0.8553707553295012,0.0,13
AnchorsOnly,1337,g1,294,38946,0.7993197163351539,0.7730596800361986,0.4931463319428113,0.3458040058612823,0.11730244765881784,0.8142847256703326,0.0,13
AnchorsOnly,1337,g2,123,38946,0.9349593520164489,0.4831452170904687,0.26818175359470087,0.0571580007672309,0.192695518910158,0.4160480735242134,0.0,13
AnchorsOnly,1337,g3,200,38946,0.7400000095367432,0.5807757068668239,0.5780028343200684,0.3396419882774353,0.15688163638114933,0.6296854754440961,0.0,13
AnchorsOnly,2024,g0,303,38946,0.7887788735600588,0.7870062824789286,0.46197176845160254,0.3662309944629669,0.08019669132657567,0.874435955500312,0.0,13
AnchorsOnly,2024,g1,294,38946,0.7959183628867272,0.768604791136594,0.5154076981909421,0.3458040058612823,0.1395638139069486,0.8037815041037383,0.0,13
AnchorsOnly,2024,g2,123,38946,0.9349593520164489,0.4831452170904687,0.2829795307744809,0.0571580007672309,0.20749329608993808,0.43160127253446445,0.0,13
AnchorsOnly,2024,g3,200,38946,0.7299999952316284,0.551068722943723,0.5747659564018249,0.3396419882774353,0.15364475846290593,0.6380344827586206,0.0,13
