method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,303,37538,0.6336633641727687,0.6304952991297913,0.6420315022122348,0.575643002986908,0.07169689774119814,0.708163351057328,0.0,28
AnchorsOnly,7,g1,294,37538,0.8095238093210726,0.7893347994752721,0.47928595522634027,0.3461660146713257,0.12984670049884686,0.807626940414266,0.0,28
AnchorsOnly,7,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2374275863412919,0.0,0.21080982273187093,0.820254506892895,0.0,28
AnchorsOnly,7,g3,200,37538,0.6799999952316285,0.4438795986622074,0.5968349814414978,0.4535259902477264,0.12841758728027347,0.5771912225705329,0.0,28
AnchorsOnly,11,g0,303,37538,0.6336633649596287,0.6303525567496335,0.6407447091423639,0.575643002986908,0.07041010467132719,0.7062068061964927,0.0,25
AnchorsOnly,11,g1,294,37538,0.8163265253410859,0.7973793065583954,0.4873286101485596,0.3461660146713257,0.13788935542106628,0.8026402659861307,0.0,25
AnchorsOnly,11,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23604379679129375,0.0,0.2094260331818728,0.820254506892895,0.0,25
AnchorsOnly,11,g3,200,37538,0.6649999976158142,0.4504010356424917,0.5932907462120056,0.4535259902477264,0.12487335205078129,0.5620877742946708,0.0,25
AnchorsOnly,22,g0,303,37538,0.6369637022710869,0.6314053293048484,0.6395715441640848,0.575643002986908,0.06923693969304806,0.7066257469000868,0.0,30
AnchorsOnly,22,g1,294,37538,0.8163265281794022,0.7959943152953552,0.49006986364620886,0.3461660146713257,0.14063060891871548,0.7880072502790011,0.0,30
AnchorsOnly,22,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2373503582264349,0.0,0.21073259461701402,0.8290915517850831,0.0,30
AnchorsOnly,22,g3,200,37538,0.7099999904632568,0.4405104087089381,0.5955991506576538,0.4535259902477264,0.1271817564964295,0.5763657262277951,0.0,30
AnchorsOnly,33,g0,303,37538,0.6270626991888871,0.6223530421217096,0.644841177432057,0.575643002986908,0.0745065729610204,0.7019317259106863,0.0,28
AnchorsOnly,33,g1,294,37538,0.8163265401408786,0.7971794994412463,0.47745114554758783,0.3461660146713257,0.12801189082009448,0.8009493357237719,0.0,28
AnchorsOnly,33,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2422561250566467,0.0,0.21563836144722573,0.634676564156946,0.0,28
AnchorsOnly,33,g3,200,37538,0.6699999928474426,0.4272225884582423,0.6013530850410461,0.4535259902477264,0.13293569087982182,0.550564263322884,0.0,28
AnchorsOnly,42,g0,303,37538,0.627062699975747,0.6214083782640424,0.6351797830547043,0.575643002986908,0.06484517858366762,0.715448107310731,0.0,16
AnchorsOnly,42,g1,294,37538,0.8095237973595963,0.7879778134960801,0.47917811430635904,0.3461660146713257,0.12973885957886572,0.8012788567299846,0.0,16
AnchorsOnly,42,g2,123,37538,0.9268292784690856,0.48097920098072394,0.24221726694727333,0.0,0.21559950333785236,0.8117709437963946,0.0,16
AnchorsOnly,42,g3,200,37538,0.6649999976158142,0.46015572539718136,0.5988264381885529,0.4535259902477264,0.13040904402732853,0.5758975966562173,0.0,16
AnchorsOnly,44,g0,303,37538,0.6435643560422135,0.64131230338316,0.6298627131449508,0.575643002986908,0.05952810867391404,0.7110262861603621,0.0,25
AnchorsOnly,44,g1,294,37538,0.8163265281794022,0.7959943152953552,0.47462377276550344,0.3461660146713257,0.12518451803801012,0.804360655730151,0.0,25
AnchorsOnly,44,g2,123,37538,0.9268292784690856,0.48097920098072394,0.22993360932280377,0.0,0.20331584571338282,0.820254506892895,0.0,25
AnchorsOnly,44,g3,200,37538,0.6700000047683716,0.4513840139959543,0.5998024463653564,0.4535259902477264,0.1313850522041321,0.5721274817136885,0.0,25
AnchorsOnly,55,g0,303,37538,0.6303630388609254,0.6220298871046742,0.6394676906440911,0.575643002986908,0.06913308617305441,0.7140135888588859,0.0,29
AnchorsOnly,55,g1,294,37538,0.8129251627694993,0.7912696156164735,0.47812170702583934,0.3461660146713257,0.128682452298346,0.7953443263593639,0.0,29
AnchorsOnly,55,g2,123,37538,0.9268292784690856,0.48097920098072394,0.22798006394045134,0.0,0.20136230033103045,0.820254506892895,0.0,29
AnchorsOnly,55,g3,200,37538,0.6699999928474426,0.4496139850695877,0.6060941338539123,0.4535259902477264,0.137676739692688,0.5632309299895507,0.0,29
AnchorsOnly,1337,g0,303,37538,0.6402640201077603,0.6342842859494525,0.6397398487962905,0.575643002986908,0.06940524432525383,0.7022644476749262,0.0,29
AnchorsOnly,1337,g1,294,37538,0.8129251627694993,0.7912696156164735,0.4843517601692758,0.3461660146713257,0.13491250544178243,0.7990220593604052,0.0,29
AnchorsOnly,1337,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23624310042799973,0.0,0.20962533681857876,0.820254506892895,0.0,29
AnchorsOnly,1337,g3,200,37538,0.6700000047683716,0.4505373914210965,0.5991477847099305,0.4535259902477264,0.13073039054870608,0.5735402298850575,0.0,29
AnchorsOnly,2024,g0,303,37538,0.6171617201059172,0.6108802836579336,0.643129582845732,0.575643002986908,0.07279497837469523,0.7009109393082165,0.0,30
AnchorsOnly,2024,g1,294,37538,0.8163265281794022,0.7959943152953552,0.4757617445421868,0.3461660146713257,0.12632248981469343,0.8052987302450245,0.0,30
AnchorsOnly,2024,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2457030873473097,0.0,0.21908532373788875,0.634676564156946,0.0,30
AnchorsOnly,2024,g3,200,37538,0.6600000023841858,0.41889202584854757,0.5924410700798035,0.4535259902477264,0.12402367591857914,0.5933814002089864,0.0,30
AnchorsOnly,31337,g0,303,37538,0.6336633537468737,0.6306479979627574,0.6397848080093711,0.575643002986908,0.0694502035383344,0.7044462134705535,0.0,24
AnchorsOnly,31337,g1,294,37538,0.8129251599311829,0.7928264087128146,0.4881696536832926,0.3461660146713257,0.13873039895579922,0.8002747209245599,0.0,24
AnchorsOnly,31337,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23414442754857906,0.0,0.2075266639391581,0.820254506892895,0.0,24
AnchorsOnly,31337,g3,200,37538,0.7049999952316284,0.4546462588486645,0.5938944816589355,0.4535259902477264,0.12547708749771122,0.5812622779519332,0.0,24
FlexMoE,7,g0,303,535714,0.6138613822043139,0.6085088118596413,0.6516325422639501,0.575643002986908,0.08129793779291336,0.6872512400049529,0.0,28
FlexMoE,7,g1,294,535714,0.8197278787895125,0.8008481811074093,0.5083662765163953,0.3461660146713257,0.158927021788902,0.816895387652638,0.0,28
FlexMoE,7,g2,123,535714,0.9349593520164489,0.4831452170904687,0.19759675091117376,0.0,0.17097898730175282,0.8290915517850831,0.0,28
FlexMoE,7,g3,200,535714,0.7450000047683716,0.4269151138716355,0.6092734456062316,0.4535259902477264,0.14085605144500735,0.5535172413793102,0.0,28
FlexMoE,11,g0,303,535714,0.6402640283697902,0.6335141044946898,0.6372173989173209,0.575643002986908,0.06688279444628423,0.7037881119461152,0.0,22
FlexMoE,11,g1,294,535714,0.8197278935893052,0.800547213140936,0.4771788091886611,0.3461660146713257,0.12773955446116775,0.8132074438465416,0.0,22
FlexMoE,11,g2,123,535714,0.9349593520164489,0.4831452170904687,0.22963053399954386,0.0,0.2030127703901229,0.820254506892895,0.0,22
FlexMoE,11,g3,200,535714,0.7350000023841858,0.4235537693338204,0.5986967086791992,0.4535259902477264,0.1302793145179749,0.5361755485893417,0.0,22
FlexMoE,22,g0,303,535714,0.6501650060757552,0.646808978778142,0.6250935566700725,0.575643002986908,0.054758952199035746,0.722187967804717,0.0,23
FlexMoE,22,g1,294,535714,0.8231292411583622,0.8011068131370425,0.47741283111426297,0.3461660146713257,0.12797357638676962,0.8238076523522281,0.0,23
FlexMoE,22,g2,123,535714,0.9268292784690856,0.48097920098072394,0.2299230016343962,0.0,0.20330523802497522,0.8290915517850831,0.0,23
FlexMoE,22,g3,200,535714,0.7450000047683716,0.4269151138716355,0.5939432382583618,0.4535259902477264,0.1255258440971375,0.5136760710553814,0.0,23
FlexMoE,33,g0,303,535714,0.6336633633859087,0.6306818862742309,0.6498428561506492,0.575643002986908,0.07950825167961247,0.7020613023603948,0.0,21
FlexMoE,33,g1,294,535714,0.8095238184442326,0.7877935148840403,0.47574409994543815,0.3461660146713257,0.1263048452179448,0.823708570889022,0.0,21
FlexMoE,33,g2,123,535714,0.9349593520164489,0.4831452170904687,0.21940963951552786,0.0,0.1927918759061069,0.8290915517850831,0.0,21
FlexMoE,33,g3,200,535714,0.7450000047683716,0.4269151138716355,0.5973559498786927,0.4535259902477264,0.1289385557174683,0.5530010449320795,0.0,21
FlexMoE,42,g0,303,535714,0.6402640179438953,0.6359903327209607,0.6277665800780746,0.575643002986908,0.05743197560703794,0.715076790417137,0.0,20
FlexMoE,42,g1,294,535714,0.8197278935893052,0.797486861352862,0.4716753160872427,0.3461660146713257,0.1222360613597493,0.8348488524374668,0.0,20
FlexMoE,42,g2,123,535714,0.9268292784690856,0.48097920098072394,0.19620558861794504,0.0,0.16958782500852415,0.8290915517850831,0.0,20
FlexMoE,42,g3,200,535714,0.7450000047683716,0.4269151138716355,0.589006757736206,0.4535259902477264,0.12058936357498172,0.576564263322884,0.0,20
FlexMoE,44,g0,303,535714,0.6303630254843055,0.6272382750488003,0.6250388883914885,0.575643002986908,0.054704283920451756,0.7075409673903899,0.0,23
FlexMoE,44,g1,294,535714,0.8197278907509888,0.801623224421291,0.48194295167922974,0.3461660146713257,0.13250369695173636,0.8178128520502312,0.0,23
FlexMoE,44,g2,123,535714,0.9268292784690856,0.48097920098072394,0.25535336354883703,0.0,0.22873559993941608,0.8290915517850831,0.0,23
FlexMoE,44,g3,200,535714,0.725,0.41998870694522866,0.6159714221954345,0.4535259902477264,0.14755402803421025,0.532025078369906,0.0,23
FlexMoE,55,g0,303,535714,0.6072607278430423,0.603717656584282,0.6219889802901265,0.575643002986908,0.051654375819089784,0.6993225860284441,0.0,10
FlexMoE,55,g1,294,535714,0.8163265253410859,0.7956158578515865,0.48951794572022495,0.3461660146713257,0.14007869099273162,0.8028645162103808,0.0,10
FlexMoE,55,g2,123,535714,0.9105691071448287,0.5045986604455003,0.19509439921476002,0.0,0.16847663560533913,0.8290915517850831,0.0,10
FlexMoE,55,g3,200,535714,0.7450000047683716,0.4269151138716355,0.619343888759613,0.4535259902477264,0.1509264945983887,0.5011598746081505,0.0,10
FlexMoE,1337,g0,303,535714,0.6567656738136468,0.6520389349729031,0.6558931521063197,0.575643002986908,0.08555854763528302,0.704568299091814,0.0,25
FlexMoE,1337,g1,294,535714,0.8129251599311829,0.7914782116717062,0.4635536398003701,0.3461660146713257,0.11411438507287676,0.8316678672478888,0.0,25
FlexMoE,1337,g2,123,535714,0.9105691071448287,0.5857095187711666,0.19593270213865652,0.0,0.16931493852923557,0.8294450335807706,0.0,25
FlexMoE,1337,g3,200,535714,0.7450000047683716,0.4269151138716355,0.6021570086479187,0.4535259902477264,0.13373961448669436,0.5506123301985371,0.0,25
FlexMoE,2024,g0,303,535714,0.6303630233204404,0.6278091701942163,0.6214912120658572,0.575643002986908,0.05115660759482053,0.7062417799319615,0.0,12
FlexMoE,2024,g1,294,535714,0.8231292441994155,0.8048231874414694,0.48209159187719125,0.3461660146713257,0.1326523371496979,0.811664491712827,0.0,12
FlexMoE,2024,g2,123,535714,0.9349593520164489,0.4831452170904687,0.28467518418300436,0.0,0.25805742057358344,0.820254506892895,0.0,12
FlexMoE,2024,g3,200,535714,0.7450000047683716,0.4269151138716355,0.6041031002998352,0.4535259902477264,0.13568570613861086,0.46857262277951933,0.0,12
FlexMoE,31337,g0,303,535714,0.6534653343383235,0.6512238859380443,0.6202708177834061,0.575643002986908,0.04993621331236937,0.7127469443372907,0.0,21
FlexMoE,31337,g1,294,535714,0.8129251747309756,0.7900429804697877,0.47779451716108384,0.3461660146713257,0.1283552624335905,0.8160452412600641,0.0,21
FlexMoE,31337,g2,123,535714,0.9349593520164489,0.4831452170904687,0.26513986180468296,0.0,0.23852209819526207,0.820254506892895,0.0,21
FlexMoE,31337,g3,200,535714,0.7450000047683716,0.4269151138716355,0.5956044554710388,0.4535259902477264,0.1271870613098145,0.5605329153605015,0.0,21
GroupDRO,7,g0,303,37538,0.6336633649596287,0.6284578775479046,0.6325488613777035,0.575643002986908,0.06221425690666677,0.6918092850951761,0.1,25
GroupDRO,7,g1,294,37538,0.8231292470377318,0.8040160876899499,0.47798241046415707,0.3461660146713257,0.1285431557366637,0.824868560233759,0.1,25
GroupDRO,7,g2,123,37538,0.9268292784690856,0.48097920098072394,0.21718622550247155,0.0,0.19056846189305066,0.8290915517850831,0.1,25
GroupDRO,7,g3,200,37538,0.7299999952316284,0.4216450216450216,0.5839079022407532,0.4535259902477264,0.11549050807952885,0.5967544409613376,0.1,25
GroupDRO,11,g0,303,37538,0.6336633663366337,0.6308683118658699,0.6337236093215817,0.575643002986908,0.06338900485054494,0.6773893907247868,0.1,18
