method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,303,37538,0.6171617112537422,0.6049160926830311,0.6469176805058722,0.575643002986908,0.07658307603483547,0.7004919489964869,0.0,20
AnchorsOnly,7,g1,294,37538,0.8163265401408786,0.7971794994412463,0.4740835707001135,0.3461660146713257,0.12464431597262013,0.8058370334149065,0.0,20
AnchorsOnly,7,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23777043589246952,0.0,0.21115267228304854,0.8290915517850831,0.0,20
AnchorsOnly,7,g3,200,37538,0.6699999928474426,0.43078240027392567,0.6070243835449218,0.4535259902477264,0.13860698938369753,0.5713500522466041,0.0,20
AnchorsOnly,11,g0,303,37538,0.6204620365655855,0.6149374991532226,0.639356260842616,0.575643002986908,0.06902165637157931,0.7099457217547152,0.0,20
AnchorsOnly,11,g1,294,37538,0.8163265253410859,0.7973793065583954,0.4847149088674662,0.3461660146713257,0.13527565413997286,0.8043731705117312,0.0,20
AnchorsOnly,11,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23978414235076279,0.0,0.21316637874134187,0.820254506892895,0.0,20
AnchorsOnly,11,g3,200,37538,0.674999988079071,0.4410769581854218,0.5965214192867279,0.4535259902477264,0.12810402512550356,0.5534211076280041,0.0,20
AnchorsOnly,22,g0,303,37538,0.6336633641727687,0.627578343857584,0.6404996648086573,0.575643002986908,0.0701650603376206,0.7037914356911881,0.0,20
AnchorsOnly,22,g1,294,37538,0.8163265281794022,0.7959943152953552,0.48712054969502144,0.3461660146713257,0.1376812949675281,0.7807565314278526,0.0,20
AnchorsOnly,22,g2,123,37538,0.9268292784690856,0.48097920098072394,0.24188343259861797,0.0,0.21526566898919702,0.8290915517850831,0.0,20
AnchorsOnly,22,g3,200,37538,0.6649999976158142,0.4211576727984086,0.5973133087158203,0.4535259902477264,0.12889591455459598,0.5750721003134797,0.0,20
AnchorsOnly,33,g0,303,37538,0.6270626985987421,0.6222881194929516,0.6394068254496005,0.575643002986908,0.06907222097856376,0.7039150591646466,0.0,20
AnchorsOnly,33,g1,294,37538,0.8197278935893052,0.800547213140936,0.4736337493471548,0.3461660146713257,0.12419449461966142,0.8006683029507949,0.0,20
AnchorsOnly,33,g2,123,37538,0.9268292784690856,0.48097920098072394,0.24433953757208532,0.0,0.2177217739626644,0.634676564156946,0.0,20
AnchorsOnly,33,g3,200,37538,0.6799999952316285,0.4305839329960574,0.6000430107116699,0.4535259902477264,0.13162561655044558,0.5595005224660397,0.0,20
AnchorsOnly,42,g0,303,37538,0.6336633529600137,0.6311830036948257,0.6333608473881637,0.575643002986908,0.06302624291712695,0.7134721656689479,0.0,20
AnchorsOnly,42,g1,294,37538,0.8163265281794022,0.7959943152953552,0.4783241037203341,0.3461660146713257,0.12888484899284078,0.8025263657648191,0.0,20
AnchorsOnly,42,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2425434150831486,0.0,0.21592565147372766,0.8117709437963946,0.0,20
AnchorsOnly,42,g3,200,37538,0.6650000095367432,0.4688778299925667,0.6093279778957367,0.4535259902477264,0.14091058373451237,0.5619770114942528,0.0,20
AnchorsOnly,44,g0,303,37538,0.6435643560422135,0.6407383454753431,0.6296526596884523,0.575643002986908,0.05931805521741559,0.7162691219518778,0.0,20
AnchorsOnly,44,g1,294,37538,0.8197278846688822,0.8004623540459341,0.4723596233291691,0.3461660146713257,0.12292036860167575,0.8030884313107729,0.0,20
AnchorsOnly,44,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2355416383200544,0.0,0.2089238747106335,0.820254506892895,0.0,20
AnchorsOnly,44,g3,200,37538,0.6800000071525574,0.4253589196872779,0.5954073429107666,0.4535259902477264,0.12698994874954228,0.5720480668756531,0.0,20
AnchorsOnly,55,g0,303,37538,0.6468646925668119,0.6426449561757984,0.6340650815774899,0.575643002986908,0.06373047710645317,0.7125333813143219,0.0,20
AnchorsOnly,55,g1,294,37538,0.8163265281794022,0.7959943152953552,0.4770751589415025,0.3461660146713257,0.1276359042140091,0.7878763111040232,0.0,20
AnchorsOnly,55,g2,123,37538,0.9268292784690856,0.48097920098072394,0.2354927550001842,0.0,0.20887499139076326,0.820254506892895,0.0,20
AnchorsOnly,55,g3,200,37538,0.6600000023841858,0.41850020946795136,0.6090495884418488,0.4535259902477264,0.14063219428062443,0.5626436781609194,0.0,20
AnchorsOnly,1337,g0,303,37538,0.6402640193209003,0.6338597694815961,0.6401045589950611,0.575643002986908,0.06976995452402449,0.7031160209274896,0.0,20
AnchorsOnly,1337,g1,294,37538,0.8129251627694993,0.7912696156164735,0.4841622690967962,0.3461660146713257,0.13472301436930287,0.8019585088596904,0.0,20
AnchorsOnly,1337,g2,123,37538,0.9268292784690856,0.48097920098072394,0.24284820731093237,0.0,0.21623044370151148,0.820254506892895,0.0,20
AnchorsOnly,1337,g3,200,37538,0.6649999976158142,0.406797385620915,0.6027631640434266,0.4535259902477264,0.13434576988220218,0.5809529780564263,0.0,20
AnchorsOnly,2024,g0,303,37538,0.6237623642380088,0.6187574770175391,0.646999458471934,0.575643002986908,0.0766648540008973,0.701840496549655,0.0,20
AnchorsOnly,2024,g1,294,37538,0.8163265281794022,0.7959943152953552,0.47262256242791,0.3461660146713257,0.12318330770041665,0.7892336255655268,0.0,20
AnchorsOnly,2024,g2,123,37538,0.9268292784690856,0.48097920098072394,0.24725799153490757,0.0,0.22064022792548668,0.634676564156946,0.0,20
AnchorsOnly,2024,g3,200,37538,0.675,0.42746889476815836,0.5925945401191711,0.4535259902477264,0.12417714595794681,0.596833855799373,0.0,20
AnchorsOnly,31337,g0,303,37538,0.6402640179438953,0.6380494734646542,0.6340086487653626,0.575643002986908,0.06367404429432583,0.7114576288978104,0.0,20
AnchorsOnly,31337,g1,294,37538,0.8129251599311829,0.7928264087128146,0.48347216064021703,0.3461660146713257,0.13403290591272365,0.7979965803542604,0.0,20
AnchorsOnly,31337,g2,123,37538,0.9268292784690856,0.48097920098072394,0.23963916241153468,0.0,0.21302139880211374,0.820254506892895,0.0,20
AnchorsOnly,31337,g3,200,37538,0.6599999904632569,0.41375939562880026,0.5988311409950257,0.4535259902477264,0.1304137468338013,0.5839289446185998,0.0,20
FlexMoE,7,g0,303,535714,0.6336633612220437,0.6326947753051727,0.6332059000978375,0.575643002986908,0.06287129562680084,0.7006312486407372,0.0,20
FlexMoE,7,g1,294,535714,0.8197278935893052,0.800547213140936,0.48215711187748683,0.3461660146713257,0.13271785714999346,0.8092888510450271,0.0,20
FlexMoE,7,g2,123,535714,0.9349593520164489,0.4831452170904687,0.19179777570856296,0.0,0.165180012099142,0.8290915517850831,0.0,20
FlexMoE,7,g3,200,535714,0.7300000071525574,0.42179784308272295,0.5853405594825745,0.4535259902477264,0.11692316532135014,0.5686123301985372,0.0,20
FlexMoE,11,g0,303,535714,0.6402640179438953,0.6354344076102821,0.6253701202546803,0.575643002986908,0.05503551578364357,0.711150554539581,0.0,20
FlexMoE,11,g1,294,535714,0.8163265281794022,0.7947916428600651,0.47581142916971325,0.3461660146713257,0.1263721744422199,0.7999557249020193,0.0,20
FlexMoE,11,g2,123,535714,0.9268292784690856,0.48097920098072394,0.20846842604924018,0.0,0.18185066243981926,0.820254506892895,0.0,20
FlexMoE,11,g3,200,535714,0.7300000071525574,0.42179784308272295,0.5976507425308227,0.4535259902477264,0.12923334836959843,0.5539853709508883,0.0,20
FlexMoE,22,g0,303,535714,0.6468646799770519,0.642401706530001,0.6207851716394078,0.575643002986908,0.05045056716837112,0.7232862423147076,0.0,20
FlexMoE,22,g1,294,535714,0.8231292439966785,0.7998365382579489,0.4802782127038151,0.3461660146713257,0.13083895797632178,0.8160259925834576,0.0,20
FlexMoE,22,g2,123,535714,0.9268292784690856,0.48097920098072394,0.19272158930941322,0.0,0.1661038256999923,0.820254506892895,0.0,20
FlexMoE,22,g3,200,535714,0.7450000047683716,0.4269151138716355,0.591965913772583,0.4535259902477264,0.12354851961135868,0.5157074190177638,0.0,20
FlexMoE,33,g0,303,535714,0.627062699975747,0.6230808839299364,0.6320494334689855,0.575643002986908,0.06171482899794878,0.7115505945435813,0.0,20
FlexMoE,33,g1,294,535714,0.8027210785012667,0.7782193671767352,0.4754144967007799,0.3461660146713257,0.12597524197328655,0.8166248693907128,0.0,20
FlexMoE,33,g2,123,535714,0.9349593520164489,0.4831452170904687,0.19298339301977702,0.0,0.16636562941035604,0.8290915517850831,0.0,20
FlexMoE,33,g3,200,535714,0.7350000023841858,0.4235537693338204,0.5802659630775452,0.4535259902477264,0.11184856891632083,0.5750010449320794,0.0,20
