method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,533,30818,0.6191369891166687,0.5374391333529989,0.6602415442466736,0.2790879905223846,0.381153553724289,0.7700226545842218,0.0,30
AnchorsOnly,7,g1,530,30818,0.7301886677742004,0.5799036644107067,0.4930890500545501,0.2423949986696243,0.25069405138492584,0.7638938333135556,0.0,30
AnchorsOnly,7,g2,2338,30818,0.7134302854537964,0.5874458121981153,0.5017058253288269,0.252005010843277,0.24970081448554993,0.8112142024666733,0.0,30
AnchorsOnly,11,g0,533,30818,0.6322701573371887,0.5435367729306488,0.6388930082321167,0.2790879905223846,0.3598050177097321,0.7718883262260128,0.0,30
AnchorsOnly,11,g1,530,30818,0.7509434223175049,0.5901005413766435,0.4793087244033813,0.2423949986696243,0.236913725733757,0.7748111229777302,0.0,30
AnchorsOnly,11,g2,2338,30818,0.7138580083847046,0.5888999015171407,0.5108058452606201,0.252005010843277,0.25880083441734314,0.8140971987249122,0.0,30
AnchorsOnly,22,g0,533,30818,0.6172608137130737,0.5324561403508772,0.6438218951225281,0.2790879905223846,0.3647339046001435,0.7658582089552239,0.0,30
AnchorsOnly,22,g1,530,30818,0.7415094375610352,0.5887773190388003,0.461776465177536,0.2423949986696243,0.2193814665079117,0.7822475376765159,0.0,30
AnchorsOnly,22,g2,2338,30818,0.7082976698875427,0.5834427944294491,0.5002023577690125,0.252005010843277,0.24819734692573547,0.8166853655785681,0.0,30
AnchorsOnly,33,g0,533,30818,0.6078799366950989,0.5200577324917601,0.6625824570655823,0.2790879905223846,0.3834944665431977,0.769589552238806,0.0,30
AnchorsOnly,33,g1,530,30818,0.7509434223175049,0.6023282781200974,0.4850103855133056,0.2423949986696243,0.2426153868436813,0.7690755903643053,0.0,30
AnchorsOnly,33,g2,2338,30818,0.7155688405036926,0.5839544835067737,0.5108762979507446,0.252005010843277,0.25887128710746765,0.8141803050000297,0.0,30
AnchorsOnly,42,g0,533,30818,0.6116322875022888,0.5265028131477643,0.6397857069969177,0.2790879905223846,0.36069771647453314,0.7735874200426439,0.0,30
AnchorsOnly,42,g1,530,30818,0.7471697926521301,0.5992461177320332,0.4731228649616241,0.2423949986696243,0.2307278662919998,0.7742969028123888,0.0,30
AnchorsOnly,42,g2,2338,30818,0.7390932440757751,0.5964567374730628,0.4799660444259643,0.252005010843277,0.22796103358268732,0.8107788838827252,0.0,30
