method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,533,30818,0.6754221320152283,0.5740707380051643,0.5360390543937683,0.2790879905223846,0.2569510638713837,0.7899120469083154,0.0,2
AnchorsOnly,7,g1,530,30818,0.7339622378349304,0.5798357125588247,0.4908775389194488,0.2423949986696243,0.2484825402498245,0.7714884696016772,0.0,2
AnchorsOnly,7,g2,2338,30818,0.6762189865112305,0.5673032517055532,0.5351808667182922,0.252005010843277,0.28317585587501526,0.8158839836399362,0.0,2
AnchorsOnly,11,g0,533,30818,0.6791744828224182,0.5727665199476875,0.5622939467430115,0.2790879905223846,0.2832059562206269,0.7762859808102346,0.0,20
AnchorsOnly,11,g1,530,30818,0.7471697926521301,0.5963029490007048,0.4827973842620849,0.2423949986696243,0.2404023855924606,0.7720422451643527,0.0,20
AnchorsOnly,11,g2,2338,30818,0.6685200929641724,0.5590309998566568,0.572337806224823,0.252005010843277,0.320332795381546,0.8153200482016396,0.0,20
AnchorsOnly,22,g0,533,30818,0.6716697812080383,0.5670588781359511,0.5313219428062439,0.2790879905223846,0.2522339522838593,0.7728877931769723,0.0,12
AnchorsOnly,22,g1,530,30818,0.7566037774085999,0.6127903223066076,0.4328792095184326,0.2423949986696243,0.19048421084880832,0.7978719196234327,0.0,12
AnchorsOnly,22,g2,2338,30818,0.6822069883346558,0.5682898164764381,0.5413921475410461,0.252005010843277,0.28938713669776917,0.8179418533095095,0.0,12
AnchorsOnly,33,g0,533,30818,0.6735459566116333,0.5641823308270677,0.5449000000953674,0.2790879905223846,0.26581200957298284,0.7754530916844349,0.0,9
AnchorsOnly,33,g1,530,30818,0.801886796951294,0.6439334318674781,0.3910282850265503,0.2423949986696243,0.148633286356926,0.7897630631699695,0.0,9
AnchorsOnly,33,g2,2338,30818,0.7519246935844421,0.6062784539626498,0.4333267211914062,0.252005010843277,0.18132171034812922,0.8148946232218719,0.0,9
AnchorsOnly,42,g0,533,30818,0.6697936058044434,0.5677210056772101,0.5435279607772827,0.2790879905223846,0.2644399702548981,0.7755197228144989,0.0,15
AnchorsOnly,42,g1,530,30818,0.7509434223175049,0.5993677844969764,0.4420391321182251,0.2423949986696243,0.1996441334486008,0.7812982081405009,0.0,15
AnchorsOnly,42,g2,2338,30818,0.7044482231140137,0.574804260384681,0.5011817216873169,0.252005010843277,0.24917671084403992,0.8116693082589828,0.0,15
AnchorsOnly,44,g0,533,30818,0.692307710647583,0.5828784119106699,0.5213561058044434,0.2790879905223846,0.24226811528205877,0.7625599680170576,0.0,9
AnchorsOnly,44,g1,530,30818,0.7377358675003052,0.5916546108607568,0.4605436325073242,0.2423949986696243,0.21814863383769992,0.7843439737352162,0.0,9
AnchorsOnly,44,g2,2338,30818,0.7698888182640076,0.6110812909992184,0.4037759006023407,0.252005010843277,0.15177088975906372,0.8116099466338991,0.0,9
AnchorsOnly,55,g0,533,30818,0.6604127287864685,0.5585830439298477,0.5215741395950317,0.2790879905223846,0.24248614907264715,0.7892457356076759,0.0,5
AnchorsOnly,55,g1,530,30818,0.7566037774085999,0.6040171667853977,0.4112772047519684,0.2423949986696243,0.16888220608234408,0.803291009058186,0.0,5
AnchorsOnly,55,g2,2338,30818,0.6612489223480225,0.5511344684482022,0.5313760638237,0.252005010843277,0.279371052980423,0.8053472951875531,0.0,5
AnchorsOnly,1337,g0,533,30818,0.6360225081443787,0.5444203588171019,0.5653026700019836,0.2790879905223846,0.28621467947959905,0.7728211620469083,0.0,10
AnchorsOnly,1337,g1,530,30818,0.7396226525306702,0.6042207792207792,0.4697551131248474,0.2423949986696243,0.2273601144552231,0.7979905858154346,0.0,10
AnchorsOnly,1337,g2,2338,30818,0.6839178800582886,0.5706139628211141,0.5414767265319824,0.252005010843277,0.28947171568870544,0.8144137940586929,0.0,10
AnchorsOnly,2024,g0,533,30818,0.6454033851623535,0.558931315758364,0.5640571713447571,0.2790879905223846,0.2849691808223725,0.7862140191897654,0.0,8
AnchorsOnly,2024,g1,530,30818,0.7245283126831055,0.5946568884232583,0.4727001786231994,0.2423949986696243,0.2303051799535751,0.8019856809461651,0.0,8
AnchorsOnly,2024,g2,2338,30818,0.6852010488510132,0.572101535768282,0.5283737182617188,0.252005010843277,0.2763687074184418,0.819461510911656,0.0,8
AnchorsOnly,31337,g0,533,30818,0.6716697812080383,0.5751982256470514,0.5193350315093994,0.2790879905223846,0.24024704098701483,0.7712886460554372,0.0,3
AnchorsOnly,31337,g1,530,30818,0.8264151215553284,0.6070403919925212,0.349243551492691,0.2423949986696243,0.10684855282306668,0.7889719552232902,0.0,3
AnchorsOnly,31337,g2,2338,30818,0.6672369837760925,0.5585728832677611,0.5435858964920044,0.252005010843277,0.2915808856487274,0.8144909641713017,0.0,3
ERM,7,g0,533,11426,0.6716697812080383,0.5751982256470514,0.5030525326728821,0.2790879905223846,0.2239645421504975,0.7936433901918977,0.0,11
ERM,7,g1,530,11426,0.7245283126831055,0.5946568884232583,0.4366450905799866,0.2423949986696243,0.19425009191036227,0.8080969898342628,0.0,11
ERM,7,g2,2338,11426,0.6625320911407471,0.552079329377516,0.4983177483081817,0.252005010843277,0.24631273746490473,0.7985464316737801,0.0,11
ERM,11,g0,533,11426,0.6641650795936584,0.5694416239073239,0.5000261068344116,0.2790879905223846,0.22093811631202703,0.7915111940298507,0.0,3
ERM,11,g1,530,11426,0.7094339728355408,0.5827966222985544,0.4410109519958496,0.2423949986696243,0.1986159533262253,0.8098374273169574,0.0,3
ERM,11,g2,2338,11426,0.6663815379142761,0.5559341250175323,0.4981642365455627,0.252005010843277,0.2461592257022857,0.7999374724215783,0.0,3
ERM,22,g0,533,11426,0.6697936058044434,0.5717781105065186,0.5020471215248108,0.2790879905223846,0.2229591310024262,0.7849480277185501,0.0,11
ERM,22,g1,530,11426,0.7339622378349304,0.6022355289421157,0.4317186176776886,0.2423949986696243,0.1893236190080643,0.7992761362287885,0.0,11
ERM,22,g2,2338,11426,0.6796407103538513,0.5632353509694106,0.4934700131416321,0.252005010843277,0.2414650022983551,0.7999908978841538,0.0,11
ERM,33,g0,533,11426,0.6585366129875183,0.5651515151515151,0.5176326036453247,0.2790879905223846,0.23854461312294012,0.7938432835820896,0.0,11
ERM,33,g1,530,11426,0.7207547426223755,0.5916625020822922,0.4484200179576874,0.2423949986696243,0.20602501928806308,0.8147818519837031,0.0,11
ERM,33,g2,2338,11426,0.6663815379142761,0.5544120449780827,0.5124989748001099,0.252005010843277,0.2604939639568329,0.8008239393561638,0.0,11
ERM,42,g0,533,11426,0.6491557359695435,0.5635987092424024,0.5086486339569092,0.2790879905223846,0.2295606434345246,0.7858808635394455,0.0,6
ERM,42,g1,530,11426,0.698113203048706,0.5740919318547091,0.4405716359615326,0.2423949986696243,0.1981766372919083,0.8130809698983427,0.0,6
ERM,42,g2,2338,11426,0.6347305178642273,0.5356454792313395,0.5071372389793396,0.252005010843277,0.2551322281360626,0.7952518614816265,0.0,6
ERM,44,g0,533,11426,0.6716697812080383,0.5732156502084162,0.5107046961784363,0.2790879905223846,0.2316167056560517,0.7858142324093818,0.0,10
ERM,44,g1,530,11426,0.7301886677742004,0.5965934797072521,0.4357057511806488,0.2423949986696243,0.1933107525110245,0.8076223250662553,0.0,10
ERM,44,g2,2338,11426,0.6839178800582886,0.5643096323676077,0.5014539957046509,0.252005010843277,0.2494489848613739,0.7999018554465281,0.0,10
ERM,55,g0,533,11426,0.6604127287864685,0.5665790596850641,0.5052916407585144,0.2790879905223846,0.22620365023612982,0.786980277185501,0.0,5
ERM,55,g1,530,11426,0.7150943279266357,0.5896970535911121,0.441113531589508,0.2423949986696243,0.1987185329198837,0.8099165381116253,0.0,5
ERM,55,g2,2338,11426,0.6646706461906433,0.5546666666666666,0.5033769011497498,0.252005010843277,0.2513718903064728,0.8025592775294483,0.0,5
ERM,1337,g0,533,11426,0.6735459566116333,0.5726332669763327,0.511914849281311,0.2790879905223846,0.23282685875892645,0.7846815031982942,0.0,5
ERM,1337,g1,530,11426,0.7339622378349304,0.5942534165132833,0.4411560297012329,0.2423949986696243,0.1987610310316086,0.7993948024207903,0.0,5
ERM,1337,g2,2338,11426,0.684773325920105,0.563868127707148,0.5022029280662537,0.252005010843277,0.2501979172229767,0.7983347085443145,0.0,5
ERM,2024,g0,533,11426,0.6754221320152283,0.5740707380051643,0.5058474540710449,0.2790879905223846,0.22675946354866033,0.7830157249466951,0.0,16
ERM,2024,g1,530,11426,0.7377358675003052,0.6000086872010382,0.4344877004623413,0.2423949986696243,0.192092701792717,0.8047347810608758,0.0,16
ERM,2024,g2,2338,11426,0.6890504956245422,0.5692485089160926,0.4938226640224457,0.252005010843277,0.2418176531791687,0.8004143441430852,0.0,16
ERM,31337,g0,533,11426,0.6829268336296082,0.5839188134270101,0.5221596956253052,0.2790879905223846,0.2430717051029206,0.7800506396588486,0.0,8
ERM,31337,g1,530,11426,0.7377358675003052,0.6000086872010382,0.4471037983894348,0.2423949986696243,0.2047087997198105,0.8051303350342154,0.0,8
ERM,31337,g2,2338,11426,0.682634711265564,0.5644192913385826,0.5153191685676575,0.252005010843277,0.2633141577243805,0.7978103475227405,0.0,8
FlexMoE,7,g0,533,536354,0.6397748589515686,0.5546736292428198,0.516929030418396,0.2790879905223846,0.2378410398960114,0.7673240938166311,0.0,6
FlexMoE,7,g1,530,536354,0.7528302073478699,0.6038796177435458,0.449581503868103,0.2423949986696243,0.20718650519847873,0.7930857165460228,0.0,6
FlexMoE,7,g2,2338,536354,0.682634711265564,0.5665333381307619,0.5697005391120911,0.252005010843277,0.3176955282688141,0.804575594061463,0.0,6
FlexMoE,11,g0,533,536354,0.6529080867767334,0.5608831768001319,0.5527830123901367,0.2790879905223846,0.27369502186775213,0.7740538379530917,0.0,11
FlexMoE,11,g1,530,536354,0.7207547426223755,0.5916625020822922,0.4627308845520019,0.2423949986696243,0.2203358858823776,0.7815750959218386,0.0,11
FlexMoE,11,g2,2338,536354,0.7301111817359924,0.6007024147944492,0.4795147478580475,0.252005010843277,0.2275097370147705,0.8168970887080338,0.0,11
FlexMoE,22,g0,533,536354,0.6435272097587585,0.5538137534806669,0.5446006059646606,0.2790879905223846,0.26551261544227606,0.775219882729211,0.0,14
FlexMoE,22,g1,530,536354,0.7132075428962708,0.5806263534899216,0.4637494385242462,0.2423949986696243,0.22135443985462191,0.7867172975752542,0.0,14
FlexMoE,22,g2,2338,536354,0.701454222202301,0.5792539867025692,0.5086926817893982,0.252005010843277,0.2566876709461212,0.8162856639696701,0.0,14
FlexMoE,33,g0,533,536354,0.6622889041900635,0.56993006993007,0.533105731010437,0.2790879905223846,0.2540177404880524,0.7808502132196162,0.0,7
FlexMoE,33,g1,530,536354,0.6962264180183411,0.5774466546828497,0.4931104481220245,0.2423949986696243,0.2507154494524002,0.7899608401566394,0.0,7
FlexMoE,33,g2,2338,536354,0.7142857313156128,0.5875528306451017,0.4838895499706268,0.252005010843277,0.2318845391273498,0.8075911646157226,0.0,7
FlexMoE,42,g0,533,536354,0.6266416311264038,0.5465536331884077,0.5621199607849121,0.2790879905223846,0.2830319702625275,0.7710887526652452,0.0,13
FlexMoE,42,g1,530,536354,0.7339622378349304,0.5886610705930921,0.441467821598053,0.2423949986696243,0.19907282292842868,0.778687551916459,0.0,13
FlexMoE,42,g2,2338,536354,0.6856287717819214,0.5693178403411112,0.5403440594673157,0.252005010843277,0.2883390486240387,0.8129040300607271,0.0,13
FlexMoE,44,g0,533,536354,0.6360225081443787,0.5481945609619687,0.5428085923194885,0.2790879905223846,0.26372060179710394,0.7813832622601279,0.0,6
