method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,533,29346,0.6303939819335938,0.5476142263199845,0.6300250887870789,0.277099996805191,0.3529250919818879,0.7706889658848614,0.0,25
AnchorsOnly,7,g1,530,29346,0.6867924332618713,0.514040785665363,0.5897201895713806,0.290922999382019,0.29879719018936163,0.6055140223883549,0.0,25
AnchorsOnly,7,g2,2338,29346,0.731394350528717,0.5694099043722257,0.5641173720359802,0.2894389927387237,0.2746783792972565,0.7079487194708108,0.0,25
AnchorsOnly,11,g0,533,29346,0.6360225081443787,0.5444203588171019,0.6201450824737549,0.277099996805191,0.3430450856685639,0.7634594882729211,0.0,25
AnchorsOnly,11,g1,530,29346,0.6962264180183411,0.5202379412905729,0.5905119180679321,0.290922999382019,0.29958891868591314,0.6134646572524821,0.0,25
AnchorsOnly,11,g2,2338,29346,0.7130025625228882,0.5619247078074845,0.5921019911766052,0.2894389927387237,0.3026629984378815,0.7101945676198165,0.0,25
AnchorsOnly,22,g0,533,29346,0.6472795605659485,0.5527884890031418,0.6117854118347168,0.277099996805191,0.3346854150295258,0.7642923773987207,0.0,25
AnchorsOnly,22,g1,530,29346,0.647169828414917,0.4978695808571327,0.6159417629241943,0.290922999382019,0.32501876354217535,0.6224437324472923,0.0,25
AnchorsOnly,22,g2,2338,29346,0.7044482231140137,0.5576037800174434,0.593128502368927,0.2894389927387237,0.3036895096302033,0.7039180651276177,0.0,25
AnchorsOnly,33,g0,533,29346,0.6472795605659485,0.5508158508158508,0.5969772338867188,0.277099996805191,0.31987723708152777,0.7758528784648188,0.0,25
AnchorsOnly,33,g1,530,29346,0.6886792182922363,0.5219508995194909,0.5989956259727478,0.290922999382019,0.3080726265907288,0.6177366401645505,0.0,25
AnchorsOnly,33,g2,2338,29346,0.7279726266860962,0.5682639598624919,0.5776713490486145,0.2894389927387237,0.2882323563098908,0.7066269339522772,0.0,25
AnchorsOnly,42,g0,533,29346,0.6435272097587585,0.548030919737218,0.5939466953277588,0.277099996805191,0.3168466985225678,0.7614938699360341,0.0,25
AnchorsOnly,42,g1,530,29346,0.7132075428962708,0.5242819349962207,0.5689163208007812,0.290922999382019,0.27799332141876226,0.6071357936790475,0.0,25
AnchorsOnly,42,g2,2338,29346,0.7134302854537964,0.5608909669895945,0.5885159373283386,0.2894389927387237,0.2990769445896149,0.7095633556730917,0.0,25
AnchorsOnly,44,g0,533,29346,0.6078799366950989,0.5291061653245408,0.6346813440322876,0.277099996805191,0.3575813472270966,0.7643256929637526,0.0,25
AnchorsOnly,44,g1,530,29346,0.7471697926521301,0.5068055555555555,0.5270133018493652,0.290922999382019,0.23609030246734625,0.6070962382817136,0.0,25
AnchorsOnly,44,g2,2338,29346,0.727544903755188,0.5665101398030457,0.5735762119293213,0.2894389927387237,0.2841372191905976,0.702180748233497,0.0,25
