method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
AnchorsOnly,7,g0,533,29346,0.6735459566116333,0.5705752704104312,0.5293601155281067,0.277099996805191,0.2522601187229157,0.78125,0.0,16
AnchorsOnly,7,g1,530,29346,0.7547169923782349,0.5530733504579539,0.5569731593132019,0.290922999382019,0.2660501599311829,0.6066215735137059,0.0,16
AnchorsOnly,7,g2,2338,29346,0.7609067559242249,0.5838584686649352,0.5342119336128235,0.2894389927387237,0.2447729408740998,0.7074738264701401,0.0,16
AnchorsOnly,11,g0,533,29346,0.705440878868103,0.5975191546464146,0.5346802473068237,0.277099996805191,0.25758025050163275,0.7805836886993603,0.0,6
AnchorsOnly,11,g1,530,29346,0.8943396210670471,0.5203309845497447,0.4340909421443939,0.290922999382019,0.14316794276237493,0.5726039318064949,0.0,6
AnchorsOnly,11,g2,2338,29346,0.6856287717819214,0.5414491118533495,0.6153085827827454,0.2894389927387237,0.32586959004402166,0.7070206993986667,0.0,6
AnchorsOnly,22,g0,533,29346,0.6679174304008484,0.5703433482258747,0.5697504281997681,0.277099996805191,0.2926504313945771,0.7737873134328357,0.0,15
AnchorsOnly,22,g1,530,29346,0.7339622378349304,0.5343664130698917,0.5712945461273193,0.290922999382019,0.28037154674530035,0.6152446501325105,0.0,15
AnchorsOnly,22,g2,2338,29346,0.7566295862197876,0.5867593716907982,0.5287768244743347,0.2894389927387237,0.23933783173561102,0.7071631672988681,0.0,15
AnchorsOnly,33,g0,533,29346,0.6697936058044434,0.5677210056772101,0.576205849647522,0.277099996805191,0.299105852842331,0.7761527185501066,0.0,18
AnchorsOnly,33,g1,530,29346,0.8377358317375183,0.5252083333333333,0.4740933179855346,0.290922999382019,0.18317031860351562,0.5993829358015902,0.0,18
AnchorsOnly,33,g2,2338,29346,0.6963216662406921,0.5497367827166281,0.6066052317619324,0.2894389927387237,0.3171662390232087,0.7064884234937483,0.0,18
AnchorsOnly,42,g0,533,29346,0.696060061454773,0.5835937499999999,0.5097067952156067,0.277099996805191,0.2326067984104157,0.7776186034115139,0.0,6
AnchorsOnly,42,g1,530,29346,0.8358490467071533,0.5622703841881924,0.531181275844574,0.290922999382019,0.240258276462555,0.5626755270756695,0.0,6
AnchorsOnly,42,g2,2338,29346,0.7959794402122498,0.6025684201073168,0.4821736514568329,0.2894389927387237,0.1927346587181092,0.7017394934870403,0.0,6
AnchorsOnly,44,g0,533,29346,0.6397748589515686,0.5528523489932885,0.5877334475517273,0.277099996805191,0.3106334507465363,0.7732209488272921,0.0,10
AnchorsOnly,44,g1,530,29346,0.7867924571037292,0.5078842061150872,0.5244823694229126,0.290922999382019,0.2335593700408936,0.5867647640520548,0.0,10
AnchorsOnly,44,g2,2338,29346,0.7656116485595703,0.5876261849248845,0.5325907468795776,0.2894389927387237,0.24315175414085394,0.7012962600197477,0.0,10
AnchorsOnly,55,g0,533,29346,0.6866791844367981,0.580660966245024,0.5329593420028687,0.277099996805191,0.25585934519767767,0.7760860874200427,0.0,20
AnchorsOnly,55,g1,530,29346,0.7339622378349304,0.5261225499210522,0.5566409230232239,0.290922999382019,0.2657179236412049,0.6016771488469601,0.0,20
AnchorsOnly,55,g2,2338,29346,0.7023096680641174,0.5566859657324437,0.5916757583618164,0.2894389927387237,0.3022367656230927,0.7115183318591863,0.0,20
AnchorsOnly,1337,g0,533,29346,0.6303939819335938,0.54026174182221,0.5973545908927917,0.277099996805191,0.32025459408760076,0.7620935501066098,0.0,13
AnchorsOnly,1337,g1,530,29346,0.8830188512802124,0.5380679262258209,0.3913273215293884,0.290922999382019,0.10040432214736944,0.6000553775562676,0.0,13
AnchorsOnly,1337,g2,2338,29346,0.671514093875885,0.5340192829916042,0.6406369805335999,0.2894389927387237,0.35119798779487615,0.7089242288430221,0.0,13
AnchorsOnly,2024,g0,533,29346,0.6210131049156189,0.5333639610277036,0.6153974533081055,0.277099996805191,0.3382974565029145,0.7770855543710022,0.0,18
AnchorsOnly,2024,g1,530,29346,0.8226414918899536,0.5450394506136762,0.5166724920272827,0.290922999382019,0.22574949264526373,0.6025869229856414,0.0,18
AnchorsOnly,2024,g2,2338,29346,0.731394350528717,0.5686838527584582,0.5590210556983948,0.2894389927387237,0.2695820629596711,0.705944275263813,0.0,18
AnchorsOnly,31337,g0,533,29346,0.6435272097587585,0.5499911126910771,0.5857508182525635,0.277099996805191,0.3086508214473725,0.7797174840085288,0.0,4
AnchorsOnly,31337,g1,530,29346,0.7301886677742004,0.5014438984600609,0.5799407958984375,0.290922999382019,0.2890177965164185,0.5721688224358213,0.0,4
AnchorsOnly,31337,g2,2338,29346,0.7720273733139038,0.5826145265018745,0.5328692197799683,0.2894389927387237,0.24343022704124456,0.7042267455780538,0.0,4
FlexMoE,7,g0,533,536354,0.6341463327407837,0.5504327628044587,0.5556026697158813,0.277099996805191,0.27850267291069036,0.7795509061833688,0.0,10
FlexMoE,7,g1,530,536354,0.7396226525306702,0.5071561413438992,0.6050143837928772,0.290922999382019,0.3140913844108582,0.5440449349313714,0.0,10
FlexMoE,7,g2,2338,536354,0.7322497963905334,0.5722184030603177,0.5477911233901978,0.2894389927387237,0.25835213065147405,0.7028515345969444,0.0,10
FlexMoE,11,g0,533,536354,0.6566604375839233,0.5637263891435906,0.5234227180480957,0.277099996805191,0.24632272124290472,0.7732875799573561,0.0,9
FlexMoE,11,g1,530,536354,0.6622641682624817,0.4778037704692445,0.59983891248703,0.290922999382019,0.30891591310501104,0.5301609904671493,0.0,9
FlexMoE,11,g2,2338,536354,0.742514967918396,0.5801246253126371,0.5360222458839417,0.2894389927387237,0.24658325314521795,0.7106140564370756,0.0,9
FlexMoE,22,g0,533,536354,0.6322701573371887,0.5507911936704507,0.584714949131012,0.277099996805191,0.307614952325821,0.7747201492537313,0.0,13
FlexMoE,22,g1,530,536354,0.7188678979873657,0.4901049233252623,0.5748922228813171,0.290922999382019,0.28396922349929815,0.5298841026858114,0.0,13
FlexMoE,22,g2,2338,536354,0.7305389046669006,0.569484974325879,0.565267026424408,0.2894389927387237,0.27582803368568426,0.7067872103400036,0.0,13
